"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MACURA Beata Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"GOŁOTA Konrad Krzysztof - KW NOWA LEWICA";"KALATA Andrzej Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"FLAKA Daniel Krystian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
240300;"cieszyński";"śląskie";127;127;15689;39416;32633;12579
241700;"żywiecki";"śląskie";107;107;8931;24033;40643;11175
