"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIAŁOOKA-KOSTENECKA Danuta Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBICKI Sławomir Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
221100;"pucki";"pomorskie";77;77;16929;33286
226200;"Gdynia";"pomorskie";118;118;35227;108845
