"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PAPROCKI Marek Jan - KW NOWA LEWICA";"PUPA Zdzisław Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ĆWIĘKA Jacek Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
180300;"dębicki";"podkarpackie";117;117;18465;40551;11569
180600;"kolbuszowski";"podkarpackie";65;65;6257;18954;5109
181100;"mielecki";"podkarpackie";123;123;23084;36573;10916
181500;"ropczycko-sędziszowski";"podkarpackie";69;69;7670;25193;6682
181900;"strzyżowski";"podkarpackie";65;65;7011;18511;5898
