"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GÓRSKA Anna - KW NOWA LEWICA";"DRELICH Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BUTZA Sławomir Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MĘCZYKOWSKI Dariusz Franciszek - KWW DARIUSZA MĘCZYKOWSKIEGO"
220100;"bytowski";"pomorskie";102;102;15428;13302;5287;3856
220200;"chojnicki";"pomorskie";85;85;19341;18399;7283;4579
220300;"człuchowski";"pomorskie";74;74;12274;7905;4048;2463
220500;"kartuski";"pomorskie";108;108;30125;27680;11837;11081
220600;"kościerski";"pomorskie";62;62;12048;12672;3993;10113
