"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SKRODZKI Sławomir Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUCKI Krzysztof Aleksander - KW NOWA LEWICA";"ŁYCZAK Józef Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LISIECKI Jakub Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
40100;"aleksandrowski";"kujawsko-pomorskie";66;66;2973;12901;12519;3136
40800;"lipnowski";"kujawsko-pomorskie";84;84;2936;11325;12404;3468
41100;"radziejowski";"kujawsko-pomorskie";56;56;1763;6510;9538;2243
41800;"włocławski";"kujawsko-pomorskie";100;100;3263;17696;17550;4567
46400;"Włocławek";"kujawsko-pomorskie";68;68;2784;34467;13905;4066
