"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOBUS Mariola - KW BEZPARTYJNI SAMORZĄDOWCY";"KOPICZKO Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZALEWSKI Artur Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIOTROWSKA Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
280500;"ełcki";"warmińsko-mazurskie";58;58;3436;14601;5861;15804
280600;"giżycki";"warmińsko-mazurskie";54;54;2192;8589;2408;14441
280800;"kętrzyński";"warmińsko-mazurskie";60;60;2457;9852;2688;12364
281000;"mrągowski";"warmińsko-mazurskie";49;49;2586;7698;2470;11309
281300;"olecki";"warmińsko-mazurskie";34;34;1269;5778;1863;5491
281600;"piski";"warmińsko-mazurskie";46;46;3181;10754;2725;8551
281800;"gołdapski";"warmińsko-mazurskie";25;25;924;4344;1100;5119
281900;"węgorzewski";"warmińsko-mazurskie";29;29;947;3676;1038;4993
