"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAMERSKI Jan Wincenty - KW PRAWO I SPRAWIEDLIWOŚĆ";"CHMURA Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WAKSMUNDZKI Bogusław - KWW KANDYDAT ZIEM GÓRSKICH"
120700;"limanowski";"małopolskie";114;114;42815;11213;15393
121100;"nowotarski";"małopolskie";155;155;48430;17895;27601
121700;"tatrzański";"małopolskie";54;54;18654;6703;14303
