"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LIBICKI Jan Filip - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NIJAKA Danuta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OSZMIAN Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
300500;"grodziski";"wielkopolskie";32;32;14035;9459;3706
301400;"międzychodzki";"wielkopolskie";27;27;11370;5363;2514
301500;"nowotomyski";"wielkopolskie";56;56;25007;11253;5282
301600;"obornicki";"wielkopolskie";66;66;19453;8560;4116
302400;"szamotulski";"wielkopolskie";62;62;31803;14026;6927
302900;"wolsztyński";"wielkopolskie";47;47;17522;9659;4264
