"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZYWACZEWSKA Kamila - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUDA Jolanta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZAJĄC Józef - KWW JÓZEFA ZAJĄCA"
60300;"chełmski";"lubelskie";107;107;15214;5576;14773
60600;"krasnostawski";"lubelskie";101;101;13737;5291;11358
61900;"włodawski";"lubelskie";52;52;8613;3288;6922
66200;"Chełm";"lubelskie";36;36;9190;3468;17710
