"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MYRDA Tymoteusz Dominik - KW BEZPARTYJNI SAMORZĄDOWCY";"SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena - KW NOWA LEWICA";"CZUDOWSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"JASIŃSKI Krzysztof Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
20300;"głogowski";"dolnośląskie";57;57;5555;19651;16673;4659
20900;"legnicki";"dolnośląskie";60;60;3846;10417;11464;3497
21100;"lubiński";"dolnośląskie";92;92;12772;19724;20109;5038
21600;"polkowicki";"dolnośląskie";52;52;4725;10186;13585;3542
26200;"Legnica";"dolnośląskie";49;49;6170;22533;16235;4666
