"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOBER Ryszard Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAMLAU Józef Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBIŃSKI Adam Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ADAMCZYK Zbigniew - KW ZWIĄZKU SŁOWIAŃSKIEGO"
40200;"brodnicki";"kujawsko-pomorskie";76;76;21101;13312;3428;1474
40500;"golubsko-dobrzyński";"kujawsko-pomorskie";41;41;9682;8808;2573;1101
40600;"grudziądzki";"kujawsko-pomorskie";57;57;8789;7113;2251;999
41200;"rypiński";"kujawsko-pomorskie";59;59;9174;8424;2240;1093
41700;"wąbrzeski";"kujawsko-pomorskie";34;34;8236;5248;1538;665
46200;"Grudziądz";"kujawsko-pomorskie";55;55;25744;12501;4303;2418
