"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Dominik - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚWILSKI Ryszard Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOBYLARZ Andrzej Sławomir - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
220400;"gdański";"pomorskie";73;73;9706;45347;12780
221300;"starogardzki";"pomorskie";110;110;11024;29644;20570
221400;"tczewski";"pomorskie";100;100;9788;29768;15445
