"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DASIOS Piotr Paris - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RUSIECKI Jarosław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOKOLNICKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMOSA Elżbieta Agnieszka - KW RUCH NAPRAWY POLSKI";"MATEREK Marek Jerzy - KW NOWA DEMOKRACJA - TAK"
260600;"opatowski";"świętokrzyskie";82;82;6765;13968;2297;943;2011
260700;"ostrowiecki";"świętokrzyskie";95;95;20904;21519;3381;1523;6453
260900;"sandomierski";"świętokrzyskie";86;86;14781;17875;3498;1348;1707
261000;"skarżyski";"świętokrzyskie";63;63;10858;13074;2306;869;12443
261100;"starachowicki";"świętokrzyskie";69;69;7095;14327;2129;598;21929
