"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
120600;"krakowski";"małopolskie";251;251;72193;75126;8075;13453
120800;"miechowski";"małopolskie";89;89;14141;7870;1537;2121
121200;"olkuski";"małopolskie";101;101;26237;24239;6745;4489
