"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PRZYBYTNIAK Leszek Janusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KARCZEWSKI Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"LECHOWSKI Krzysztof Grzegorz - KWW KRZYSZTOFA LECHOWSKIEGO"
140100;"białobrzeski";"mazowieckie";38;38;6251;11682;1309
140600;"grójecki";"mazowieckie";93;93;30339;25678;4455
140700;"kozienicki";"mazowieckie";67;67;12819;18350;2537
142300;"przysuski";"mazowieckie";66;66;5785;15405;2738
