"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZURKIEWICZ Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"LENZ Tomasz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
40400;"chełmiński";"kujawsko-pomorskie";52;52;9554;14163
41500;"toruński";"kujawsko-pomorskie";89;89;21256;37001
46300;"Toruń";"kujawsko-pomorskie";123;123;32669;77591
