"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KEMPINSKI Radosław Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAROCKA Krystyna Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOBIAK Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
40300;"bydgoski";"kujawsko-pomorskie";117;117;18736;9800;40771
41400;"świecki";"kujawsko-pomorskie";113;113;17169;7638;22670
41600;"tucholski";"kujawsko-pomorskie";60;60;9654;3951;10856
46100;"Bydgoszcz";"kujawsko-pomorskie";208;208;48886;21321;117527
