"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOGUCKA Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"MALEWSKI Bartosz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SNARSKI Sławomir Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
200300;"bielski";"podlaskie";56;56;11556;3229;12675
200500;"hajnowski";"podlaskie";49;49;6183;3470;12383
201000;"siemiatycki";"podlaskie";54;54;9944;3151;7709
201300;"wysokomazowiecki";"podlaskie";68;68;19252;4234;6213
