"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Stanisław Jan - KW NOWA LEWICA";"CZELEJ Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WYPYCH Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
60500;"janowski";"lubelskie";45;45;6169;15674;2765
60700;"kraśnicki";"lubelskie";95;95;13619;27231;6162
60900;"lubelski";"lubelskie";144;144;29348;43186;15844
61000;"łęczyński";"lubelskie";64;64;8830;15188;5366
61700;"świdnicki";"lubelskie";61;61;14028;18219;5993
