"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIDELSKI Zbigniew Antoni - KW BEZPARTYJNI SAMORZĄDOWCY";"GÓRSKI Maciej - KW PRAWO I SPRAWIEDLIWOŚĆ"
140300;"garwoliński";"mazowieckie";142;142;25760;35190
141200;"miński";"mazowieckie";122;122;51745;40059
143300;"węgrowski";"mazowieckie";72;72;14480;20899
