"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"FEDOROWICZ Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OSTROWSKI Krzysztof Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"JURGA Michał Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PRZYBYLSKI Dawid Krzysztof - KWW RDIP";"PIASECKI Mirosław - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
300300;"gnieźnieński";"wielkopolskie";127;127;40960;26021;8096;2188;2789
302300;"słupecki";"wielkopolskie";61;61;13690;12707;3081;783;1095
302500;"średzki";"wielkopolskie";54;54;17648;9919;4086;1086;1261
302600;"śremski";"wielkopolskie";47;47;16034;9863;3767;1115;2728
303000;"wrzesiński";"wielkopolskie";69;69;22796;13958;4229;1246;1434
