"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KARPIŃSKI Marcin - KW NOWA LEWICA";"ŁUCZAK Maciej Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOMAGAŁA Klaudia Ewa - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
100300;"łaski";"łódzkie";60;60;11589;12175;4731
100800;"pabianicki";"łódzkie";72;72;36298;23176;10314
102000;"zgierski";"łódzkie";135;135;50220;32424;14732
