"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"AŚCIUKIEWICZ Barbara Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"NAGÓRSKI Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GROMEK Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
320100;"białogardzki";"zachodniopomorskie";36;36;7157;2482;11755
320200;"choszczeński";"zachodniopomorskie";63;63;8239;2841;10987
320300;"drawski";"zachodniopomorskie";63;63;8782;3941;13814
320800;"kołobrzeski";"zachodniopomorskie";63;63;13991;3995;29724
321600;"świdwiński";"zachodniopomorskie";45;45;7844;2670;11182
321700;"wałecki";"zachodniopomorskie";46;46;7941;3503;14378
