"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZAK Rafał Zdzisław - KW BEZPARTYJNI SAMORZĄDOWCY";"RÓŻAŃSKI Mirosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAĆKOWIAK Grzegorz Przemysław - KW PRAWO I SPRAWIEDLIWOŚĆ"
80200;"krośnieński";"lubuskie";63;63;4136;15559;7620
80800;"świebodziński";"lubuskie";58;58;4473;15730;8322
80900;"zielonogórski";"lubuskie";75;75;7314;21933;10451
86200;"Zielona Góra";"lubuskie";77;77;12333;50825;17214
