"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOSIŃ Jakub - KW BEZPARTYJNI SAMORZĄDOWCY";"KACZMAREK Edmund Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZAREK Sławomir Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUŁAGA Jerzy Mieczysław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
260100;"buski";"świętokrzyskie";93;93;2705;14247;18941;3089;600
260200;"jędrzejowski";"świętokrzyskie";96;96;2956;16698;21013;3945;557
260300;"kazimierski";"świętokrzyskie";34;34;868;5486;8805;1300;181
260500;"konecki";"świętokrzyskie";85;85;2968;14662;20576;3512;570
260800;"pińczowski";"świętokrzyskie";42;42;2389;6321;8929;1631;1049
261200;"staszowski";"świętokrzyskie";88;88;2445;11028;19660;3332;502
261300;"włoszczowski";"świętokrzyskie";41;41;1370;7851;12441;2120;457
