"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZAJA Herbert Wincenty - KW BEZPARTYJNI SAMORZĄDOWCY";"PECZKIS Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"GODYLA Beniamin Wincenty - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
160200;"głubczycki";"opolskie";64;64;3262;9822;8455
160300;"kędzierzyńsko-kozielski";"opolskie";73;73;6878;12362;23787
160500;"krapkowicki";"opolskie";57;57;6174;6934;14881
160800;"oleski";"opolskie";69;69;5868;9415;14649
161100;"strzelecki";"opolskie";81;81;7276;9599;17071
