"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KURZAWA Agnieszka - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRODZKI Tomasz Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
321100;"policki";"zachodniopomorskie";51;51;13191;32743
326200;"Szczecin";"zachodniopomorskie";208;208;66234;149152
