"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARCZYK Kamil Sebastian - KW BEZPARTYJNI SAMORZĄDOWCY";"WITKOWSKI Waldemar Włodzimierz - KW NOWA LEWICA";"ŚLUSARZ Rafał Józef - KW PRAWO I SPRAWIEDLIWOŚĆ"
20100;"bolesławiecki";"dolnośląskie";82;82;15087;16525;13692
21000;"lubański";"dolnośląskie";44;44;6660;11878;9094
21200;"lwówecki";"dolnośląskie";50;50;5107;8922;7841
22500;"zgorzelecki";"dolnośląskie";96;96;12800;18047;15017
