"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GOGACZ Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIETRAS Artur Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAJCHEL Jan Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
60800;"lubartowski";"lubelskie";98;98;24831;7814;13647
61100;"łukowski";"lubelskie";133;133;32773;9038;14154
61200;"opolski";"lubelskie";71;71;16130;4555;8524
61400;"puławski";"lubelskie";109;109;28984;8977;25155
61600;"rycki";"lubelskie";78;78;16126;3749;10528
