"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz CZELEJ";"Paweł Adam GÓRNIK";"Krzysztof Zbigniew KAMIŃSKI";"Liczba obwodów"
"060500";"janowski";"lubelskie";34326;37088;11992;22332;84;115;0;0;0;0;0;0;0;22329;0;0;22329;480;165;315;0;21849;16595;1619;3635;38
"060700";"kraśnicki";"lubelskie";70764;76382;27986;42778;96;161;2;2;0;0;0;0;2;42771;2;3;42768;1019;276;743;0;41749;26483;3635;11631;86
"060900";"lubelski";"lubelskie";111285;121567;37403;73882;103;387;2;2;0;0;0;0;2;73878;2;6;73872;1751;547;1204;0;72121;41565;7428;23128;128
"061000";"łęczyński";"lubelskie";40768;44265;15430;25338;22;159;0;0;0;0;0;0;0;25336;0;0;25336;609;173;436;0;24727;13948;3528;7251;53
"061700";"świdnicki";"lubelskie";52395;56693;18590;33835;50;182;1;1;1;0;0;0;0;33832;0;0;33832;792;206;586;0;33040;18014;3317;11709;53
