"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Paweł Antoni ARNDT";"Robert Kazimierz GAWEŁ";"Michał Aleksander JURGA";"Mirosław PIASECKI";"Liczba obwodów"
"300300";"gnieźnieński";"wielkopolskie";102898;112158;34021;68873;65;265;6;5;0;0;0;0;5;68859;5;4;68855;1020;285;735;0;67835;31898;26664;5671;3602;92
"302300";"słupecki";"wielkopolskie";43410;47149;16948;26462;25;119;3;3;1;0;0;0;2;26464;2;0;26464;483;125;358;0;25981;8697;13165;2492;1627;41
"302500";"średzki";"wielkopolskie";40960;44969;13482;27478;13;111;0;0;0;0;0;0;0;27470;0;3;27467;514;159;355;0;26953;10579;10306;4232;1836;39
"302600";"śremski";"wielkopolskie";42793;46973;14668;28074;26;111;0;0;0;0;0;0;0;28073;0;0;28073;484;139;345;0;27589;10636;10190;3065;3698;36
"303000";"wrzesiński";"wielkopolskie";54446;59698;17867;36577;24;136;4;4;0;0;0;0;4;36578;4;7;36571;563;138;425;0;36008;15087;15088;3749;2084;52
