"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Paweł Antoni ARNDT";"Robert Kazimierz GAWEŁ";"Michał Aleksander JURGA";"Mirosław PIASECKI"
"ba8e-25cc-e966-4e62-590e-654d-d5d4-69b4";"300301";"92";"1";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Bolesława Chrobrego 12, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"670";"736";"289";"381";"1";"3";"0";"0";"0";"0";"0";"0";"0";"381";"0";"0";"381";"7";"1";"6";"0";"374";"204";"126";"28";"16"
"0a6c-a320-e776-64bf-c10b-4997-810a-3e08";"300301";"92";"2";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych Nr 3, ul. Henryka Sienkiewicza 6, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1280";"1394";"459";"818";"1";"3";"0";"0";"0";"0";"0";"0";"0";"818";"0";"0";"818";"8";"2";"6";"0";"810";"466";"237";"66";"41"
"d60f-8ad7-bcc9-5038-52ad-27b8-35dd-4f1c";"300301";"92";"3";"miasto";"stały";"II Liceum Ogólnokształcące im. Dąbrówki, ul. ks. Prym. Macieja Łubieńskiego 3/5, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1177";"1280";"417";"760";"0";"0";"0";"0";"0";"0";"0";"0";"0";"760";"0";"0";"760";"13";"4";"9";"0";"747";"384";"266";"64";"33"
"3e2b-3a44-fc4b-76be-27db-f146-bc7f-db49";"300301";"92";"4";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. ks. Prym. Macieja Łubieńskiego 7, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"666";"738";"282";"384";"0";"6";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"10";"3";"7";"0";"374";"221";"107";"33";"13"
"ae73-d38f-aa3b-f8bc-d269-2ae4-72ff-227f";"300301";"92";"5";"miasto";"stały";"Medyczne Studium Zawodowe, ul. Mieszka I 27, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1020";"1115";"372";"648";"1";"12";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"11";"3";"8";"0";"637";"321";"224";"54";"38"
"a32f-9365-bedf-5ccf-0428-9d40-44e5-2193";"300301";"92";"6";"miasto";"stały";"Żłobek Miejski, ul. Tadeusza Kościuszki 21, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"990";"1087";"454";"536";"1";"4";"0";"0";"0";"0";"0";"0";"0";"536";"0";"0";"536";"13";"5";"8";"0";"523";"255";"191";"49";"28"
"96c8-d206-e6af-1d95-3530-0983-d510-96d2";"300301";"92";"7";"miasto";"stały";"Żłobek Miejski, ul. Tadeusza Kościuszki 21, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1917";"2075";"931";"986";"0";"2";"0";"0";"0";"0";"0";"0";"0";"986";"0";"0";"986";"11";"4";"7";"0";"975";"496";"337";"88";"54"
"23ed-239a-8d27-cddf-fbae-6e58-b269-2864";"300301";"92";"8";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. św. Jana 2a, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1947";"2115";"809";"1138";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1138";"0";"0";"1138";"20";"12";"8";"0";"1118";"500";"477";"92";"49"
"82b4-8996-8fe2-ee23-3aa0-c430-826a-9e14";"300301";"92";"9";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Stefana Czarnieckiego 7, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1977";"2171";"456";"1521";"2";"9";"1";"1";"0";"0";"0";"0";"1";"1522";"1";"0";"1522";"17";"5";"12";"0";"1505";"762";"549";"123";"71"
"2d72-99a2-eacb-e092-86c9-b663-c9aa-72b1";"300301";"92";"10";"miasto";"stały";"I Liceum Ogólnokształcące im. B. Chrobrego, ul. Kostrzewskiego 3, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1325";"1487";"306";"1019";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1018";"0";"0";"1018";"7";"1";"6";"0";"1011";"607";"288";"72";"44"
