"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Henryk KIERZKOWSKI";"Józef Marian LEWANDOWSKI";"Jerzy Jan WENDERLICH";"Łukasz ZBONIKOWSKI";"Józef Mikołaj ŁYCZAK";"Liczba obwodów"
"040101";"gmina miejska";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";8837;9708;3493;5344;4;59;0;0;0;0;0;0;0;5344;0;0;5344;83;28;55;0;5261;280;362;2247;468;1904;10
"040102";"gmina miejska";"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";8729;10849;937;7792;14;2166;2;2;0;0;0;0;2;7791;2;0;7791;98;33;65;0;7693;383;511;3332;517;2950;7
"040103";"gmina miejska";"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1399;1535;533;866;4;8;0;0;0;0;0;0;0;865;0;0;865;24;13;11;0;841;67;45;311;78;340;3
"040104";"gmina wiejska";"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";8275;9103;3619;4656;4;23;1;1;0;0;0;0;1;4655;1;0;4655;105;31;74;0;4550;308;303;1400;420;2119;10
"040105";"gmina wiejska";"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";3172;3461;1372;1800;2;15;0;0;0;0;0;0;0;1800;0;0;1800;29;8;21;0;1771;84;79;477;154;977;4
"040106";"gmina wiejska";"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";2352;2646;1118;1234;2;4;0;0;0;0;0;0;0;1234;0;0;1234;36;4;32;0;1198;74;67;254;89;714;5
"040107";"gmina wiejska";"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";2450;2573;1031;1419;2;6;0;0;0;0;0;0;0;1419;0;0;1419;19;3;16;0;1400;66;87;451;130;666;5
"040108";"gmina wiejska";"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";3277;3614;1394;1883;2;1;0;0;0;0;0;0;0;1882;0;0;1882;31;7;24;0;1851;106;90;407;211;1037;7
"040109";"gmina wiejska";"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";2565;2822;1181;1385;0;3;0;0;0;0;0;0;0;1384;0;0;1384;35;5;30;0;1349;80;92;387;123;667;5
"040801";"gmina miejska";"m. Lipno";"lipnowski";"kujawsko-pomorskie";10129;11113;4397;5732;12;29;0;0;0;0;0;0;0;5731;0;0;5731;125;52;73;0;5606;338;335;2410;471;2052;10
