"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Małgorzata KOPICZKO";"Jolanta PIOTROWSKA";"Stanisław TOŁWIŃSKI";"Liczba obwodów"
"280500";"ełcki";"warmińsko-mazurskie";62580;67446;29002;33575;45;273;2;2;0;0;0;0;2;33576;2;0;33576;712;182;530;0;32864;14695;12553;5616;53
"280600";"giżycki";"warmińsko-mazurskie";40134;44372;16511;23622;33;322;2;2;0;0;0;0;2;23620;2;2;23618;414;113;301;0;23204;8025;11137;4042;48
"280800";"kętrzyński";"warmińsko-mazurskie";46043;49524;21905;24148;30;168;3;3;0;0;0;0;3;24148;3;0;24148;485;87;398;0;23663;9194;9007;5462;58
"281000";"mrągowski";"warmińsko-mazurskie";36128;39560;15284;20841;29;358;0;0;0;0;0;0;0;20843;0;0;20843;424;104;320;0;20419;7827;8833;3759;43
"281300";"olecki";"warmińsko-mazurskie";24063;26098;11702;12362;14;136;2;2;0;0;0;0;2;12362;2;0;12362;248;60;188;0;12114;5922;4207;1985;33
"281600";"piski";"warmińsko-mazurskie";40368;43919;18699;21669;32;287;0;0;0;0;0;0;0;21668;0;1;21667;433;79;354;0;21234;11046;6663;3525;44
"281800";"gołdapski";"warmińsko-mazurskie";19278;21209;9435;9842;12;174;2;2;0;0;0;1;1;9843;1;0;9843;173;35;138;0;9670;3936;3601;2133;25
"281900";"węgorzewski";"warmińsko-mazurskie";16705;17883;7759;8946;11;132;3;3;0;0;0;0;3;8948;3;0;8948;146;35;111;0;8802;3265;3594;1943;25
