"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert Adam MAMĄTOW";"Tadeusz NALEWAJK";"Liczba obwodów"
"141101";"gmina miejska";"m. Maków Mazowiecki";"makowski";"mazowieckie";7097;7909;2622;4475;7;26;0;0;0;0;0;0;0;4475;0;0;4475;140;39;101;0;4335;2293;2042;7
"141102";"gmina wiejska";"gm. Czerwonka";"makowski";"mazowieckie";1940;2124;737;1203;8;10;0;0;0;0;0;0;0;1202;0;0;1202;34;2;32;0;1168;867;301;4
"141103";"gmina wiejska";"gm. Karniewo";"makowski";"mazowieckie";3762;4109;1501;2261;3;7;0;0;0;0;0;0;0;2261;0;0;2261;57;19;38;0;2204;1482;722;4
"141104";"gmina wiejska";"gm. Krasnosielc";"makowski";"mazowieckie";4670;5050;2061;2609;8;11;0;0;0;0;0;0;0;2609;0;0;2609;86;22;64;0;2523;1669;854;6
"141105";"gmina wiejska";"gm. Młynarze";"makowski";"mazowieckie";1240;1360;426;814;1;2;0;0;0;0;0;0;0;814;0;0;814;36;11;25;0;778;535;243;3
"141106";"gmina wiejska";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";4040;4441;1704;2336;0;10;0;0;0;0;0;0;0;2336;0;0;2336;79;19;60;0;2257;1583;674;8
"141107";"gmina miejsko-wiejska";"gm. Różan";"makowski";"mazowieckie";3243;3581;1178;2064;4;39;0;0;0;0;0;0;0;2065;0;0;2065;51;11;40;0;2014;1195;819;3
"141108";"gmina wiejska";"gm. Rzewnie";"makowski";"mazowieckie";1977;2202;635;1342;0;30;0;0;0;0;0;0;0;1342;0;0;1342;40;5;35;0;1302;874;428;3
"141109";"gmina wiejska";"gm. Sypniewo";"makowski";"mazowieckie";2400;2605;829;1571;3;4;0;0;0;0;0;0;0;1571;0;0;1571;36;10;26;0;1535;1068;467;4
"141110";"gmina wiejska";"gm. Szelków";"makowski";"mazowieckie";2660;2906;991;1669;1;18;0;0;0;0;0;0;0;1668;0;0;1668;35;8;27;0;1633;1093;540;7
"141501";"gmina wiejska";"gm. Baranowo";"ostrołęcki";"mazowieckie";4794;5213;2168;2626;6;5;0;0;0;0;0;0;0;2626;0;0;2626;62;9;53;0;2564;1668;896;6
"141502";"gmina wiejska";"gm. Czarnia";"ostrołęcki";"mazowieckie";1798;1949;879;919;0;2;0;0;0;0;0;0;0;919;0;0;919;21;3;18;0;898;632;266;4
"141503";"gmina wiejska";"gm. Czerwin";"ostrołęcki";"mazowieckie";3758;4152;1466;2292;12;15;0;0;0;0;0;0;0;2292;0;0;2292;32;2;30;0;2260;1640;620;7
"141504";"gmina wiejska";"gm. Goworowo";"ostrołęcki";"mazowieckie";6185;6717;2805;3380;14;21;0;0;0;0;0;0;0;3378;0;0;3378;148;34;114;0;3230;2261;969;8
"141505";"gmina wiejska";"gm. Kadzidło";"ostrołęcki";"mazowieckie";8162;8851;3504;4658;2;21;0;0;0;0;0;0;0;4658;0;0;4658;151;29;122;0;4507;3032;1475;15
"141506";"gmina wiejska";"gm. Lelis";"ostrołęcki";"mazowieckie";6779;7396;2524;4255;2;8;0;0;0;0;0;0;0;4255;0;0;4255;129;40;89;0;4126;2810;1316;8
