"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Helena Adela CZAKOWSKA";"Andrzej KOBIAK";"Leszek Józef POSŁUSZNY";"Liczba obwodów"
"040301";"gmina wiejska";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";14414;16119;3280;11134;4;58;0;0;0;0;0;0;0;11131;0;0;11131;144;50;94;0;10987;3140;6250;1597;15
"040302";"gmina wiejska";"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";5752;6367;2297;3455;1;16;0;0;0;0;0;0;0;3455;0;0;3455;63;14;49;0;3392;1343;1466;583;10
"040303";"gmina wiejska";"gm. Dobrcz";"bydgoski";"kujawsko-pomorskie";8011;8886;2675;5336;6;22;0;0;0;0;0;0;0;5336;0;0;5336;116;21;95;0;5220;1961;2510;749;11
"040304";"gmina miejsko-wiejska";"gm. Koronowo";"bydgoski";"kujawsko-pomorskie";17263;18808;6988;10275;6;66;1;1;1;0;0;0;0;10272;0;0;10272;224;53;171;0;10048;3940;4749;1359;23
"040305";"gmina wiejska";"gm. Nowa Wieś Wielka";"bydgoski";"kujawsko-pomorskie";6998;7736;2377;4621;7;30;0;0;0;0;0;0;0;4619;0;0;4619;71;14;57;0;4548;1515;2359;674;8
"040306";"gmina wiejska";"gm. Osielsko";"bydgoski";"kujawsko-pomorskie";9484;10602;1468;8016;2;66;0;0;0;0;0;0;0;8016;0;0;8016;104;24;80;0;7912;1933;4972;1007;13
"040307";"gmina wiejska";"gm. Sicienko";"bydgoski";"kujawsko-pomorskie";7249;7937;2605;4644;4;20;0;0;0;0;0;0;0;4644;0;0;4644;91;24;67;0;4553;1562;2242;749;11
"040308";"gmina miejsko-wiejska";"gm. Solec Kujawski";"bydgoski";"kujawsko-pomorskie";11322;12447;3703;7619;18;28;0;0;0;0;0;0;0;7617;0;0;7617;122;16;106;0;7495;2427;3835;1233;12
"041401";"gmina wiejska";"gm. Bukowiec";"świecki";"kujawsko-pomorskie";3518;3887;1599;1919;1;9;0;0;0;0;0;0;0;1919;0;0;1919;63;6;57;0;1856;974;626;256;6
"041402";"gmina wiejska";"gm. Dragacz";"świecki";"kujawsko-pomorskie";4957;5615;2147;2810;3;9;0;0;0;0;0;0;0;2810;0;0;2810;39;9;30;0;2771;1199;1165;407;8
"041403";"gmina wiejska";"gm. Drzycim";"świecki";"kujawsko-pomorskie";3509;3859;1571;1938;3;7;0;0;0;0;0;0;0;1938;0;0;1938;40;6;34;0;1898;993;660;245;5
"041404";"gmina wiejska";"gm. Jeżewo";"świecki";"kujawsko-pomorskie";5585;6131;2468;3117;9;21;0;0;0;0;0;0;0;3117;0;0;3117;77;17;60;0;3040;1455;1147;438;6
"041405";"gmina wiejska";"gm. Lniano";"świecki";"kujawsko-pomorskie";2974;3296;1114;1860;0;11;0;0;0;0;0;0;0;1860;0;0;1860;42;7;35;0;1818;931;634;253;5
"041406";"gmina miejsko-wiejska";"gm. Nowe";"świecki";"kujawsko-pomorskie";7179;7849;3354;3825;3;11;0;0;0;0;0;0;0;3825;0;0;3825;69;7;62;0;3756;1549;1647;560;10
"041407";"gmina wiejska";"gm. Osie";"świecki";"kujawsko-pomorskie";3897;4331;1680;2217;0;27;0;0;0;0;0;0;0;2216;0;0;2216;66;8;58;0;2150;743;988;419;5
"041408";"gmina wiejska";"gm. Pruszcz";"świecki";"kujawsko-pomorskie";6815;7363;2662;4153;12;17;0;0;0;0;0;0;0;4153;0;0;4153;82;20;62;0;4071;1721;1748;602;10
"041409";"gmina miejsko-wiejska";"gm. Świecie";"świecki";"kujawsko-pomorskie";23535;25193;8904;14631;12;65;3;3;0;0;0;0;3;14633;3;0;14633;312;56;256;0;14321;4905;7621;1795;23
"041410";"gmina wiejska";"gm. Świekatowo";"świecki";"kujawsko-pomorskie";2570;2851;1054;1516;1;9;0;0;0;0;0;0;0;1516;0;0;1516;45;8;37;0;1471;654;589;228;6
"041411";"gmina wiejska";"gm. Warlubie";"świecki";"kujawsko-pomorskie";4472;4943;2230;2242;4;13;1;1;0;0;0;0;1;2243;1;0;2243;60;22;38;0;2183;1065;794;324;6
"041601";"gmina wiejska";"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";4766;5303;1802;2964;4;24;0;0;0;0;0;0;0;2964;0;0;2964;65;12;53;0;2899;1316;1211;372;6
"041602";"gmina wiejska";"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";3656;4059;1549;2107;2;12;0;0;0;0;0;0;0;2107;0;0;2107;50;7;43;0;2057;952;819;286;6
"041603";"gmina wiejska";"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";3173;3485;1347;1825;0;12;0;0;0;0;0;0;0;1826;0;0;1826;55;3;52;0;1771;923;612;236;6
"041604";"gmina wiejska";"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";4196;4670;1579;2617;3;14;0;0;0;0;0;0;0;2616;0;0;2616;71;2;69;0;2545;1256;925;364;7
"041605";"gmina wiejska";"gm. Śliwice";"tucholski";"kujawsko-pomorskie";3904;4361;1435;2469;3;41;0;0;0;0;0;0;0;2469;0;0;2469;51;12;39;0;2418;1245;873;300;6
"041606";"gmina miejsko-wiejska";"gm. Tuchola";"tucholski";"kujawsko-pomorskie";14177;15466;5231;8946;12;73;2;2;0;0;0;0;2;8948;2;0;8948;147;35;112;0;8801;3580;4196;1025;20
"046101";"gmina miejska";"m. Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";239753;261549;65108;174643;157;1324;57;55;4;0;0;0;51;174675;51;4;174671;2935;630;2305;0;171736;54531;95834;21371;204
