"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bronisław DUTKA";"Jan Wincenty HAMERSKI";"Bogusław WAKSMUNDZKI"
"40e6-116a-7fa7-e82c-c3d3-a6e1-8321-bfd2";"120701";"36";"1";"miasto";"stały";"Zespół Szkolno – Przedszkolny Nr 1, ul. Marii Konopnickiej 4, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"746";"825";"223";"523";"1";"6";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"19";"8";"11";"0";"504";"150";"268";"86"
"f26e-c70b-3760-877b-c03e-a2d3-0b54-3570";"120701";"36";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Jordana 3, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"718";"782";"222";"496";"0";"1";"0";"0";"0";"0";"0";"0";"0";"496";"0";"0";"496";"8";"3";"5";"0";"488";"103";"317";"68"
"673d-f8e7-4c7a-d9b5-2e34-a525-4bb3-6e3b";"120701";"36";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Józefa Piłsudskiego 91, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"636";"663";"204";"432";"1";"4";"0";"0";"0";"0";"0";"0";"0";"432";"0";"0";"432";"13";"3";"10";"0";"419";"116";"242";"61"
"d1fc-30b3-d1c0-944a-0c09-f346-5d9a-6fbc";"120701";"36";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Józefa Piłsudskiego 91, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"800";"869";"263";"537";"0";"2";"1";"1";"1";"0";"0";"0";"0";"537";"0";"0";"537";"11";"5";"6";"0";"526";"114";"362";"50"
"5861-6fa1-f940-fb08-0e43-58ee-e754-df8d";"120701";"36";"5";"miasto";"stały";"Zespół Szkolno – Przedszkolny Nr 4, ul. Władysława Reymonta 3, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"780";"850";"202";"578";"1";"11";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"11";"5";"6";"0";"567";"100";"400";"67"
"1de7-10f6-b456-c1a0-c3a3-08bb-bea0-770f";"120701";"36";"6";"miasto";"stały";"Auto – Moto Klub Limanowa, ul. Wincentego Witosa 22, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"644";"686";"206";"438";"0";"1";"0";"0";"0";"0";"0";"0";"0";"438";"0";"0";"438";"14";"6";"8";"0";"424";"134";"236";"54"
"2971-9133-682e-00af-953a-bb74-e1c7-ba76";"120701";"36";"7";"miasto";"stały";"Zespół Szkolno – Przedszkolny Nr 1, ul. Marii Konopnickiej 4, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"1367";"1479";"393";"974";"3";"15";"0";"0";"0";"0";"0";"0";"0";"974";"0";"0";"974";"26";"12";"14";"0";"948";"179";"639";"130"
"1d9f-f2a0-5b66-0766-0f48-a047-8642-9c8c";"120701";"36";"8";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Matki Boskiej Bolesnej 13, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"1336";"1431";"371";"965";"1";"20";"0";"0";"0";"0";"0";"0";"0";"965";"0";"0";"965";"22";"10";"12";"0";"943";"233";"564";"146"
"f590-eb6b-b3cc-1a36-32ba-cb8a-3c65-87b4";"120701";"36";"9";"miasto";"stały";"Państwowa Szkoła Muzyczna, ul. Tadeusza Kościuszki 23, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"1438";"1526";"341";"1097";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1097";"0";"0";"1097";"31";"12";"19";"0";"1066";"253";"638";"175"
"5853-dfd0-3a03-abb1-7296-7235-0784-6347";"120701";"36";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Stanisława Jordana 3, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"710";"746";"205";"505";"0";"4";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"18";"7";"11";"0";"487";"126";"264";"97"
