"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bronisław DUTKA";"Jan Wincenty HAMERSKI";"Bogusław WAKSMUNDZKI"
"b080-9998-20a4-98bc-88aa-3d2a-084e-772f";"120701";"36";"11";"miasto";"stały";"Muzeum Regionalne Ziemi Limanowskiej, ul. Józefa Marka 13, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"667";"703";"248";"419";"0";"6";"0";"0";"0";"0";"0";"0";"0";"419";"0";"0";"419";"12";"5";"7";"0";"407";"124";"218";"65"
"f21d-2290-ea81-23dc-3510-3c60-ad04-cf1b";"120701";"36";"12";"miasto";"stały";"Muzeum Regionalne Ziemi Limanowskiej, ul. Józefa Marka 13, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"856";"929";"317";"539";"1";"1";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"13";"5";"8";"0";"526";"149";"270";"107"
"6d21-384d-1ef6-cb5d-e353-ae05-0144-174a";"120701";"36";"13";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Wincentego Witosa 24/26, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"60";"51";"33";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"0";"0";"0";"0";"27";"7";"19";"1"
"d261-c9fd-6a07-471a-8cad-2f2e-10e2-d9ad";"120701";"36";"14";"miasto";"zakład leczniczy";"Szpital Powiatowy im. Miłosierdzia Bożego, ul. Józefa Piłsudskiego 61, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"200";"175";"136";"64";"0";"11";"0";"0";"0";"0";"0";"0";"0";"64";"0";"0";"64";"5";"0";"5";"0";"59";"17";"40";"2"
"6986-3c83-e433-93db-acb2-89bb-1747-6c1a";"120701";"36";"15";"miasto";"zakład leczniczy";"Niepubliczny Zakład Opieki Zdrowotnej ""RehStab"", ul. Józefa Piłsudskiego 53, 34-600 Limanowa";"m. Limanowa";"limanowski";"małopolskie";"90";"47";"66";"24";"0";"2";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"1";"0";"1";"0";"23";"4";"15";"4"
"3eac-ca7c-451d-7fe8-7621-9bd5-a9d3-0e2f";"120702";"36";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Henryka Sienkiewicza 2, 34-730 Mszana Dolna";"m. Mszana Dolna";"limanowski";"małopolskie";"1060";"1123";"375";"685";"1";"5";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"13";"3";"10";"0";"672";"163";"418";"91"
"847d-e05e-f02e-df45-5f80-d347-b051-3fd4";"120702";"36";"2";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Henryka Sienkiewicza 2, 34-730 Mszana Dolna";"m. Mszana Dolna";"limanowski";"małopolskie";"1460";"1550";"502";"958";"1";"3";"0";"0";"0";"0";"0";"0";"0";"958";"0";"0";"958";"11";"1";"10";"0";"947";"277";"556";"114"
"8f7f-a918-c326-41b3-b88e-66ac-8bec-c7f0";"120702";"36";"3";"miasto";"stały";"Urząd Miasta, ul. marsz. Józefa Piłsudskiego 2, 34-730 Mszana Dolna";"m. Mszana Dolna";"limanowski";"małopolskie";"1483";"1576";"544";"939";"0";"11";"0";"0";"0";"0";"0";"0";"0";"939";"0";"0";"939";"26";"5";"21";"0";"913";"255";"549";"109"
"582e-5380-9780-10bd-a427-a6ef-7e31-7745";"120702";"36";"4";"miasto";"stały";"Zespół Placówek Oświatowych, ul. Rynek 21, 34-730 Mszana Dolna";"m. Mszana Dolna";"limanowski";"małopolskie";"1764";"1871";"620";"1144";"10";"4";"0";"0";"0";"0";"0";"0";"0";"1144";"0";"0";"1144";"26";"9";"17";"0";"1118";"273";"714";"131"
"916e-c088-4cca-47b3-bdf3-8e99-32d0-d17d";"120703";"36";"1";"wieś";"stały";"Szkoła Podstawowa im. Leopolda Węgrzynowicza (sala I), Dobra 1, 34-642 Dobra";"gm. Dobra";"limanowski";"małopolskie";"1091";"1183";"409";"682";"0";"0";"1";"1";"1";"0";"0";"0";"0";"682";"0";"0";"682";"17";"8";"9";"0";"665";"168";"435";"62"
"7efb-efb3-7a92-019b-9395-e277-a180-ac46";"120703";"36";"2";"wieś";"stały";"Szkoła Podstawowa im. Leopolda Węgrzynowicza (sala II), Dobra 1, 34-642 Dobra";"gm. Dobra";"limanowski";"małopolskie";"940";"1003";"399";"541";"0";"4";"1";"1";"0";"0";"0";"0";"1";"542";"1";"0";"542";"17";"4";"13";"0";"525";"125";"344";"56"
"17d2-e024-594e-d4a0-53ee-c03b-1373-ae6d";"120703";"36";"3";"wieś";"stały";"Szkoła Podstawowa im. Leopolda Węgrzynowicza (sala III), Dobra 1, 34-642 Dobra";"gm. Dobra";"limanowski";"małopolskie";"1035";"1116";"387";"648";"1";"7";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"18";"8";"10";"0";"630";"162";"413";"55"
"e79c-52ab-9e54-4c2e-b454-df11-304f-c845";"120703";"36";"4";"wieś";"stały";"Szkoła Podstawowa im. Władysława Orkana (sala I), Jurków 115, 34-643 Jurków";"gm. Dobra";"limanowski";"małopolskie";"863";"936";"259";"604";"0";"11";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"604";"10";"3";"7";"0";"594";"128";"424";"42"
"804c-e74b-7c00-059c-d05a-2ba1-46fa-0d20";"120703";"36";"5";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II (sala I), Skrzydlna 186, 34-625 Skrzydlna";"gm. Dobra";"limanowski";"małopolskie";"783";"842";"318";"465";"0";"1";"0";"0";"0";"0";"0";"0";"0";"465";"0";"0";"465";"12";"1";"11";"0";"453";"133";"277";"43"
"4e54-b79a-7f62-dba1-e0bb-cff3-fd00-053d";"120703";"36";"6";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Stróża 1, 34-625 Stróża";"gm. Dobra";"limanowski";"małopolskie";"420";"454";"153";"267";"0";"0";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"1";"0";"1";"0";"266";"39";"215";"12"
"6a9a-d4a8-5f47-3dd2-62e3-5b5f-6bc7-0903";"120703";"36";"7";"wieś";"stały";"Szkoła Podstawowa im. Janusza Korczaka, Wilczyce 109, 34-643 Wilczyce";"gm. Dobra";"limanowski";"małopolskie";"450";"496";"170";"280";"0";"2";"0";"0";"0";"0";"0";"0";"0";"280";"0";"0";"280";"1";"0";"1";"0";"279";"38";"229";"12"
"c963-9d25-011b-3bf9-8030-c7e8-674b-0485";"120703";"36";"8";"wieś";"stały";"Szkoła Podstawowa im. Władysława Orkana (sala II), Jurków 115, 34-643 Jurków";"gm. Dobra";"limanowski";"małopolskie";"910";"992";"385";"525";"1";"0";"0";"0";"0";"0";"0";"0";"0";"525";"0";"0";"525";"2";"1";"1";"0";"523";"71";"425";"27"
"b4c7-d6bc-ed90-5249-7f5d-744c-76eb-8d65";"120703";"36";"9";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II (sala II), Skrzydlna 186, 34-625 Skrzydlna";"gm. Dobra";"limanowski";"małopolskie";"636";"674";"266";"370";"0";"1";"1";"1";"0";"0";"0";"0";"1";"371";"1";"0";"371";"7";"1";"6";"0";"364";"111";"217";"36"
"33ce-372e-50aa-f6d1-3299-4e04-1d5e-6b73";"120704";"36";"1";"wieś";"stały";"Urząd Gminy, Jodłownik 198, 34-620 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"1128";"1201";"451";"677";"0";"4";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"20";"5";"15";"0";"657";"170";"452";"35"
"ad29-6c9d-7139-e52b-4941-89fa-736c-8d50";"120704";"36";"2";"wieś";"stały";"Remiza OSP, Krasne-Lasocice 150, 34-620 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"743";"799";"313";"430";"0";"3";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"10";"2";"8";"0";"420";"136";"262";"22"
"5fd5-4091-1dc1-39fb-1d91-67ef-1f85-21cd";"120704";"36";"3";"wieś";"stały";"Szkoła Podstawowa, Szczyrzyc 123, 34-623 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"976";"1059";"376";"600";"0";"3";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"14";"6";"8";"0";"586";"159";"370";"57"
"2f38-7264-14b5-2ed4-bda5-2e53-446d-00ca";"120704";"36";"4";"wieś";"stały";"Szkoła Podstawowa, Szyk 117, 34-620 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"640";"702";"192";"448";"0";"4";"0";"0";"0";"0";"0";"0";"0";"448";"0";"0";"448";"14";"2";"12";"0";"434";"60";"357";"17"
"f20e-1215-e8dd-3771-49e5-ee2f-64cc-208f";"120704";"36";"5";"wieś";"stały";"Szkoła Podstawowa, Wilkowisko 222, 34-617 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"952";"1013";"314";"638";"1";"1";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"23";"1";"22";"0";"615";"129";"438";"48"
"61b9-f12d-b912-76d7-1a1a-96f0-1d11-8524";"120704";"36";"6";"wieś";"stały";"Urząd Gminy, Jodłownik 198, 34-620 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"727";"796";"275";"452";"0";"0";"0";"0";"0";"0";"0";"0";"0";"452";"0";"0";"452";"9";"2";"7";"0";"443";"87";"329";"27"
"b34a-1941-c2e0-c16c-eaf6-d37e-ba48-19e8";"120704";"36";"7";"wieś";"stały";"Świetlica Wiejska, Góra Świętego Jana 85, 34-623 Jodłownik";"gm. Jodłownik";"limanowski";"małopolskie";"220";"241";"61";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"2";"0";"2";"0";"157";"25";"125";"7"
"32bc-401d-f31d-7c7b-9e66-3512-24fa-1b63";"120704";"36";"8";"wieś";"stały";"Szkoła Podstawowa, Szczyrzyc 123, 34-620 Szczyrzyc";"gm. Jodłownik";"limanowski";"małopolskie";"667";"715";"267";"400";"0";"4";"0";"0";"0";"0";"0";"0";"0";"400";"0";"0";"400";"8";"3";"5";"0";"392";"92";"274";"26"
"0b12-0c3b-9bee-a424-7cd5-5a6e-1178-d73e";"120704";"36";"9";"wieś";"zakład leczniczy";"Szpital pw. św. Jana Jerozolimskiego, Szczyrzyc 107, 34-623 Szczyrzyc";"gm. Jodłownik";"limanowski";"małopolskie";"50";"21";"35";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"3";"0";"3";"0";"12";"3";"8";"1"
"05d5-56f1-38f2-5a3e-ca87-f931-f457-df11";"120704";"36";"10";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Szczyrzyc 182, 34-623 Szczyrzyc";"gm. Jodłownik";"limanowski";"małopolskie";"70";"66";"43";"27";"0";"1";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"4";"1";"3";"0";"23";"4";"18";"1"
"e769-6281-54ae-42fe-5d59-9011-8ca7-a4e4";"120705";"36";"1";"wieś";"stały";"Szkoła Podstawowa Nr 1, Kamienica 490, 34-608 Kamienica";"gm. Kamienica";"limanowski";"małopolskie";"1614";"1698";"638";"976";"4";"9";"0";"0";"0";"0";"0";"0";"0";"975";"0";"0";"975";"29";"9";"20";"0";"946";"158";"706";"82"
"bd90-58a9-dc4a-ce24-826d-8eef-4fcb-1162";"120705";"36";"2";"wieś";"stały";"Szkoła Podstawowa Nr 2, Kamienica 343, 34-608 Kamienica";"gm. Kamienica";"limanowski";"małopolskie";"828";"871";"320";"508";"0";"1";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"13";"3";"10";"0";"495";"88";"367";"40"
"e934-ef51-e232-6587-578a-f754-12f3-5825";"120705";"36";"3";"wieś";"stały";"Szkoła Podstawowa Nr 1, Szczawa 167, 34-607 Kamienica";"gm. Kamienica";"limanowski";"małopolskie";"1440";"1533";"550";"890";"1";"22";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"29";"2";"27";"0";"861";"184";"609";"68"
"c03f-4de1-e2fb-b79f-eb92-fd77-73bd-cd5c";"120705";"36";"4";"wieś";"stały";"Szkoła Podstawowa, Zalesie 265, 34-608 Kamienica";"gm. Kamienica";"limanowski";"małopolskie";"722";"770";"250";"472";"0";"2";"0";"0";"0";"0";"0";"0";"0";"472";"0";"0";"472";"15";"7";"8";"0";"457";"65";"365";"27"
"42bd-ef5d-1aa4-af63-a55d-a43b-34f3-15cd";"120705";"36";"5";"wieś";"stały";"Zepół Szkoły i Przedszkola, Zbludza 110, 34-608 Kamienica";"gm. Kamienica";"limanowski";"małopolskie";"535";"564";"190";"345";"1";"4";"0";"0";"0";"0";"0";"0";"0";"345";"0";"0";"345";"13";"0";"13";"0";"332";"52";"249";"31"
"f4ab-537c-550c-c9ad-e9b9-83bb-375a-705b";"120705";"36";"6";"wieś";"stały";"Szkoła Podstawowa, Zasadne 91, 34-608 Kamienica";"gm. Kamienica";"limanowski";"małopolskie";"430";"462";"143";"287";"0";"0";"0";"0";"0";"0";"0";"0";"0";"287";"0";"1";"286";"17";"1";"16";"0";"269";"47";"215";"7"
"2c65-9ad7-88f7-96e8-ae2d-38f2-eea6-1012";"120706";"36";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Laskowa 2, 34-602 Laskowa";"gm. Laskowa";"limanowski";"małopolskie";"1140";"1256";"245";"895";"3";"9";"0";"0";"0";"0";"0";"0";"0";"895";"0";"0";"895";"14";"3";"11";"0";"881";"182";"648";"51"
"f2a7-6eb7-a681-d056-1063-bbce-3a00-d150";"120706";"36";"2";"wieś";"stały";"Szkoła Podstawowa, Kamionka Mała 134, 34-602 Laskowa";"gm. Laskowa";"limanowski";"małopolskie";"620";"675";"217";"403";"0";"0";"0";"0";"0";"0";"0";"0";"0";"403";"0";"0";"403";"3";"2";"1";"0";"400";"52";"327";"21"
"7428-32a7-4c98-576e-5cc7-3cd6-f8dc-b984";"120706";"36";"3";"wieś";"stały";"Zespół Szkolno – Przedszkolny, Ujanowice 55, 34-603 Ujanowice";"gm. Laskowa";"limanowski";"małopolskie";"1080";"1181";"260";"820";"1";"8";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"20";"5";"15";"0";"800";"75";"696";"29"
"703c-4053-54cb-5c86-ebba-fc35-2ede-484e";"120706";"36";"4";"wieś";"stały";"Szkoła Podstawowa, Krosna 109, 34-603 Ujanowice";"gm. Laskowa";"limanowski";"małopolskie";"640";"698";"155";"485";"2";"0";"0";"0";"0";"0";"0";"0";"0";"485";"0";"0";"485";"11";"0";"11";"0";"474";"53";"401";"20"
"946c-e1fa-2c02-2582-906f-49c5-140c-4068";"120706";"36";"5";"wieś";"stały";"Szkoła Podstawowa, Jaworzna 111, 34-602 Laskowa";"gm. Laskowa";"limanowski";"małopolskie";"370";"415";"58";"312";"0";"3";"0";"0";"0";"0";"0";"0";"0";"312";"0";"0";"312";"6";"1";"5";"0";"306";"42";"240";"24"
"984e-c80b-9782-978e-4e5b-cc0e-02c2-412f";"120706";"36";"6";"wieś";"stały";"Szkoła Podstawowa, Żmiąca 128, 34-603 Ujanowice";"gm. Laskowa";"limanowski";"małopolskie";"500";"549";"109";"391";"1";"2";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"8";"0";"8";"0";"383";"44";"324";"15"
"31ad-561a-3c10-cfc1-ba3f-9607-0686-bc53";"120706";"36";"7";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Laskowa 2, 34-602 Laskowa";"gm. Laskowa";"limanowski";"małopolskie";"1190";"1303";"276";"914";"1";"5";"0";"0";"0";"0";"0";"0";"0";"914";"0";"0";"914";"13";"3";"10";"0";"901";"106";"739";"56"
"f4e5-3ba9-a81d-16b2-3fc3-2776-d512-ae1c";"120707";"36";"1";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Rupniów 206, 34-652 Nowe Rybie";"gm. Limanowa";"limanowski";"małopolskie";"1139";"1209";"369";"770";"0";"0";"0";"0";"0";"0";"0";"0";"0";"770";"0";"0";"770";"12";"3";"9";"0";"758";"167";"547";"44"
"97b4-b02a-5a84-18fa-b706-d4f2-d3d3-fe08";"120707";"36";"2";"wieś";"stały";"Szkoła Podstawowa Nr 1 im. Bohaterów Westerplatte, Stara Wieś 549, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"1874";"2025";"550";"1324";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1324";"0";"0";"1324";"35";"7";"28";"0";"1289";"190";"993";"106"
"f1c1-158e-4f41-30da-772c-f623-ae57-04a4";"120707";"36";"3";"wieś";"stały";"Szkoła Podstawowa im. Juliana Tuwima, Kanina 71, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"420";"465";"120";"300";"0";"2";"0";"0";"0";"0";"0";"0";"0";"300";"0";"0";"300";"10";"1";"9";"0";"290";"79";"198";"13"
"d694-9075-87c5-6812-15ac-8a64-cde3-78ea";"120707";"36";"4";"wieś";"stały";"Świetlica wiejska w Siekierczynie I, Siekierczyna 453, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"848";"922";"256";"592";"1";"2";"0";"0";"0";"0";"0";"0";"0";"592";"0";"0";"592";"13";"4";"9";"0";"579";"94";"444";"41"
"07df-01ca-6769-c7d8-6cfa-9a5d-2e57-e78c";"120707";"36";"5";"wieś";"stały";"Szkoła Podstawowa Nr 2 im. Zygmunta Krasińskiego, Siekierczyna 326, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"430";"470";"127";"303";"0";"2";"0";"0";"0";"0";"0";"0";"0";"303";"0";"0";"303";"12";"6";"6";"0";"291";"42";"241";"8"
"b851-05b3-878f-4872-4d5f-98df-51ff-ebf8";"120707";"36";"6";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Mordarka 204, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"1898";"2064";"534";"1364";"1";"6";"1";"1";"0";"0";"1";"0";"0";"1364";"0";"0";"1364";"24";"4";"20";"0";"1340";"250";"946";"144"
"9111-fb62-be9b-fb7b-38eb-acc8-65d0-3ca4";"120707";"36";"7";"wieś";"stały";"Szkoła Podstawowa im. ks. Józefa Górszczyka, Pisarzowa 346, 34-654 Męcina";"gm. Limanowa";"limanowski";"małopolskie";"1490";"1605";"451";"1039";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1039";"0";"0";"1039";"30";"11";"19";"0";"1009";"302";"645";"62"
"326d-80ff-cfe6-5908-8df9-257b-309b-d538";"120707";"36";"8";"wieś";"stały";"Szkoła Podstawowa Nr 1 im. Jana Pawła II, Męcina 530, 34-654 Męcina";"gm. Limanowa";"limanowski";"małopolskie";"1770";"1898";"526";"1244";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"41";"5";"36";"0";"1203";"347";"725";"131"
"8127-3c63-e22d-3ed3-ed66-9c0c-8642-c90b";"120707";"36";"9";"wieś";"stały";"Szkoła Podstawowa im. Królowej Korony Polskiej, Kłodne 144, 34-654 Męcina";"gm. Limanowa";"limanowski";"małopolskie";"733";"776";"223";"510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"18";"0";"18";"0";"492";"118";"345";"29"
"20ae-fe69-2194-0709-0040-382c-ce99-448d";"120707";"36";"10";"wieś";"stały";"Remiza OSP w Łososinie Górnej, ul. Łososińska 23, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"1071";"1132";"348";"723";"0";"2";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"20";"4";"16";"0";"703";"106";"531";"66"
"7184-ec75-389f-55f9-7847-4d51-a24a-e2f6";"120707";"36";"11";"wieś";"stały";"Szkoła Podstawowa im. Władysława Reymonta, Pasierbiec 108, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"963";"1043";"267";"696";"1";"2";"1";"1";"0";"0";"0";"0";"1";"697";"1";"0";"697";"26";"7";"19";"0";"671";"120";"516";"35"
"9488-f18d-e3e5-b548-0c18-0ca1-ba62-bf8e";"120707";"36";"12";"wieś";"stały";"Szkoła Podstawowa, Młynne 149, 34-600 Młynne";"gm. Limanowa";"limanowski";"małopolskie";"960";"1015";"319";"641";"0";"4";"0";"0";"0";"0";"0";"0";"0";"641";"0";"0";"641";"12";"0";"12";"0";"629";"107";"485";"37"
"ef62-106c-0ba0-8b28-3dbc-8dd2-57af-edc0";"120707";"36";"13";"wieś";"stały";"Budynek wielofunkcyjny, Nowe Rybie 157, 34-652 Nowe Rybie";"gm. Limanowa";"limanowski";"małopolskie";"518";"543";"180";"338";"0";"5";"0";"0";"0";"0";"0";"0";"0";"338";"0";"0";"338";"5";"1";"4";"0";"333";"113";"206";"14"
