"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zenon Henryk BIAŁOBRZESKI";"Marek Adam KOMOROWSKI";"Janusz WASILEWSKI";"Liczba obwodów"
"200101";"gmina miejska";"m. Augustów";"augustowski";"podlaskie";21464;23169;8438;13026;21;229;1;1;0;0;0;0;1;13026;1;0;13026;259;79;180;0;12767;4608;6352;1807;20
"200102";"gmina wiejska";"gm. Augustów";"augustowski";"podlaskie";4847;5288;2368;2479;1;7;0;0;0;0;0;0;0;2479;0;0;2479;36;9;27;0;2443;625;1559;259;6
"200103";"gmina wiejska";"gm. Bargłów Kościelny";"augustowski";"podlaskie";3990;4368;2112;1878;3;6;0;0;0;0;0;0;0;1878;0;0;1878;43;14;29;0;1835;487;1182;166;3
"200104";"gmina miejsko-wiejska";"gm. Lipsk";"augustowski";"podlaskie";3956;4302;1852;2104;3;6;0;0;0;0;0;0;0;2104;0;0;2104;29;14;15;0;2075;563;1333;179;5
"200105";"gmina wiejska";"gm. Nowinka";"augustowski";"podlaskie";2149;2375;802;1347;4;15;0;0;0;0;0;0;0;1347;0;0;1347;25;5;20;0;1322;369;813;140;4
"200106";"gmina wiejska";"gm. Płaska";"augustowski";"podlaskie";1902;2120;789;1113;3;36;0;0;0;0;0;0;0;1113;0;0;1113;18;5;13;0;1095;378;572;145;3
"200107";"gmina wiejska";"gm. Sztabin";"augustowski";"podlaskie";3832;4163;1821;2011;3;9;0;0;0;0;0;0;0;2008;0;0;2008;24;9;15;0;1984;557;1259;168;3
"200401";"gmina miejska";"m. Grajewo";"grajewski";"podlaskie";15636;16843;6624;9012;13;29;1;1;0;0;1;0;0;9011;0;0;9011;225;58;167;0;8786;2831;4853;1102;14
"200402";"gmina wiejska";"gm. Grajewo";"grajewski";"podlaskie";4147;4589;1990;2157;5;6;0;0;0;0;0;0;0;2157;0;2;2155;56;8;48;0;2099;541;1373;185;6
"200403";"gmina wiejska";"gm. Radziłów";"grajewski";"podlaskie";3520;3816;1662;1858;4;10;0;0;0;0;0;0;0;1858;0;0;1858;43;9;34;0;1815;288;1419;108;8
"200404";"gmina miejsko-wiejska";"gm. Rajgród";"grajewski";"podlaskie";3873;4253;1935;1938;1;36;0;0;0;0;0;0;0;1936;0;0;1936;56;8;48;0;1880;647;1021;212;5
"200405";"gmina miejsko-wiejska";"gm. Szczuczyn";"grajewski";"podlaskie";4470;4869;2065;2405;2;16;0;0;0;0;0;0;0;2405;0;0;2405;52;9;43;0;2353;732;1444;177;6
"200406";"gmina wiejska";"gm. Wąsosz";"grajewski";"podlaskie";2653;2897;1173;1480;1;4;0;0;0;0;0;0;0;1480;0;0;1480;39;8;31;0;1441;316;1041;84;4
"200601";"gmina miejska";"m. Kolno";"kolneński";"podlaskie";7482;8195;3338;4144;1;22;2;2;0;0;0;0;2;4146;2;0;4146;100;36;64;0;4046;1341;2294;411;10
