"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Łukasz Jan BANAŚ";"Tomasz Paweł KAJKOWSKI";"Krzysztof Piotr KUBAT";"Ryszard Bogdan MAJER";"Liczba obwodów"
"240415";"gmina wiejska";"gm. Rędziny";"częstochowski";"śląskie";7230;7904;2351;4879;3;5;0;0;0;0;0;0;0;4879;0;0;4879;97;17;80;0;4782;1600;515;434;2233;6
"240416";"gmina wiejska";"gm. Starcza";"częstochowski";"śląskie";2101;2292;679;1422;2;6;0;0;0;0;0;0;0;1422;0;0;1422;39;11;28;0;1383;502;125;153;603;4
"240601";"gmina miejsko-wiejska";"gm. Kłobuck";"kłobucki";"śląskie";15057;16660;4651;10406;9;45;4;4;0;0;0;0;4;10411;4;0;10411;250;90;160;0;10161;3857;1650;495;4159;13
"240602";"gmina miejsko-wiejska";"gm. Krzepice";"kłobucki";"śląskie";6873;7513;2497;4376;8;40;0;0;0;0;0;0;0;4375;0;0;4375;84;27;57;0;4291;1115;860;139;2177;9
"240603";"gmina wiejska";"gm. Lipie";"kłobucki";"śląskie";4674;5122;1724;2950;2;19;0;0;0;0;0;0;0;2946;0;0;2946;39;9;30;0;2907;529;836;81;1461;5
"240604";"gmina wiejska";"gm. Miedźno";"kłobucki";"śląskie";5548;6105;1741;3807;8;7;0;0;0;0;0;0;0;3807;0;1;3806;93;25;68;0;3713;804;464;162;2283;8
"240605";"gmina wiejska";"gm. Opatów";"kłobucki";"śląskie";4982;5477;1849;3133;5;17;0;0;0;0;0;0;0;3133;0;0;3133;82;10;72;0;3051;878;583;183;1407;7
"240606";"gmina wiejska";"gm. Panki";"kłobucki";"śląskie";3701;4058;1404;2297;2;18;1;1;0;0;0;0;1;2298;1;0;2298;42;11;31;0;2256;698;389;149;1020;4
"240607";"gmina wiejska";"gm. Popów";"kłobucki";"śląskie";4498;4988;1754;2744;3;32;0;0;0;0;0;0;0;2743;0;0;2743;55;17;38;0;2688;781;443;150;1314;6
"240608";"gmina wiejska";"gm. Przystajń";"kłobucki";"śląskie";4350;4767;1780;2570;0;11;0;0;0;0;0;0;0;2570;0;0;2570;59;18;41;0;2511;718;398;131;1264;4
"240609";"gmina wiejska";"gm. Wręczyca Wielka";"kłobucki";"śląskie";13286;14319;5110;8176;7;66;0;0;0;0;0;0;0;8175;0;0;8175;188;50;138;0;7987;2709;1123;472;3683;8
"240701";"gmina miejska";"m. Lubliniec";"lubliniecki";"śląskie";17256;18435;6103;11153;19;59;2;1;0;0;0;0;1;11153;1;1;11152;251;54;197;0;10901;4198;1708;641;4354;19
"240702";"gmina wiejska";"gm. Boronów";"lubliniecki";"śląskie";2440;2729;870;1570;1;4;0;0;0;0;0;0;0;1569;0;0;1569;35;4;31;0;1534;441;214;60;819;2
"240703";"gmina wiejska";"gm. Ciasna";"lubliniecki";"śląskie";6168;6695;3439;2729;0;7;0;0;0;0;0;0;0;2729;0;0;2729;76;13;63;0;2653;902;355;177;1219;6
"240704";"gmina wiejska";"gm. Herby";"lubliniecki";"śląskie";5243;5672;1916;3327;3;29;0;0;0;0;0;0;0;3327;0;0;3327;81;12;69;0;3246;1150;453;187;1456;5
"240705";"gmina wiejska";"gm. Kochanowice";"lubliniecki";"śląskie";5110;5599;2326;2784;1;22;0;0;0;0;0;0;0;2783;0;0;2783;60;12;48;0;2723;704;369;202;1448;7
"240706";"gmina wiejska";"gm. Koszęcin";"lubliniecki";"śląskie";8508;9388;3085;5423;11;49;0;0;0;0;0;0;0;5422;0;0;5422;124;26;98;0;5298;1597;600;244;2857;6
"240707";"gmina wiejska";"gm. Pawonków";"lubliniecki";"śląskie";4795;5245;2343;2452;1;9;0;0;0;0;0;0;0;2452;0;0;2452;64;8;56;0;2388;682;337;145;1224;6
"240708";"gmina miejsko-wiejska";"gm. Woźniki";"lubliniecki";"śląskie";6990;7704;2519;4471;7;18;0;0;0;0;0;0;0;4471;0;0;4471;94;24;70;0;4377;1214;584;210;2369;10
"240901";"gmina miejska";"m. Myszków";"myszkowski";"śląskie";23090;24996;8472;14618;24;70;0;0;0;0;0;0;0;14616;0;0;14616;323;116;207;0;14293;5430;1887;594;6382;23
"240902";"gmina miejsko-wiejska";"gm. Koziegłowy";"myszkowski";"śląskie";10776;11769;4211;6565;1;35;0;0;0;0;0;0;0;6565;0;0;6565;161;30;131;0;6404;1985;825;269;3325;11
"240903";"gmina wiejska";"gm. Niegowa";"myszkowski";"śląskie";4133;4597;1321;2812;2;18;0;0;0;0;0;0;0;2811;0;0;2811;70;18;52;0;2741;459;234;112;1936;6
"240904";"gmina wiejska";"gm. Poraj";"myszkowski";"śląskie";8082;8956;2682;5400;20;73;0;0;0;0;0;0;0;5399;0;0;5399;136;57;79;0;5263;2253;671;252;2087;7
"240905";"gmina miejsko-wiejska";"gm. Żarki";"myszkowski";"śląskie";6185;6827;2276;3909;4;43;0;0;0;0;0;0;0;3908;0;0;3908;73;37;36;0;3835;1158;494;139;2044;9
