"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Łukasz Jan BANAŚ";"Tomasz Paweł KAJKOWSKI";"Krzysztof Piotr KUBAT";"Ryszard Bogdan MAJER";"Liczba obwodów"
"240401";"gmina miejsko-wiejska";"gm. Blachownia";"częstochowski";"śląskie";9559;10435;3316;6243;7;35;1;1;0;0;0;0;1;6244;1;0;6244;99;40;59;0;6145;2583;783;379;2400;8
"240402";"gmina wiejska";"gm. Dąbrowa Zielona";"częstochowski";"śląskie";3030;3334;1156;1874;1;19;0;0;0;0;0;0;0;1874;0;0;1874;44;8;36;0;1830;476;180;101;1073;4
"240403";"gmina wiejska";"gm. Janów";"częstochowski";"śląskie";4460;4925;1530;2930;1;35;0;0;0;0;0;0;0;2930;0;0;2930;90;13;77;0;2840;790;285;135;1630;7
"240404";"gmina wiejska";"gm. Kamienica Polska";"częstochowski";"śląskie";4099;4501;1352;2747;6;16;1;1;0;0;0;0;1;2748;1;1;2747;49;11;38;0;2698;1101;328;280;989;5
"240405";"gmina wiejska";"gm. Kłomnice";"częstochowski";"śląskie";10126;11053;3663;6463;9;25;0;0;0;0;0;0;0;6463;0;0;6463;132;50;82;0;6331;1870;743;407;3311;12
"240406";"gmina miejsko-wiejska";"gm. Koniecpol";"częstochowski";"śląskie";7184;7869;2749;4435;7;42;0;0;0;0;0;0;0;4433;0;0;4433;107;13;94;0;4326;1092;390;248;2596;7
"240407";"gmina wiejska";"gm. Konopiska";"częstochowski";"śląskie";7861;8680;2778;5083;5;18;0;0;0;0;0;0;0;5083;0;0;5083;70;22;48;0;5013;1961;607;370;2075;12
"240408";"gmina wiejska";"gm. Kruszyna";"częstochowski";"śląskie";3596;3969;1266;2330;0;6;0;0;0;0;0;0;0;2330;0;0;2330;46;8;38;0;2284;552;287;167;1278;4
"240409";"gmina wiejska";"gm. Lelów";"częstochowski";"śląskie";3722;3999;1385;2337;4;19;0;0;0;0;0;0;0;2337;0;0;2337;59;7;52;0;2278;482;209;134;1453;7
"240410";"gmina wiejska";"gm. Mstów";"częstochowski";"śląskie";7959;8699;2515;5444;5;24;0;0;0;0;0;0;0;5444;0;0;5444;75;17;58;0;5369;1738;512;386;2733;11
"240411";"gmina wiejska";"gm. Mykanów";"częstochowski";"śląskie";10819;11907;3143;7676;4;25;0;0;0;0;0;0;0;7675;0;0;7675;145;32;113;0;7530;2205;802;510;4013;11
"240412";"gmina wiejska";"gm. Olsztyn";"częstochowski";"śląskie";5938;6482;1864;4074;1;57;3;3;0;0;0;0;3;4077;3;0;4077;55;16;39;0;4022;1618;454;197;1753;7
"240413";"gmina wiejska";"gm. Poczesna";"częstochowski";"śląskie";9293;10249;2858;6435;5;14;2;2;0;0;0;0;2;6437;2;0;6437;115;38;77;0;6322;2456;784;411;2671;9
"240414";"gmina wiejska";"gm. Przyrów";"częstochowski";"śląskie";2798;3081;1032;1766;5;13;0;0;0;0;0;0;0;1766;0;0;1766;44;11;33;0;1722;451;177;113;981;6
