"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof Władysław BEREZOWSKI";"Stanisław GAWŁOWSKI";"Krzysztof NIECKARZ";"Liczba obwodów"
"320900";"koszaliński";"zachodniopomorskie";47627;52264;18849;28776;27;999;2;2;0;0;0;0;2;28777;2;2;28775;687;141;546;0;28088;8864;9331;9893;62
"321300";"sławieński";"zachodniopomorskie";40158;44228;16479;23677;34;909;1;1;0;0;0;0;1;23680;1;0;23680;562;129;433;0;23118;6795;7714;8609;45
"321500";"szczecinecki";"zachodniopomorskie";55850;59553;24507;31343;46;303;5;5;0;0;0;0;5;31340;5;1;31339;969;188;781;0;30370;9403;9948;11019;51
"326100";"Koszalin";"zachodniopomorskie";74944;81320;21855;53089;80;452;9;9;0;0;0;0;9;53076;9;1;53075;1126;309;817;0;51949;18871;17963;15115;54
