"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Gabriela Anna MORAWSKA-STANECKA";"Czesław Wincenty RYSZKA"
"6739-2fe3-c16f-4441-0727-273d-4f26-b339";"241401";"75";"1";"miasto";"stały";"Liceum Ogólnokształcące im. Powstańców Śląskich w Bieruniu, ul. Licealna 17, 43-150 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"1200";"1332";"379";"821";"3";"4";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"31";"12";"19";"0";"790";"307";"483"
"4781-803b-93e2-ab9c-21d9-14c8-211f-681e";"241401";"75";"2";"miasto";"stały";"Liceum Ogólnokształcące im. Powstańców Śląskich w Bieruniu, ul. Licealna 17, 43-150 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"1046";"1169";"285";"761";"0";"3";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"24";"8";"16";"0";"737";"267";"470"
"2bb6-d15f-9977-633c-8198-a8f6-773d-21e1";"241401";"75";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi w Bieruniu, ul. Licealna 17a, 43-150 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"850";"931";"411";"439";"0";"0";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"10";"4";"6";"0";"429";"133";"296"
"3259-21bd-e882-526f-73d6-e87d-6ac6-7564";"241401";"75";"4";"miasto";"stały";"Dom Kultury ""Gama"" w Bieruniu, Bieruń Stary ul. Chemików 45, 43-150 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"770";"824";"296";"474";"1";"1";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"17";"4";"13";"0";"456";"170";"286"
"22ea-a56b-a639-e940-e619-7056-a992-1c80";"241401";"75";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi w Bieruniu, ul. Krakowska 28, 43-150 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"1099";"1204";"292";"807";"1";"1";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"25";"10";"15";"0";"782";"315";"467"
"e29d-e33b-5796-391a-350b-882e-4152-5a0f";"241401";"75";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi w Bieruniu, ul. Krakowska 28, 43-150 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"1100";"1220";"306";"794";"0";"0";"0";"0";"0";"0";"0";"0";"0";"794";"0";"0";"794";"28";"9";"19";"0";"766";"265";"501"
"f44c-8527-ed32-c855-4b8e-8fb6-4d1f-5731";"241401";"75";"7";"miasto";"stały";"Przedszkole Nr 1 w Bieruniu, ul. Kamienna 17, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"950";"1069";"240";"710";"0";"2";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"20";"10";"10";"0";"690";"242";"448"
"c555-83d5-ed3f-82c7-c964-24ec-8345-555d";"241401";"75";"8";"miasto";"stały";"Powiatowy Zespół Szkół w Bieruniu, ul. Granitowa 130, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"850";"929";"276";"574";"0";"0";"0";"0";"0";"0";"0";"0";"0";"574";"0";"0";"574";"9";"3";"6";"0";"565";"251";"314"
"e784-d9b7-98a9-6385-315f-4007-09b5-ebf6";"241401";"75";"9";"miasto";"stały";"Powiatowy Zespół Szkół w Bieruniu, ul. Granitowa 130, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"950";"1022";"282";"668";"0";"0";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"17";"5";"12";"0";"651";"296";"355"
"58a1-e9a7-26a2-21d0-15dd-a15d-ef54-77fc";"241401";"75";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Węglowa 11, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"950";"1019";"274";"676";"0";"6";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"13";"2";"11";"0";"663";"316";"347"
"4853-dd3e-7a91-486f-3d96-46f5-5902-0d89";"241401";"75";"11";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Węglowa 11, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"800";"875";"258";"542";"0";"2";"0";"0";"0";"0";"0";"0";"0";"542";"0";"0";"542";"13";"7";"6";"0";"529";"228";"301"
