"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Jolanta MATECKA";"Łukasz MIKOŁAJCZYK";"Liczba obwodów"
"300800";"kępiński";"wielkopolskie";40565;44135;13661;26904;33;124;2;2;0;0;0;0;2;26903;2;0;26903;976;153;823;0;25927;13253;12674;43
"301200";"krotoszyński";"wielkopolskie";55477;59922;21085;34382;31;130;3;3;0;0;0;0;3;34381;3;0;34381;1378;292;1086;0;33003;16157;16846;49
"301700";"ostrowski";"wielkopolskie";116266;126438;38773;77493;57;311;9;9;0;1;0;0;8;77481;8;0;77481;2776;812;1964;0;74705;38538;36167;109
"301800";"ostrzeszowski";"wielkopolskie";40255;43596;14935;25319;19;133;5;5;0;0;0;0;5;25320;5;0;25320;1091;214;877;0;24229;12136;12093;56
