"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Cezary Stanisław GRABARCZYK - nr na liście 1";"Magdalena Sylwia SPÓLNICKA - nr na liście 2";"Dorota RUTKOWSKA - nr na liście 3";"Barbara Ewa KLATKA - nr na liście 4";"Jacek Marian SOKALSKI - nr na liście 5";"Arkadiusz Paweł ROŻNIATOWSKI - nr na liście 6";"Robert TELUS - nr na liście 7";"Elżbieta Ewa KUBA - nr na liście 8";"Roman Stanisław JANIEC - nr na liście 9";"Andrzej Jerzy SENEJKO - nr na liście 10";"Anna Renata LISTWOŃ - nr na liście 11";"Roman Piotr SIEDLECKI - nr na liście 12";"Kuba BILSKI - nr na liście 13";"Piotr Sebastian TOKARSKI - nr na liście 14";"Sylwia WOLIŃSKA - nr na liście 15";"Jan Wojciech KOWALCZYK - nr na liście 16";"Ewa Justyna PONIATOWSKA - nr na liście 17";"Marlena Irena WĘŻYK-GŁOWACKA - nr na liście 18";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Patryk Piotr MARJAN - nr na liście 1";"Jacek Krzysztof RAK - nr na liście 2";"Andrzej FĄK - nr na liście 3";"Piotr Bogusław ZABORNY - nr na liście 4";"Alicja Anna HEINZEL - nr na liście 5";"Paweł WYCHOWAŁEK - nr na liście 6";"Bernadeta Edyta FLORCZYK - nr na liście 7";"Marcin BUDKIEWICZ - nr na liście 8";"Wiesława Agata MADEJSKA - nr na liście 9";"Adrian SĘK - nr na liście 10";"Anna Maria CHMIELARSKA - nr na liście 11";"Kamil Mariusz SYPKA - nr na liście 12";"Katarzyna Ewa KLESKA - nr na liście 13";"Ewa Barbara LISZEWSKA - nr na liście 14";"Mirosław Marian KOSTRZEWA - nr na liście 15";"Jadwiga GAJDA - nr na liście 16";"Krzysztof Adam GRABOWSKI - nr na liście 17";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Dariusz KLIMCZAK - nr na liście 1";"Tomasz ŁUCZKOWSKI - nr na liście 2";"Teresa Małgorzata JĘDRASZEK - nr na liście 3";"Elżbieta Teresa OŚCIK - nr na liście 4";"Henryk MAJEWSKI - nr na liście 5";"Bogdan KĄCKI - nr na liście 6";"Krystyna CZECHOWSKA - nr na liście 7";"Agnieszka Teresa FIRST - nr na liście 8";"Zbigniew Stanisław WYSZOGRODZKI - nr na liście 9";"Bożena Maria GRAŁEK - nr na liście 10";"Alicja Bogusława GÓRSKA - nr na liście 11";"Grażyna Marianna OLSZEWSKA - nr na liście 12";"Jacek Bogdan WALCZYK - nr na liście 13";"Stanisław ŁOŚ - nr na liście 14";"Barbara Danuta ROBAK - nr na liście 15";"Damian Piotr PAZUREK - nr na liście 16";"Ewelina SKORUPA - nr na liście 17";"Marek Marian MAZUR - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Antoni MACIEREWICZ - nr na liście 1";"Grzegorz Michał WOJCIECHOWSKI - nr na liście 2";"Robert TELUS - nr na liście 3";"Anna Maria MILCZANOWSKA - nr na liście 4";"Beata Zofia DRÓŻDŻ - nr na liście 5";"Grzegorz Andrzej LOREK - nr na liście 6";"Dariusz Jan KUBIAK - nr na liście 7";"Ewa Beata WENDROWSKA - nr na liście 8";"Krzysztof MACIEJEWSKI - nr na liście 9";"Małgorzata Monika JANOWSKA - nr na liście 10";"Beata Ewa OZGA-FLEJSZER - nr na liście 11";"Waldemar WYCZACHOWSKI - nr na liście 12";"Martyna Olga WOJCIECHOWSKA - nr na liście 13";"Paweł SAŁEK - nr na liście 14";"Agnieszka Katarzyna WYSOCKA - nr na liście 15";"Dariusz Adam MISZTAL - nr na liście 16";"Zbigniew Jan ZIEMBA - nr na liście 17";"Krzysztof Jan CIECIÓRA - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Anita Katarzyna SOWIŃSKA - nr na liście 1";"Artur Zygmunt OSTROWSKI - nr na liście 2";"Marta PANAK - nr na liście 3";"Tadeusz ROZPARA - nr na liście 4";"Małgorzata Alicja PTAK - nr na liście 5";"Małgorzata Dorota WAŁACH - nr na liście 6";"Andrzej Krzysztof PAWELCZYK - nr na liście 7";"Julia Anna KLEMBA - nr na liście 8";"Tomasz LEWANDOWSKI - nr na liście 9";"Paweł ZIĘBA - nr na liście 10";"Agnieszka BIENIAS - nr na liście 11";"Paweł ROCHMIŃSKI - nr na liście 12";"Joanna Ewa MANDAT - nr na liście 13";"Mariusz Łukasz PODPORA - nr na liście 14";"Monika Zofia SULKA - nr na liście 15";"Elżbieta Małgorzata ŻURAW - nr na liście 16";"Marek Jerzy JABŁOŃSKI - nr na liście 17";"Mariusz Krzysztof KOWALCZYK - nr na liście 18";"Liczba obwodów"
"100101";"gmina miejska";"m. Bełchatów";"bełchatowski";"łódzkie";42275;44620;13323;28952;16;89;1;1;0;0;0;0;1;28953;1;0;28953;265;153;112;0;28688;4120;1851;389;149;42;57;690;27;35;7;7;23;479;45;21;32;10;23;233;3349;3029;27;8;15;22;15;21;20;15;15;12;3;20;6;11;63;47;1506;550;61;75;39;31;20;98;233;13;10;30;24;90;23;23;8;74;104;15708;2227;732;297;482;217;1028;4053;100;251;4327;47;813;136;112;452;42;78;314;4005;1233;426;100;1500;97;26;142;23;40;35;28;6;37;18;23;73;22;176;28
"100102";"gmina wiejska";"gm. Bełchatów";"bełchatowski";"łódzkie";8261;9058;2176;6085;0;20;0;0;0;0;0;0;0;6085;0;1;6084;54;31;23;0;6030;549;216;48;24;8;7;105;6;2;1;5;6;49;5;0;7;2;4;54;588;516;5;5;9;2;3;3;4;1;10;2;2;0;3;2;13;8;336;133;17;14;3;1;6;25;40;2;6;5;5;27;7;8;1;18;18;4003;570;200;64;132;125;351;704;45;41;1327;9;177;38;32;70;10;23;85;554;188;65;13;179;26;2;11;3;10;5;6;1;9;0;4;8;4;20;8
"100103";"gmina wiejska";"gm. Drużbice";"bełchatowski";"łódzkie";3875;4260;1292;2583;4;16;0;0;0;0;0;0;0;2582;0;0;2582;39;23;16;0;2543;187;84;17;11;5;3;20;3;2;0;2;4;8;1;3;5;2;1;16;188;156;3;0;0;0;3;2;4;1;1;0;2;3;1;1;7;4;297;32;7;3;6;2;2;7;40;4;1;1;2;166;1;2;0;12;9;1655;304;237;40;42;46;293;222;17;16;291;6;34;13;8;34;9;9;34;216;92;38;6;38;10;5;0;3;4;2;3;1;2;0;0;1;3;8;6
"100104";"gmina wiejska";"gm. Kleszczów";"bełchatowski";"łódzkie";4163;4543;1243;2920;1;16;0;0;0;0;0;0;0;2920;0;0;2920;38;20;18;0;2882;337;105;79;16;5;6;63;3;4;1;4;0;13;7;5;4;1;4;17;339;272;10;4;3;3;3;5;6;0;2;1;3;3;4;2;11;7;207;68;19;10;12;7;3;8;12;3;1;1;4;8;8;7;2;2;32;1681;290;188;40;287;83;101;211;9;44;40;18;125;19;13;19;5;17;172;318;99;40;13;80;14;3;12;2;7;11;2;1;7;3;7;3;1;13;5
"100105";"gmina wiejska";"gm. Kluki";"bełchatowski";"łódzkie";3226;3541;1092;2134;2;5;0;0;0;0;0;0;0;2134;0;0;2134;28;20;8;0;2106;160;58;13;9;3;0;23;4;3;0;1;0;24;3;2;1;2;0;14;140;114;3;4;1;6;1;1;2;1;0;0;1;2;3;0;0;1;138;32;3;9;5;1;3;5;39;1;2;3;2;11;4;8;0;1;9;1470;200;72;18;76;10;67;334;8;26;523;2;49;10;12;12;2;6;43;198;76;26;6;38;10;2;7;1;7;2;1;1;4;1;0;6;1;9;3
"100106";"gmina wiejska";"gm. Rusiec";"bełchatowski";"łódzkie";3778;4178;1110;2668;7;16;0;0;0;0;0;0;0;2667;0;0;2667;47;35;12;0;2620;183;101;17;6;9;3;14;6;4;2;0;0;3;2;4;2;2;0;8;203;134;7;6;2;9;5;4;2;0;2;2;0;9;1;1;11;8;234;94;9;11;6;12;1;8;8;3;7;4;4;21;1;3;1;14;27;1770;306;119;21;77;52;55;166;12;18;688;28;135;29;8;22;6;12;16;230;89;27;4;41;8;5;2;9;7;5;7;2;3;1;7;5;1;7;5
"100107";"gmina wiejska";"gm. Szczerców";"bełchatowski";"łódzkie";5955;6561;1729;4226;10;16;0;0;0;0;0;0;0;4226;0;0;4226;79;62;17;0;4147;382;184;43;26;13;14;36;3;4;2;1;3;11;3;3;7;3;6;20;393;297;10;5;5;5;7;3;9;3;5;4;5;4;2;5;12;12;310;122;11;26;13;2;4;19;23;5;10;9;7;6;12;5;1;12;23;2727;439;192;26;122;40;372;515;17;37;681;7;46;34;20;77;14;15;73;335;135;34;22;63;7;8;7;6;11;5;4;2;7;4;2;8;3;7;7
"100108";"gmina miejsko-wiejska";"gm. Zelów";"bełchatowski";"łódzkie";10789;11809;3776;7011;3;22;1;1;0;0;0;0;1;7012;1;0;7012;89;55;34;0;6923;609;331;45;30;14;25;53;13;11;2;2;1;16;7;12;9;4;7;27;394;250;23;9;8;14;8;9;5;3;10;2;4;9;4;3;23;10;902;103;10;14;5;3;3;7;670;3;2;5;6;13;12;5;3;9;29;4399;791;415;68;123;88;1399;549;35;67;551;10;69;47;27;31;9;28;92;619;262;92;25;87;23;10;10;7;21;15;8;1;9;4;6;6;6;27;10
"100701";"gmina wiejska";"gm. Białaczów";"opoczyński";"łódzkie";4228;4677;1525;2703;7;14;0;0;0;0;0;0;0;2703;0;0;2703;62;39;23;0;2641;133;65;9;6;7;2;1;30;2;0;2;0;0;0;2;0;1;2;4;91;56;1;4;3;1;5;2;2;1;5;2;1;0;0;2;3;3;513;55;409;7;3;3;1;2;4;1;0;3;1;0;2;0;10;3;9;1775;159;160;1267;20;10;22;10;11;4;13;47;0;12;20;3;3;5;9;129;69;20;1;3;4;2;2;0;6;8;3;0;1;1;0;2;2;5;6
"100702";"gmina miejsko-wiejska";"gm. Drzewica";"opoczyński";"łódzkie";7711;8456;2379;5332;1;19;0;0;0;0;0;0;0;5332;0;0;5332;90;56;34;0;5242;391;222;27;24;18;4;2;61;2;2;4;2;3;2;4;2;0;5;7;257;114;13;17;6;7;9;13;11;5;14;4;0;6;3;5;8;22;569;177;286;18;2;6;2;1;4;2;2;7;4;9;5;1;5;9;29;3690;634;416;2173;65;43;8;13;43;9;18;104;5;23;83;14;10;10;19;335;137;90;12;1;16;7;4;3;11;14;8;1;6;5;2;3;3;12;13
"100703";"gmina wiejska";"gm. Mniszków";"opoczyński";"łódzkie";3407;3780;1050;2357;1;14;0;0;0;0;0;0;0;2357;0;0;2357;47;33;14;0;2310;142;59;4;3;8;2;1;43;2;3;1;1;1;5;0;2;0;1;6;74;36;1;4;3;8;4;2;1;2;3;0;0;3;1;2;1;3;289;180;34;4;2;4;1;1;0;0;0;0;1;1;1;3;48;4;5;1694;202;265;921;39;26;99;6;29;5;14;34;2;15;10;6;3;6;12;111;40;28;7;4;2;4;1;0;6;4;2;0;0;10;0;0;1;2;4
