"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Wojciech Jan KONIECZNY";"Krzysztof Łukasz ŚWIERCZYŃSKI";"Artur Ryszard WARZOCHA"
"9ec4-3436-04cd-5172-26cf-f2d5-5953-f3cb";"246401";"69";"21";"miasto";"stały";"Szkoła Podstawowa nr 33, ul. Goszczyńskiego 9/11, 42-217 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1290";"1413";"376";"914";"0";"4";"1";"0";"0";"0";"0";"0";"0";"913";"0";"0";"913";"13";"3";"10";"0";"900";"406";"126";"368"
"1985-56b1-8147-ab2b-777d-7472-630d-74ad";"246401";"69";"22";"miasto";"stały";"Szkoła Podstawowa nr 33, ul. Goszczyńskiego 9/11, 42-217 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1369";"1467";"454";"915";"2";"2";"0";"0";"0";"0";"0";"0";"0";"914";"0";"0";"914";"23";"13";"10";"0";"891";"378";"133";"380"
"f4ad-b1b5-12b4-8077-0037-4af6-69da-0278";"246401";"69";"23";"miasto";"stały";"Miejskie Przedszkole nr 35, ul. 1 Maja 5/7, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1672";"1764";"486";"1186";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1186";"0";"0";"1186";"13";"1";"12";"0";"1173";"554";"187";"432"
"8b39-bb5e-acb1-e242-e549-20b9-7dde-a175";"246401";"69";"24";"miasto";"stały";"Zespół Szkół Ekonomicznych, ul. Św. Augustyna 28/30, 42-226 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"710";"774";"247";"463";"4";"7";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"7";"2";"5";"0";"456";"170";"84";"202"
"7cbe-cf7f-cd2f-c3cb-f06b-7361-d46a-b5a8";"246401";"69";"25";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 5, ul. Św. Barbary 32, 42-226 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1710";"2029";"294";"1416";"3";"174";"0";"0";"0";"0";"0";"0";"0";"1414";"0";"0";"1414";"16";"3";"13";"0";"1398";"406";"181";"811"
"188d-40cf-cad2-4f0f-ce0e-4f78-77c2-760f";"246401";"69";"26";"miasto";"stały";"Zespół Szkół Gastronomicznych, ul. Worcella 1, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"619";"673";"141";"478";"0";"3";"0";"0";"0";"0";"0";"0";"0";"478";"0";"0";"478";"4";"0";"4";"0";"474";"216";"76";"182"
"bcc4-e666-0dd8-2e3b-4870-3ffb-6a38-0c13";"246401";"69";"27";"miasto";"stały";"Zespół Szkół Gastronomicznych, ul. Worcella 1, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1188";"1283";"305";"883";"2";"3";"0";"0";"0";"0";"0";"0";"0";"883";"0";"0";"883";"12";"3";"9";"0";"871";"407";"131";"333"
"4044-da72-5e08-53f4-00d1-7ddf-e628-a914";"246401";"69";"28";"miasto";"stały";"VIII LO Samorządowe, ul. Worcella 22, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1004";"1092";"234";"770";"1";"8";"0";"0";"0";"0";"0";"0";"0";"768";"0";"0";"768";"7";"1";"6";"0";"761";"341";"140";"280"
"43e2-ef73-347f-6f8a-7d6a-2669-41ac-38f4";"246401";"69";"29";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Księżycowa 6, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"972";"1056";"295";"677";"0";"8";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"7";"4";"3";"0";"670";"306";"83";"281"
"07ba-9b84-6093-23a2-c048-46f1-04f2-cce3";"246401";"69";"30";"miasto";"stały";"Miejskie Przedszkole nr 11, ul. Kurpińskiego-Ponurego 6, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1330";"1462";"356";"972";"2";"6";"1";"1";"0";"0";"0";"0";"1";"973";"1";"0";"973";"11";"3";"8";"0";"962";"402";"167";"393"
