"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy CZERWIŃSKI";"Adam Józef MAZGUŁA";"Janusz Antoni SANOCKI";"Jan Franciszek WOŹNIAK"
"c91b-87f6-b295-bf7b-85f3-bb31-6a8b-ecb0";"160707";"51";"12";"wieś";"stały";"Wiejski Dom Ludowy, Kozielno 38, 48-370 Paczków";"gm. Paczków";"nyski";"opolskie";"220";"245";"107";"113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"113";"0";"0";"113";"3";"0";"3";"0";"110";"78";"4";"5";"23"
"cb19-b1aa-16f0-1dc7-58a7-6e5a-270a-abcd";"160707";"51";"13";"wieś";"stały";"Wiejski Dom Kultury, Kamienica 92, 48-370 Paczków";"gm. Paczków";"nyski";"opolskie";"320";"354";"123";"197";"0";"8";"0";"0";"0";"0";"0";"0";"0";"197";"0";"0";"197";"5";"2";"3";"0";"192";"124";"6";"14";"48"
"9899-62ef-ab20-7703-dd80-1516-8858-0dd0";"160707";"51";"14";"miasto";"zakład leczniczy";"Zespół Opieki Zdrowotnej w Nysie-Szpital w Paczkowie, ul. Staszica 3, 48-370 Paczków";"gm. Paczków";"nyski";"opolskie";"60";"54";"40";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"2";"0";"2";"0";"18";"9";"2";"2";"5"
"08cc-534a-651f-980b-63e9-5f4e-7fcd-de26";"160708";"51";"1";"wieś";"stały";"Gminna Biblioteka Publiczna w Pakosławicach, Pakosławice 38, 48-314 Pakosławice";"gm. Pakosławice";"nyski";"opolskie";"530";"567";"187";"343";"0";"1";"0";"0";"0";"0";"0";"0";"0";"343";"0";"0";"343";"4";"0";"4";"0";"339";"153";"32";"46";"108"
"675c-8164-dc41-4891-f434-6dd3-3eb6-926c";"160708";"51";"2";"wieś";"stały";"Świetlica w Biechowie, Biechów 8a, 48-314 Pakosławice";"gm. Pakosławice";"nyski";"opolskie";"430";"466";"203";"227";"1";"0";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"1";"0";"1";"0";"226";"120";"19";"38";"49"
"6fd4-31c6-ce3c-5f96-2fcf-c188-1455-7b0a";"160708";"51";"3";"wieś";"stały";"Świetlica we Frączkowie, Frączków 1B, 48-314 Pakosławice";"gm. Pakosławice";"nyski";"opolskie";"640";"699";"306";"334";"0";"1";"0";"0";"0";"0";"0";"0";"0";"334";"0";"0";"334";"6";"0";"6";"0";"328";"185";"20";"45";"78"
"0a0b-e6a9-2c5c-3fdf-23aa-9c63-a9d3-760c";"160708";"51";"4";"wieś";"stały";"Szkoła Podstawowa w Prusinowicach, Prusinowice ul. Szkolna 9, 48-314 Pakosławice";"gm. Pakosławice";"nyski";"opolskie";"540";"588";"222";"318";"2";"2";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"7";"0";"7";"0";"311";"157";"21";"28";"105"
"fbaa-c97e-d22e-413d-4ded-292a-f963-b653";"160708";"51";"5";"wieś";"stały";"Szkoła Podstawowa w Nowakach, Nowaki 45, 48-314 Pakosławice";"gm. Pakosławice";"nyski";"opolskie";"290";"314";"140";"150";"0";"1";"0";"0";"0";"0";"0";"0";"0";"150";"0";"0";"150";"2";"0";"2";"0";"148";"79";"8";"16";"45"
"84c5-d9aa-47ab-2870-9e01-5d85-588e-c60a";"160708";"51";"6";"wieś";"stały";"Świetlica w Reńskiej Wsi, Reńska Wieś 49, 48-314 Pakosławice";"gm. Pakosławice";"nyski";"opolskie";"300";"320";"89";"211";"0";"1";"0";"0";"0";"0";"0";"0";"0";"211";"0";"0";"211";"6";"2";"4";"0";"205";"121";"18";"24";"42"
"317d-e0ef-65b8-4411-da5d-342a-74f3-4b1f";"160709";"51";"1";"wieś";"stały";"Szkoła Podstawowa w Skoroszycach (sala Nr 20), ul. Braterstwa Broni 9, 48-320 Skoroszyce";"gm. Skoroszyce";"nyski";"opolskie";"820";"898";"338";"482";"1";"0";"0";"0";"0";"0";"0";"0";"0";"482";"0";"0";"482";"6";"4";"2";"0";"476";"324";"13";"52";"87"
"efae-49da-d772-0c00-bd7f-418c-e7cd-2da0";"160709";"51";"2";"wieś";"stały";"Szkoła Podstawowa w Chróścinie (sala Nr 4), Chróścina ul. Szkolna 1, 48-320 Skoroszyce";"gm. Skoroszyce";"nyski";"opolskie";"780";"848";"422";"358";"1";"2";"0";"0";"0";"0";"0";"0";"0";"358";"0";"0";"358";"6";"2";"4";"0";"352";"171";"36";"37";"108"
"7bfd-dc36-91ba-4f81-67c2-689c-38da-90df";"160709";"51";"3";"wieś";"stały";"Szkoła Podstawowa w Sidzinie, Sidzina ul. Radziechowska 3, 48-320 Skoroszyce";"gm. Skoroszyce";"nyski";"opolskie";"780";"844";"306";"474";"0";"2";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"6";"0";"6";"0";"468";"271";"40";"64";"93"
"9b09-21cb-41e7-b6aa-f669-1498-4212-1321";"160709";"51";"4";"wieś";"stały";"Świetlica Wiejska, Makowice 20, 48-320 Skoroszyce";"gm. Skoroszyce";"nyski";"opolskie";"410";"446";"197";"213";"1";"2";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"0";"0";"0";"0";"213";"113";"12";"23";"65"
"ad98-fe67-229f-78d2-ec52-f3b6-18d9-df4d";"160709";"51";"5";"wieś";"stały";"Szkoła Podstawowa w Chróścinie (świetlica szkolna), Chróścina Szkolna 1, 48-320 Skoroszyce";"gm. Skoroszyce";"nyski";"opolskie";"710";"761";"309";"401";"1";"0";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"4";"1";"3";"0";"397";"167";"54";"57";"119"
"6464-7ae9-22c2-f1eb-f330-71f2-e8bf-a1f9";"160709";"51";"6";"wieś";"stały";"Szkoła Podstawowa w Skoroszycach (świetlica szkolna), Braterstwa Broni 9, 48-320 Skoroszyce";"gm. Skoroszyce";"nyski";"opolskie";"1050";"1143";"429";"621";"3";"4";"0";"0";"0";"0";"0";"0";"0";"619";"0";"0";"619";"14";"3";"11";"0";"605";"316";"36";"82";"171"
"3017-6bef-24d2-f6c4-9e59-9314-4b71-0e92";"161001";"51";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny, (Szkoła Podstawowa), ul. Tysiąclecia 16, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"690";"745";"340";"350";"0";"2";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"43";"5";"38";"0";"307";"118";"26";"49";"114"
"47f9-d147-6d32-ca2d-44c2-aba7-b82e-36c8";"161001";"51";"2";"miasto";"stały";"Urząd Miejski, ul. Rynek 10, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"650";"691";"327";"323";"0";"0";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"12";"4";"8";"0";"311";"142";"23";"34";"112"
"f92c-6380-82b9-d8e5-ec5f-ca7b-2d5d-0888";"161001";"51";"3";"miasto";"stały";"Gminne Centrum Kultury, ul. Prudnicka 35, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"490";"521";"232";"258";"0";"0";"0";"0";"0";"0";"0";"0";"0";"258";"0";"0";"258";"8";"2";"6";"0";"250";"87";"16";"33";"114"
"97bb-327a-e6c4-61a0-2a33-a15e-33d1-f4d6";"161001";"51";"4";"wieś";"stały";"Wiejskie Centrum Kultury i Rekreacji, Chrzelice 177, 48-220 Łącznik";"gm. Biała";"prudnicki";"opolskie";"449";"488";"262";"187";"0";"0";"0";"0";"0";"0";"0";"0";"0";"187";"0";"0";"187";"12";"1";"11";"0";"175";"70";"21";"26";"58"
"8205-69f4-dc54-0337-e3fd-4549-a8af-968d";"161001";"51";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny, (Publiczne Gimnazjum), ul. św. Walentego 79, 48-220 Łącznik";"gm. Biała";"prudnicki";"opolskie";"1038";"1135";"524";"514";"2";"0";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"30";"3";"27";"0";"484";"194";"60";"77";"153"
"df4c-f558-12ad-1c9f-67bf-eab6-30b0-0adf";"161001";"51";"6";"wieś";"stały";"Remiza OSP, Pogórze 160a, 48-220 Łącznik";"gm. Biała";"prudnicki";"opolskie";"859";"933";"585";"274";"0";"0";"0";"0";"0";"0";"0";"0";"0";"274";"0";"0";"274";"18";"2";"16";"0";"256";"127";"24";"33";"72"
"a597-f1a0-cafd-8a0e-4a53-fe5a-8d1f-761f";"161001";"51";"7";"wieś";"stały";"Remiza OSP, Grabina 62, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"429";"475";"254";"175";"0";"3";"0";"0";"0";"0";"0";"0";"0";"175";"0";"0";"175";"12";"1";"11";"0";"163";"100";"18";"16";"29"
"4942-a474-3381-8f18-bf93-785d-13bd-ccd7";"161001";"51";"8";"wieś";"stały";"Sala Samorządu Mieszkańców, Ligota Bialska 60, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"680";"737";"443";"237";"1";"0";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"14";"1";"13";"0";"223";"123";"20";"22";"58"
"7209-dff5-d56b-80fc-f173-24e1-5a9d-1487";"161001";"51";"9";"wieś";"stały";"Szkoła Podstawowa, Śmicz 106, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"350";"380";"194";"156";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156";"0";"0";"156";"12";"0";"12";"0";"144";"56";"22";"23";"43"
"0755-d997-32a6-ff3b-5125-c565-0b8b-326a";"161001";"51";"10";"wieś";"stały";"Sala Samorządu Mieszkańców, Olbrachcice 69a, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"320";"357";"196";"124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"124";"4";"1";"3";"0";"120";"51";"12";"17";"40"
"76f9-5e3d-5dca-c532-a30b-8da2-fd2a-11f8";"161001";"51";"11";"wieś";"stały";"Sala Samorządu Mieszkańców, Gostomia 82c, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"310";"339";"152";"158";"0";"0";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"9";"0";"9";"0";"149";"37";"23";"28";"61"
"02bc-89f8-bf0a-1fd1-f834-eacd-ab85-7455";"161001";"51";"12";"wieś";"stały";"Rolnicza Spółdzielnia Produkcyjna, Rostkowice 38, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"300";"322";"169";"131";"0";"0";"0";"0";"0";"0";"0";"0";"0";"131";"0";"0";"131";"4";"0";"4";"0";"127";"40";"22";"14";"51"
"53eb-9722-4a7d-1947-1a98-d24a-fed4-8fc9";"161001";"51";"13";"wieś";"stały";"Remiza OSP, Nowa Wieś Prudnicka 51b, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"459";"500";"283";"176";"0";"0";"0";"0";"0";"0";"0";"0";"0";"176";"0";"0";"176";"5";"0";"5";"0";"171";"75";"17";"17";"62"
"3a8e-0a0b-9db5-c54f-c393-2988-3628-8a26";"161001";"51";"14";"wieś";"stały";"Sala Samorządu Mieszkańców, Solec 36, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"250";"267";"115";"135";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135";"0";"0";"135";"11";"2";"9";"0";"124";"51";"14";"14";"45"
"a391-9b2b-b033-f340-bd28-ccef-4b52-c0d1";"161001";"51";"15";"wieś";"stały";"Sala Samorządu Mieszkańców, Prężyna 70a, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"220";"236";"123";"97";"0";"0";"0";"0";"0";"0";"0";"0";"0";"97";"0";"0";"97";"6";"1";"5";"0";"91";"48";"4";"7";"32"
"45f4-6ad5-3eb2-cb6e-8a0a-73e4-40ad-bc06";"161001";"51";"16";"wieś";"stały";"Sala Samorządu Mieszkańców, Kolnowice 76, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"300";"355";"134";"166";"0";"0";"0";"0";"0";"0";"0";"0";"0";"166";"0";"0";"166";"1";"0";"1";"0";"165";"102";"12";"11";"40"
"58af-57fe-bbc5-0384-d827-a66f-10ff-9768";"161001";"51";"17";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej dla Dorosłych Zgromadzenia Sióstr Św. Elżbiety w Grabinie, Grabina 72, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"50";"44";"37";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"13";"1";"0";"1";"0";"12";"5";"0";"3";"4"
"0b4d-3394-6e88-aaed-e2e9-25a1-b9fb-ff23";"161001";"51";"18";"miasto";"zakład leczniczy";"Zespół Opieki Zdrowotnej w Białej Szpital im. Świętej Elżbiety, ul. Moniuszki 8, 48-210 Biała";"gm. Biała";"prudnicki";"opolskie";"50";"42";"24";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"1";"0";"1";"0";"25";"12";"1";"3";"9"
"8a56-9620-eaa8-5cd0-7393-b6e8-1299-1a69";"161002";"51";"1";"miasto";"stały";"Świetlica Oracze, ul. Głubczycka 45A, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"859";"934";"485";"374";"3";"0";"0";"0";"0";"0";"0";"0";"0";"374";"0";"0";"374";"30";"11";"19";"0";"344";"152";"24";"54";"114"
"cdbb-233c-d01d-4869-c608-21bd-a4c6-683b";"161002";"51";"2";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury, ul. Batorego 10, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"1520";"1672";"671";"849";"1";"9";"0";"0";"0";"0";"0";"0";"0";"849";"0";"0";"849";"29";"7";"22";"0";"820";"327";"64";"124";"305"
"537a-6106-342f-3c09-b132-93f0-0ac4-b703";"161002";"51";"3";"miasto";"stały";"Strzelnica Sportowa, ul. Winiary 1, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"500";"537";"207";"293";"2";"1";"0";"0";"0";"0";"0";"0";"0";"293";"0";"0";"293";"12";"6";"6";"0";"281";"88";"39";"43";"111"
"fd5a-09e9-f1fd-00b7-bf83-d46f-56ba-81e5";"161002";"51";"4";"miasto";"stały";"Straż Pożarna, ul. Dworcowa 9, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"1080";"1166";"517";"563";"4";"5";"0";"0";"0";"0";"0";"0";"0";"563";"0";"0";"563";"24";"5";"19";"0";"539";"231";"34";"55";"219"
"0c03-7935-0424-3ecd-0504-9819-5b27-86df";"161002";"51";"5";"wieś";"stały";"Szkoła Podstawowa, Racławice Śląskie Zwycięstwa 21, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"998";"1079";"433";"565";"0";"1";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"17";"2";"15";"0";"548";"283";"35";"65";"165"
"72c1-5d3f-e0a6-db7e-50b8-5693-55a2-57c0";"161002";"51";"6";"wieś";"stały";"Straż Pożarna, Dzierżysławice 21, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"260";"285";"151";"109";"0";"0";"0";"0";"0";"0";"0";"0";"0";"109";"0";"0";"109";"8";"4";"4";"0";"101";"51";"4";"19";"27"
"442e-da06-ec74-e826-1962-e74f-0225-370b";"161002";"51";"7";"wieś";"stały";"Świetlica, Mochów 84, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"299";"328";"166";"133";"1";"0";"0";"0";"0";"0";"0";"0";"0";"133";"0";"0";"133";"8";"2";"6";"0";"125";"48";"17";"28";"32"
"d4d5-d1c8-3a5a-069e-5a5d-610f-1ff9-11d5";"161002";"51";"8";"wieś";"stały";"Straż Pożarna, Wierzch 107, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"440";"480";"225";"215";"0";"0";"0";"0";"0";"0";"0";"0";"0";"215";"0";"0";"215";"14";"1";"13";"0";"201";"82";"24";"31";"64"
"0d71-50ce-684d-2335-159c-a964-1cd8-151a";"161002";"51";"9";"wieś";"stały";"Przedszkole, Zawada 15, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"298";"328";"204";"94";"0";"2";"0";"0";"0";"0";"0";"0";"0";"94";"0";"0";"94";"3";"0";"3";"0";"91";"42";"9";"12";"28"
"1e51-e71c-4893-9c79-5de6-3d73-7474-e580";"161002";"51";"10";"wieś";"stały";"Świetlica, Kierpień 80A, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"619";"678";"351";"268";"0";"0";"0";"0";"0";"0";"0";"0";"0";"268";"0";"0";"268";"15";"11";"4";"0";"253";"86";"23";"48";"96"
"09de-48a5-63d4-a420-7ca6-baa1-155e-e525";"161002";"51";"11";"wieś";"stały";"Przedszkole, Szonów 33, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"440";"476";"170";"270";"2";"0";"0";"0";"0";"0";"0";"0";"0";"270";"0";"0";"270";"12";"0";"12";"0";"258";"192";"12";"21";"33"
"b089-1a07-eb8c-46d3-2cca-392d-7a79-6b84";"161002";"51";"12";"wieś";"stały";"Świetlica, Kazimierz 99, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"330";"368";"171";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"1";"0";"1";"0";"158";"106";"9";"13";"30"
"3c51-202e-8b18-e800-4e27-b67c-93c5-731c";"161002";"51";"13";"wieś";"stały";"Szkoła Podstawowa, Biedrzychowice 110, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"549";"591";"331";"218";"0";"0";"0";"0";"0";"0";"0";"0";"0";"218";"0";"0";"218";"16";"4";"12";"0";"202";"64";"22";"44";"72"
"166f-b337-ae0e-5f82-9f66-a637-d7e2-f6ab";"161002";"51";"14";"wieś";"stały";"Przedszkole, Stare Kotkowice ul. Sudecka 27, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"370";"409";"203";"167";"0";"2";"0";"0";"0";"0";"0";"0";"0";"167";"0";"0";"167";"9";"3";"6";"0";"158";"64";"21";"19";"54"
"d973-30e8-57fe-4bac-12ab-5ba7-0f90-56eb";"161002";"51";"15";"wieś";"stały";"Świetlica, Wróblin 47a, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"290";"308";"168";"122";"0";"0";"0";"0";"0";"0";"0";"0";"0";"122";"0";"0";"122";"9";"1";"8";"0";"113";"50";"15";"13";"35"
"3b8f-1e33-8066-6233-3bb9-e2c3-93fe-0ac1";"161002";"51";"16";"wieś";"stały";"Szkoła Podstawowa, Twardawa ul. Kozielska 6, 48-250 Głogówek";"gm. Głogówek";"prudnicki";"opolskie";"759";"829";"404";"355";"0";"0";"0";"0";"0";"0";"0";"0";"0";"355";"0";"0";"355";"16";"3";"13";"0";"339";"121";"38";"39";"141"
"bd0e-056e-735c-6321-4ca2-f8e0-9ec3-643c";"161003";"51";"1";"wieś";"stały";"Niepubliczna Szkoła Podstawowa w Dytmarowie, Dytmarów 1a/1, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"369";"397";"162";"207";"0";"0";"0";"0";"0";"0";"0";"0";"0";"207";"0";"0";"207";"2";"0";"2";"0";"205";"91";"11";"27";"76"
"805d-44b8-0a18-6e5d-1d22-4b28-d6b7-40bb";"161003";"51";"2";"wieś";"stały";"Świetlica Wiejska, Jasiona 2A, 48-200 Prudnik";"gm. Lubrza";"prudnicki";"opolskie";"190";"203";"77";"113";"0";"1";"0";"0";"0";"0";"0";"0";"0";"113";"0";"0";"113";"3";"0";"3";"0";"110";"52";"5";"7";"46"
"5a7e-0b45-2076-e3d4-5103-3817-cce6-4b8a";"161003";"51";"3";"wieś";"stały";"Klub w Krzyżkowicach, Krzyżkowice 49/6, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"165";"164";"86";"79";"0";"0";"0";"0";"0";"0";"0";"0";"0";"79";"0";"0";"79";"3";"0";"3";"0";"76";"28";"5";"19";"24"
"cb8e-9be0-a711-8569-1d13-bb02-ae7d-eb67";"161003";"51";"4";"wieś";"stały";"Urząd Gminy w Lubrzy-świetlica na parterze, ul. Wolności 73, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"709";"771";"248";"461";"1";"1";"0";"0";"0";"0";"0";"0";"0";"461";"0";"0";"461";"13";"7";"6";"0";"448";"180";"40";"49";"179"
"6ea5-f14a-f066-22bb-fa6f-fc8a-1dc7-93b5";"161003";"51";"5";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Nowy Browiniec 10, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"320";"337";"165";"155";"0";"0";"0";"0";"0";"0";"0";"0";"0";"155";"0";"0";"155";"10";"3";"7";"0";"145";"63";"10";"28";"44"
"6917-2054-c116-cb03-a081-3b4e-6d97-4776";"161003";"51";"6";"wieś";"stały";"Wiejski Dom Kultury, Olszynka 36b, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"320";"345";"158";"162";"0";"0";"0";"0";"0";"0";"0";"0";"0";"162";"0";"0";"162";"9";"0";"9";"0";"153";"105";"6";"12";"30"
"752a-7c7b-8858-f755-5d5e-8306-ce87-5113";"161003";"51";"7";"wieś";"stały";"Wiejski Dom Kultury, Prężynka 2, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"259";"279";"117";"142";"0";"1";"0";"0";"0";"0";"0";"0";"0";"142";"0";"0";"142";"4";"1";"3";"0";"138";"88";"8";"9";"33"
"4aa3-749e-6a9b-48d9-6471-b0a9-242f-b03e";"161003";"51";"8";"wieś";"stały";"Wiejski Dom Kultury, Skrzypiec 34, 48-231 Lubrza";"gm. Lubrza";"prudnicki";"opolskie";"290";"313";"110";"180";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180";"0";"0";"180";"3";"3";"0";"0";"177";"103";"11";"10";"53"
"16c3-64ea-626c-8cc1-8ecf-77d7-f899-c596";"161003";"51";"9";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Trzebina 125, 48-200 Prudnik";"gm. Lubrza";"prudnicki";"opolskie";"600";"647";"241";"359";"0";"1";"0";"0";"0";"0";"0";"0";"0";"359";"0";"0";"359";"3";"0";"3";"0";"356";"199";"22";"26";"109"
"872f-fe9b-1aa8-a633-1c41-db6a-9730-1c66";"161004";"51";"1";"miasto";"stały";"Zespół Szkół Medycznych, ul. Piastowska 26, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1260";"1316";"581";"679";"5";"7";"0";"0";"0";"0";"0";"0";"0";"679";"0";"0";"679";"9";"6";"3";"0";"670";"341";"56";"64";"209"
"3937-d7c2-369f-bbc1-f1a1-2916-9508-dd0c";"161004";"51";"2";"miasto";"stały";"Środowiskowy Dom Samopomocy, ul. Parkowa 6, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1060";"1134";"378";"681";"1";"8";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"12";"7";"5";"0";"669";"290";"46";"65";"268"
"7a7e-6516-27de-c670-0172-783c-3ba3-8445";"161004";"51";"3";"miasto";"stały";"Powiatowe Centrum Pomocy Rodzinie w Prudniku, ul. Kościuszki 55 A, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1129";"1216";"309";"820";"2";"4";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"23";"7";"16";"0";"797";"302";"53";"72";"370"
"8613-1043-810b-76c5-7162-1286-9982-ba3a";"161004";"51";"4";"miasto";"stały";"Szkolne Schronisko Młodzieżowe, ul. Dąbrowskiego 26, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"780";"828";"281";"499";"0";"1";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"7";"1";"6";"0";"492";"205";"39";"51";"197"
"30f0-3242-edc0-2dfd-944c-e48c-839f-2902";"161004";"51";"5";"miasto";"stały";"Świetlica Spółdzielni Mieszkaniowej, ul. Wyszyńskiego 1a, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"980";"1060";"345";"635";"0";"4";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"25";"9";"16";"0";"610";"286";"163";"59";"102"
"3cab-6c1d-534f-b08f-259b-a20e-4ef5-c8b8";"161004";"51";"6";"miasto";"stały";"Centrum Tradycji Tkackich, ul. Królowej Jadwigi 23, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1092";"1158";"634";"458";"0";"2";"0";"0";"0";"0";"0";"0";"0";"458";"0";"0";"458";"9";"1";"8";"0";"449";"225";"27";"41";"156"
"53ce-5a97-d0c4-dffe-cbb6-c70f-7c4a-8c2e";"161004";"51";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1, ul. Armii Krajowej 1, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1151";"1237";"564";"587";"2";"1";"0";"0";"0";"0";"0";"0";"0";"587";"0";"0";"587";"10";"5";"5";"0";"577";"268";"43";"63";"203"
"73aa-0a9c-8dd5-38ca-7ea0-1353-73e8-a734";"161004";"51";"8";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Młyńska 1, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1346";"1380";"746";"600";"0";"2";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"22";"5";"17";"0";"578";"306";"48";"70";"154"
"8e26-8e93-d34f-8695-c841-b939-626c-c5d4";"161004";"51";"9";"miasto";"stały";"Miejska i Gminna Biblioteka Publiczna, ul. Mickiewicza 1, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1059";"1125";"521";"538";"2";"2";"0";"0";"0";"0";"0";"0";"0";"538";"0";"0";"538";"11";"4";"7";"0";"527";"251";"37";"51";"188"
"2bd0-83b2-577e-1c9d-a5dd-e5c0-010a-2050";"161004";"51";"10";"miasto";"stały";"Powiatowe Centrum Kształcenia Praktycznego, ul. Prężyńska 3 - 5 - 7, 48-200 Prudnik";"gm. Prudnik";"prudnicki";"opolskie";"1010";"1086";"404";"606";"0";"2";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"7";"2";"5";"0";"599";"276";"33";"62";"228"
