"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Paweł HELIS";"Wojciech Piotr PIECHA";"Grzegorz Wojciech WOLNIK";"Liczba obwodów"
"240801";"gmina miejska";"m. Łaziska Górne";"mikołowski";"śląskie";15647;16596;5114;10533;12;43;0;0;0;0;0;0;0;10533;0;4;10529;199;37;162;0;10330;2011;4513;3806;16
"240802";"gmina miejska";"m. Mikołów";"mikołowski";"śląskie";29765;31595;8614;21150;33;90;1;1;0;0;0;0;1;21146;1;0;21146;326;84;242;0;20820;3523;7874;9423;24
"240803";"gmina miejska";"m. Orzesze";"mikołowski";"śląskie";15155;16012;4777;10378;6;25;1;1;0;0;0;0;1;10379;1;0;10379;202;43;159;0;10177;1899;4995;3283;16
"240804";"gmina wiejska";"gm. Ornontowice";"mikołowski";"śląskie";4261;4639;1216;3045;5;14;0;0;0;0;0;0;0;3044;0;2;3042;55;15;40;0;2987;497;1607;883;3
"240805";"gmina wiejska";"gm. Wyry";"mikołowski";"śląskie";5827;6223;1573;4254;9;16;0;0;0;0;0;0;0;4254;0;0;4254;59;22;37;0;4195;874;1821;1500;6
"241201";"gmina miejsko-wiejska";"gm. Czerwionka-Leszczyny";"rybnicki";"śląskie";29619;31932;10623;18995;24;50;0;0;0;0;0;0;0;18987;0;0;18987;345;79;266;0;18642;2375;9751;6516;21
"241202";"gmina wiejska";"gm. Gaszowice";"rybnicki";"śląskie";6958;7445;2362;4596;2;4;1;1;0;0;0;0;1;4597;1;0;4597;93;34;59;0;4504;739;2239;1526;7
"241203";"gmina wiejska";"gm. Jejkowice";"rybnicki";"śląskie";2998;3171;873;2125;1;4;0;0;0;0;0;0;0;2125;0;0;2125;33;6;27;0;2092;332;1137;623;3
"241204";"gmina wiejska";"gm. Lyski";"rybnicki";"śląskie";7365;7673;2720;4645;4;13;0;0;0;0;0;0;0;4645;0;0;4645;75;18;57;0;4570;849;2167;1554;11
"241205";"gmina wiejska";"gm. Świerklany";"rybnicki";"śląskie";8650;9380;2443;6207;7;8;0;0;0;0;0;0;0;6205;0;0;6205;91;23;68;0;6114;909;3678;1527;6
"247301";"gmina miejska";"m. Rybnik";"Rybnik";"śląskie";98046;104680;32643;65404;60;216;11;11;0;0;0;0;11;65410;11;2;65408;1234;309;925;0;64174;9799;28837;25538;70
