"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Franciszek LASAK";"Jacek Władysław WŁOSOWICZ";"Liczba obwodów"
"260304";"gmina miejsko-wiejska";"gm. Opatowiec";"kazimierski";"świętokrzyskie";2732;2996;1335;1397;5;3;0;0;0;0;0;0;0;1396;0;0;1396;19;7;12;0;1377;601;776;3
"260305";"gmina miejsko-wiejska";"gm. Skalbmierz";"kazimierski";"świętokrzyskie";4907;5327;2374;2533;5;5;1;1;0;0;0;0;1;2534;1;0;2534;44;17;27;0;2490;666;1824;6
"260501";"gmina wiejska";"gm. Fałków";"konecki";"świętokrzyskie";3396;3688;1476;1920;0;8;0;0;0;0;0;0;0;1920;0;0;1920;52;9;43;0;1868;447;1421;3
"260502";"gmina wiejska";"gm. Gowarczów";"konecki";"świętokrzyskie";3533;3827;1413;2120;17;8;0;0;0;0;0;0;0;2120;0;0;2120;85;23;62;0;2035;605;1430;5
"260503";"gmina miejsko-wiejska";"gm. Końskie";"konecki";"świętokrzyskie";26823;28759;9681;17142;27;97;0;0;0;0;0;0;0;17140;0;0;17140;517;182;335;0;16623;7037;9586;25
"260504";"gmina miejsko-wiejska";"gm. Radoszyce";"konecki";"świętokrzyskie";6693;7231;2950;3743;7;21;0;0;0;0;0;0;0;3743;0;0;3743;123;35;88;0;3620;803;2817;9
"260505";"gmina wiejska";"gm. Ruda Maleniecka";"konecki";"świętokrzyskie";2381;2603;838;1543;6;10;0;0;0;0;0;0;0;1543;0;0;1543;54;11;43;0;1489;459;1030;5
"260506";"gmina wiejska";"gm. Słupia Konecka";"konecki";"świętokrzyskie";2500;2724;1046;1454;6;7;0;0;0;0;0;0;0;1454;0;0;1454;40;6;34;0;1414;413;1001;6
"260507";"gmina wiejska";"gm. Smyków";"konecki";"świętokrzyskie";2775;3031;1094;1681;5;8;0;0;0;0;0;0;0;1681;0;0;1681;66;9;57;0;1615;415;1200;5
"260508";"gmina miejsko-wiejska";"gm. Stąporków";"konecki";"świętokrzyskie";13015;14158;5757;7258;20;49;0;0;0;0;0;0;0;7258;0;0;7258;213;46;167;0;7045;2831;4214;17
"260801";"gmina miejsko-wiejska";"gm. Działoszyce";"pińczowski";"świętokrzyskie";3840;4179;1827;2013;11;27;1;1;0;0;0;0;1;2014;1;0;2014;52;13;39;0;1962;658;1304;6
"260802";"gmina wiejska";"gm. Kije";"pińczowski";"świętokrzyskie";3381;3680;1225;2156;5;28;0;0;0;0;0;0;0;2156;0;0;2156;71;17;54;0;2085;676;1409;4
"260803";"gmina wiejska";"gm. Michałów";"pińczowski";"świętokrzyskie";3480;3788;1506;1974;2;11;0;0;0;0;0;0;0;1974;0;0;1974;66;13;53;0;1908;632;1276;5
"260804";"gmina miejsko-wiejska";"gm. Pińczów";"pińczowski";"świętokrzyskie";16601;17727;7062;9539;19;68;0;0;0;0;0;0;0;9538;0;2;9536;309;94;215;0;9227;3891;5336;17
"260805";"gmina wiejska";"gm. Złota";"pińczowski";"świętokrzyskie";3489;3824;1624;1865;5;8;0;0;0;0;0;0;0;1863;0;0;1863;44;12;32;0;1819;684;1135;3
"261201";"gmina wiejska";"gm. Bogoria";"staszowski";"świętokrzyskie";5790;6314;2460;3330;4;16;0;0;0;0;0;0;0;3328;0;0;3328;93;23;70;0;3235;922;2313;7
"261202";"gmina wiejska";"gm. Łubnice";"staszowski";"świętokrzyskie";3133;3397;1251;1882;5;8;0;0;0;0;0;0;0;1882;0;0;1882;56;11;45;0;1826;437;1389;4
"261203";"gmina miejsko-wiejska";"gm. Oleśnica";"staszowski";"świętokrzyskie";2976;3219;1353;1623;4;18;0;0;0;0;0;0;0;1623;0;0;1623;59;16;43;0;1564;513;1051;4
"261204";"gmina miejsko-wiejska";"gm. Osiek";"staszowski";"świętokrzyskie";5621;6313;1967;3652;6;14;0;0;0;0;0;0;0;3654;0;4;3650;98;13;85;0;3552;613;2939;9
"261205";"gmina miejsko-wiejska";"gm. Połaniec";"staszowski";"świętokrzyskie";8587;9287;3056;5531;1;21;0;0;0;0;0;0;0;5531;0;0;5531;150;44;106;0;5381;1775;3606;8
"261206";"gmina wiejska";"gm. Rytwiany";"staszowski";"świętokrzyskie";4776;5177;2016;2760;3;8;0;0;0;0;0;0;0;2760;0;0;2760;91;49;42;0;2669;807;1862;6
"261207";"gmina miejsko-wiejska";"gm. Staszów";"staszowski";"świętokrzyskie";19820;21065;8345;11475;16;57;1;1;0;0;0;0;1;11476;1;0;11476;344;86;258;0;11132;4275;6857;25
"261208";"gmina miejsko-wiejska";"gm. Szydłów";"staszowski";"świętokrzyskie";3555;3820;1472;2083;3;16;0;0;0;0;0;0;0;2083;0;0;2083;104;25;79;0;1979;653;1326;7
"261301";"gmina wiejska";"gm. Kluczewsko";"włoszczowski";"świętokrzyskie";3870;4290;1366;2504;5;29;0;0;0;0;0;0;0;2504;0;0;2504;58;23;35;0;2446;651;1795;4
"261302";"gmina wiejska";"gm. Krasocin";"włoszczowski";"świętokrzyskie";7826;8537;2870;4956;3;34;0;0;0;0;0;0;0;4956;0;0;4956;101;26;75;0;4855;1353;3502;7
"261303";"gmina wiejska";"gm. Moskorzew";"włoszczowski";"świętokrzyskie";2129;2315;881;1248;0;9;0;0;0;0;0;0;0;1248;0;0;1248;32;4;28;0;1216;370;846;4
"261304";"gmina wiejska";"gm. Radków";"włoszczowski";"świętokrzyskie";1898;2098;787;1111;1;15;0;0;0;0;0;0;0;1111;0;0;1111;33;4;29;0;1078;413;665;3
"261305";"gmina wiejska";"gm. Secemin";"włoszczowski";"świętokrzyskie";3683;3997;1503;2180;2;23;0;0;0;0;0;0;0;2180;0;0;2180;62;13;49;0;2118;717;1401;8
"261306";"gmina miejsko-wiejska";"gm. Włoszczowa";"włoszczowski";"świętokrzyskie";14749;15981;5327;9422;10;40;1;1;0;0;0;0;1;9418;1;0;9418;247;84;163;0;9171;3677;5494;13
