"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marzena Magdalena DĘBNIAK";"Dariusz Adam LORANTY";"Jarosław RUSIECKI";"Liczba obwodów"
"260601";"gmina wiejska";"gm. Baćkowice";"opatowski";"świętokrzyskie";3665;3959;1555;2110;0;6;0;0;0;0;0;0;0;2110;0;0;2110;39;13;26;0;2071;274;216;1581;5
"260602";"gmina wiejska";"gm. Iwaniska";"opatowski";"świętokrzyskie";4968;5489;2035;2933;8;20;0;0;0;0;0;0;0;2933;0;1;2932;67;20;47;0;2865;478;318;2069;6
"260603";"gmina wiejska";"gm. Lipnik";"opatowski";"świętokrzyskie";4035;4373;1949;2086;0;9;0;0;0;0;0;0;0;2086;0;0;2086;45;8;37;0;2041;384;303;1354;4
"260604";"gmina miejsko-wiejska";"gm. Opatów";"opatowski";"świętokrzyskie";9236;9628;3991;5245;10;21;0;0;0;0;0;0;0;5245;0;0;5245;163;53;110;0;5082;1351;882;2849;13
"260605";"gmina miejsko-wiejska";"gm. Ożarów";"opatowski";"świętokrzyskie";8005;8663;3515;4490;10;26;4;3;0;0;0;0;3;4493;3;0;4493;120;29;91;0;4373;1380;774;2219;14
"260606";"gmina wiejska";"gm. Sadowie";"opatowski";"świętokrzyskie";2892;3271;1136;1756;3;12;0;0;0;0;0;0;0;1756;0;1;1755;24;14;10;0;1731;474;234;1023;4
"260607";"gmina wiejska";"gm. Tarłów";"opatowski";"świętokrzyskie";4074;4400;1930;2144;1;18;0;0;0;0;0;0;0;2144;0;0;2144;51;24;27;0;2093;501;260;1332;6
"260608";"gmina wiejska";"gm. Wojciechowice";"opatowski";"świętokrzyskie";3081;3337;1370;1711;2;2;0;0;0;0;0;0;0;1711;0;0;1711;52;18;34;0;1659;482;273;904;4
"260701";"gmina miejska";"m. Ostrowiec Świętokrzyski";"ostrowiecki";"świętokrzyskie";51738;54228;21483;30255;44;155;0;0;0;0;0;0;0;30249;0;1;30248;403;131;272;0;29845;15073;3427;11345;38
"260702";"gmina wiejska";"gm. Bałtów";"ostrowiecki";"świętokrzyskie";2744;2985;1084;1660;5;8;0;0;0;0;0;0;0;1660;0;0;1660;20;6;14;0;1640;635;146;859;5
