"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Magdalena Maria KOCHAN";"Edward KOSMAL";"Liczba obwodów"
"320402";"gmina miejsko-wiejska";"gm. Goleniów";"goleniowski";"zachodniopomorskie";25654;28034;8947;16707;9;95;0;0;0;0;0;0;0;16703;0;4;16699;662;169;493;0;16037;10064;5973;20
"320403";"gmina miejsko-wiejska";"gm. Maszewo";"goleniowski";"zachodniopomorskie";6089;6700;2962;3127;2;20;0;0;0;0;0;0;0;3125;0;0;3125;94;19;75;0;3031;1586;1445;5
"320404";"gmina miejsko-wiejska";"gm. Nowogard";"goleniowski";"zachodniopomorskie";17590;19682;7227;10363;10;93;1;1;0;0;0;0;1;10361;1;0;10361;446;91;355;0;9915;5958;3957;18
"320405";"gmina wiejska";"gm. Osina";"goleniowski";"zachodniopomorskie";2130;2345;992;1138;1;3;0;0;0;0;0;0;0;1138;0;0;1138;51;7;44;0;1087;554;533;2
"320406";"gmina wiejska";"gm. Przybiernów";"goleniowski";"zachodniopomorskie";3576;3937;1699;1877;2;5;0;0;0;0;0;0;0;1877;0;0;1877;56;10;46;0;1821;874;947;3
"320407";"gmina miejsko-wiejska";"gm. Stepnica";"goleniowski";"zachodniopomorskie";3409;3757;1701;1708;2;7;0;0;0;0;0;0;0;1706;0;0;1706;65;14;51;0;1641;987;654;3
"320501";"gmina wiejska";"gm. Brojce";"gryficki";"zachodniopomorskie";2620;2924;1415;1205;1;3;0;0;0;0;0;0;0;1201;0;0;1201;48;7;41;0;1153;589;564;2
"320502";"gmina miejsko-wiejska";"gm. Gryfice";"gryficki";"zachodniopomorskie";17031;18365;7332;9699;14;54;0;0;0;0;0;0;0;9698;0;0;9698;352;97;255;0;9346;5787;3559;17
"320503";"gmina wiejska";"gm. Karnice";"gryficki";"zachodniopomorskie";2959;3209;1396;1563;6;8;0;0;0;0;0;0;0;1562;0;0;1562;54;6;48;0;1508;729;779;2
"320504";"gmina miejsko-wiejska";"gm. Płoty";"gryficki";"zachodniopomorskie";6512;7195;3275;3237;3;11;0;0;0;0;0;0;0;3237;0;0;3237;93;23;70;0;3144;1619;1525;10
