"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek Henryk BUBEL";"Andrzej MACIEJEWSKI";"Lidia Ewa STAROŃ";"Jarosław Marek SŁOMA";"Liczba obwodów"
"281100";"nidzicki";"warmińsko-mazurskie";23558;25603;10980;12578;15;88;0;0;0;0;0;0;0;12577;0;0;12577;265;49;216;0;12312;447;1590;8473;1802;30
"281400";"olsztyński";"warmińsko-mazurskie";90279;98863;36883;53398;37;524;6;6;2;0;0;0;4;53396;4;4;53392;1073;181;892;0;52319;1736;7044;30457;13082;133
"281700";"szczycieński";"warmińsko-mazurskie";50605;55253;22161;28442;32;386;1;1;1;0;0;0;0;28442;0;1;28441;711;110;601;0;27730;1191;4455;16435;5649;68
"286200";"Olsztyn";"warmińsko-mazurskie";118831;129939;31602;87214;103;950;12;11;1;0;0;0;10;87207;10;6;87201;1224;342;882;0;85977;2397;8854;50670;24056;101
