"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Witold JACHNIK";"Tadeusz Wiktor KOPEĆ";"Hubert Zbigniew MAŚLANKA"
"23f0-a237-61e6-3b4c-fcaa-d6c7-a3db-cdf2";"240304";"79";"5";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Brennej, Górecka 224, 43-438 Brenna";"gm. Brenna";"cieszyński";"śląskie";"905";"963";"329";"576";"0";"15";"0";"0";"0";"0";"0";"0";"0";"576";"0";"0";"576";"13";"6";"7";"0";"563";"73";"282";"208"
"16f1-8462-b118-4f8e-dd6c-f8f8-c0a0-16c2";"240304";"79";"6";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Brennej, Górecka 224, 43-438 Brenna";"gm. Brenna";"cieszyński";"śląskie";"1003";"1120";"374";"629";"0";"3";"0";"0";"0";"0";"0";"0";"0";"629";"0";"0";"629";"13";"4";"9";"0";"616";"76";"320";"220"
"f466-88b6-64a2-8129-3334-7ba2-455d-2eaa";"240304";"79";"7";"wieś";"stały";"Budynek Amfiteatru w Brennej Centrum, Malinowa 2b, 43-438 Brenna";"gm. Brenna";"cieszyński";"śląskie";"949";"1050";"300";"649";"1";"48";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"16";"4";"12";"0";"631";"62";"333";"236"
"ebde-95b4-b7c3-963c-4d3d-050b-f2fc-e148";"240304";"79";"8";"wieś";"stały";"Szkoła Podstawowa Nr 2 w Brennej, ul. Bukowa 45, 43-438 Brenna";"gm. Brenna";"cieszyński";"śląskie";"952";"1045";"317";"635";"2";"15";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"16";"1";"15";"0";"619";"83";"343";"193"
"a218-2efc-ca70-a03d-3363-ad73-aa1e-714e";"240305";"79";"1";"wieś";"stały";"Szkoła Podstawowa Nr 1, ul. Bielska 80, 43-520 Chybie";"gm. Chybie";"cieszyński";"śląskie";"1613";"1763";"473";"1140";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1140";"0";"0";"1140";"19";"8";"11";"0";"1121";"126";"592";"403"
"397c-c655-3313-4c68-f532-21f0-9a0d-a0cb";"240305";"79";"2";"wieś";"stały";"Szkoła Podstawowa Nr 1, ul. Bielska 80, 43-520 Chybie";"gm. Chybie";"cieszyński";"śląskie";"1399";"1529";"486";"913";"1";"2";"0";"0";"0";"0";"0";"0";"0";"912";"0";"0";"912";"12";"3";"9";"0";"900";"92";"554";"254"
"7042-4142-cd5b-3f1b-f50b-dab1-80cd-e90c";"240305";"79";"3";"wieś";"stały";"Dom Kultury, ul. Cieszyńska 2, 43-520 Chybie";"gm. Chybie";"cieszyński";"śląskie";"1362";"1485";"510";"852";"3";"0";"0";"0";"0";"0";"0";"0";"0";"852";"0";"0";"852";"24";"5";"19";"0";"828";"109";"441";"278"
"7feb-4f7f-f8ec-de12-e018-ef97-cc4d-fbfe";"240305";"79";"4";"wieś";"stały";"Szkoła Podstawowa im. Pawła Kojzara w Mnichu, Mnich ul. Kopernika 12, 43-520 Chybie";"gm. Chybie";"cieszyński";"śląskie";"1745";"1895";"502";"1243";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1241";"0";"0";"1241";"10";"1";"9";"0";"1231";"121";"695";"415"
"6f64-fcc3-5ee7-4391-1899-edab-f788-af33";"240305";"79";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Zaborzu, Zaborze ul. K. Miarki 7, 43-520 Chybie";"gm. Chybie";"cieszyński";"śląskie";"798";"828";"277";"521";"1";"0";"0";"0";"0";"0";"0";"0";"0";"521";"0";"0";"521";"9";"1";"8";"0";"512";"69";"280";"163"
"ce1e-a16f-9dcf-faa7-7015-c86d-55d6-0a45";"240306";"79";"1";"wieś";"stały";"""Stara Szkoła"" w Dębowcu, Szkolna 5, 43-426 Dębowiec";"gm. Dębowiec";"cieszyński";"śląskie";"1349";"1454";"424";"925";"1";"2";"0";"0";"0";"0";"0";"0";"0";"925";"0";"0";"925";"24";"8";"16";"0";"901";"146";"405";"350"
"8921-802a-db50-65eb-cdc8-51cd-44c0-fe60";"240306";"79";"2";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Kostkowicach, Kostkowice Dworska 1, 43-426 Dębowiec";"gm. Dębowiec";"cieszyński";"śląskie";"401";"409";"144";"257";"0";"0";"0";"0";"0";"0";"0";"0";"0";"257";"0";"0";"257";"2";"0";"2";"0";"255";"35";"107";"113"
"38aa-fb51-f2b8-e130-e254-754a-ca2b-1a5f";"240306";"79";"3";"wieś";"stały";"Szkoła Podstawowa w Simoradzu, Simoradz Kręta 15, 43-426 Dębowiec";"gm. Dębowiec";"cieszyński";"śląskie";"750";"809";"276";"474";"1";"0";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"9";"1";"8";"0";"465";"77";"184";"204"
"de88-4423-f9f3-214e-aac4-0a16-c7be-74ec";"240306";"79";"4";"wieś";"stały";"Szkoła Podstawowa w Iskrzyczynie, Iskrzyczyn Mirów 6, 43-426 Dębowiec";"gm. Dębowiec";"cieszyński";"śląskie";"499";"511";"202";"297";"0";"2";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"12";"2";"10";"0";"285";"39";"128";"118"
"8c16-24cc-2441-b809-3b6f-e899-1182-9673";"240306";"79";"5";"wieś";"stały";"Środowiskowy Ośrodek Kultury w Ogrodzonej, Ogrodzona Kościelna 10, 43-426 Dębowiec";"gm. Dębowiec";"cieszyński";"śląskie";"1198";"1286";"414";"784";"0";"4";"0";"0";"0";"0";"0";"0";"0";"784";"0";"0";"784";"19";"8";"11";"0";"765";"72";"325";"368"
"53b8-f28e-5580-3722-ddc2-7cd6-5ed9-f4d1";"240307";"79";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Szkolna 2, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"1251";"1353";"417";"834";"0";"3";"0";"0";"0";"0";"0";"0";"0";"834";"0";"0";"834";"19";"6";"13";"0";"815";"97";"226";"492"
"24bd-b4f1-bcab-1f28-0cae-2995-fbb6-46f5";"240307";"79";"2";"wieś";"stały";"Dom Kultury, ul. Cieszyńska 25, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"1200";"1305";"411";"789";"0";"2";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"26";"7";"19";"0";"763";"89";"190";"484"
"e65c-2f9a-df60-c993-41eb-6cf8-f278-35bc";"240307";"79";"3";"wieś";"stały";"Dom Ludowy, ul. Osiedlowa 13, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"752";"828";"233";"519";"0";"4";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"7";"1";"6";"0";"512";"65";"155";"292"
"af14-4084-7ca3-a3f9-6072-69ff-73c9-1b3b";"240307";"79";"4";"wieś";"stały";"OSP, Bażanowice ul. Cieszyńska 17, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"900";"979";"327";"573";"0";"2";"0";"0";"0";"0";"0";"0";"0";"573";"0";"0";"573";"14";"3";"11";"0";"559";"66";"161";"332"
"e76f-51fb-63e8-3e5f-7bcf-91c7-2f8b-8217";"240307";"79";"5";"wieś";"stały";"OSP, Kozakowice Górne ul. dra Andrzeja Cinciały 35, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"566";"576";"209";"357";"0";"4";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"5";"3";"2";"0";"352";"35";"112";"205"
"9cda-b9a9-147c-5b3e-19da-7f84-bab9-a28d";"240307";"79";"6";"wieś";"stały";"Szkoła Podstawowa, Kisielów ul. Wiejska 8, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"577";"563";"223";"354";"1";"1";"0";"0";"0";"0";"0";"0";"0";"354";"0";"0";"354";"6";"3";"3";"0";"348";"42";"158";"148"
"a254-099c-119f-ab89-02b1-81b9-cb6b-457f";"240307";"79";"7";"wieś";"stały";"OSP, Godziszów ul. Tęczowa 29, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"453";"496";"171";"282";"0";"1";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"2";"0";"2";"0";"280";"46";"61";"173"
"cb94-23fa-c53a-bacd-4cf1-645b-69a0-52bb";"240307";"79";"8";"wieś";"stały";"Szkoła Podstawowa, ul. Cieszyńska 4, 43-445 Dzięgielów";"gm. Goleszów";"cieszyński";"śląskie";"1050";"1090";"323";"727";"0";"2";"0";"0";"0";"0";"0";"0";"0";"727";"0";"0";"727";"15";"3";"12";"0";"712";"100";"194";"418"
"c20b-e50d-dc9d-009f-7f01-969c-4241-c696";"240307";"79";"9";"wieś";"stały";"Punkt Przedszkolny, Puńców ul. Szkolna 2, 43-400 Cieszyn";"gm. Goleszów";"cieszyński";"śląskie";"1228";"1323";"417";"811";"1";"5";"0";"0";"0";"0";"0";"0";"0";"811";"0";"0";"811";"25";"8";"17";"0";"786";"80";"309";"397"
"c589-a5f6-1832-9152-5147-3fa2-2dfe-085a";"240307";"79";"10";"wieś";"stały";"Świetlica Gminna, Cisownica ul. Cisowa 122, 43-440 Goleszów";"gm. Goleszów";"cieszyński";"śląskie";"1284";"1385";"455";"829";"2";"11";"0";"0";"0";"0";"0";"0";"0";"829";"0";"0";"829";"16";"9";"7";"0";"813";"102";"168";"543"
"2ce8-c3b7-838c-3b93-0515-3f13-9bd9-01b0";"240307";"79";"11";"wieś";"stały";"Świetlica Gminna, Leszna Górna ul. Główna 54, 43-445 Dzięgielów";"gm. Goleszów";"cieszyński";"śląskie";"401";"436";"155";"246";"0";"0";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"4";"1";"3";"0";"242";"36";"101";"105"
"18e6-2d87-dc2a-1a72-21f1-39c7-f2f7-4b19";"240307";"79";"12";"wieś";"dom pomocy społecznej";"Ewangelicki Dom Opieki ""EMAUS"", ks. Karola Kulisza 47, 43-445 Dzięgielów";"gm. Goleszów";"cieszyński";"śląskie";"152";"93";"92";"60";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60";"0";"0";"60";"0";"0";"0";"0";"60";"4";"14";"42"
"14a1-0fd4-b5f1-5818-555b-7edc-bb1c-44ea";"240308";"79";"1";"wieś";"stały";"Dom Wiejski, Brzezówka ul. Jagodowa 3, 43-418 Pogwizdów";"gm. Hażlach";"cieszyński";"śląskie";"501";"544";"222";"279";"1";"0";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"5";"0";"5";"0";"274";"29";"150";"95"
"a869-87be-562f-6a5a-4b30-6372-87a3-85bf";"240308";"79";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Kościelna 2, 43-419 Hażlach";"gm. Hażlach";"cieszyński";"śląskie";"1751";"1925";"561";"1190";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1190";"0";"0";"1190";"22";"6";"16";"0";"1168";"166";"522";"480"
"4fea-0b34-c59a-be46-3c4f-85db-89c9-7f71";"240308";"79";"3";"wieś";"stały";"Budynek dla sportowców, Kończyce Wielkie ul. Kościelna 11, 43-419 Hażlach";"gm. Hażlach";"cieszyński";"śląskie";"1407";"1493";"459";"948";"1";"1";"0";"0";"0";"0";"0";"0";"0";"948";"0";"0";"948";"9";"1";"8";"0";"939";"115";"501";"323"
"2f28-ff5a-78f7-a96c-002c-d252-85a6-9330";"240308";"79";"4";"wieś";"stały";"Szkoła Podstawowa, ul. Katowicka 34, 43-418 Pogwizdów";"gm. Hażlach";"cieszyński";"śląskie";"1603";"1728";"496";"1107";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1107";"0";"0";"1107";"29";"12";"17";"0";"1078";"168";"479";"431"
"2242-8026-56b9-243b-2fc5-896d-1fe9-ec9a";"240308";"79";"5";"wieś";"stały";"Dom Kultury, ul. Północna 5, 43-418 Pogwizdów";"gm. Hażlach";"cieszyński";"śląskie";"1002";"1041";"417";"585";"0";"4";"0";"0";"0";"0";"0";"0";"0";"585";"0";"0";"585";"5";"2";"3";"0";"580";"84";"230";"266"
"3d7a-f176-928a-3f65-2dbb-2767-8dda-c155";"240308";"79";"6";"wieś";"stały";"Dom Wiejski, Rudnik ul. Leśna 3, 43-419 Hażlach";"gm. Hażlach";"cieszyński";"śląskie";"401";"379";"174";"227";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"4";"1";"3";"0";"223";"24";"150";"49"
"68e0-bf5c-e98c-c9fa-4d4d-d436-13d6-4e92";"240308";"79";"7";"wieś";"stały";"Szkoła Podstawowa, Zamarski ul. Szkolna 1, 43-419 Hażlach";"gm. Hażlach";"cieszyński";"śląskie";"1050";"1107";"383";"667";"0";"1";"0";"0";"0";"0";"0";"0";"0";"666";"0";"0";"666";"16";"5";"11";"0";"650";"82";"204";"364"
"56d6-0e86-c7ca-4eeb-d1d3-fa9e-0dcf-06a7";"240309";"79";"1";"wieś";"stały";"Gminny Ośrodek Kultury, Promocji, Informacji Turystycznej i Biblioteka Publiczna w Istebnej, Istebna 68, 43-470 Istebna";"gm. Istebna";"cieszyński";"śląskie";"1985";"2104";"630";"1355";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1355";"0";"0";"1355";"28";"3";"25";"0";"1327";"122";"927";"278"
"e652-1733-49a8-5811-57e4-97e8-4494-7573";"240309";"79";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Istebnej, Istebna 1345, 43-470 Istebna";"gm. Istebna";"cieszyński";"śląskie";"1752";"1891";"592";"1160";"3";"47";"0";"0";"0";"0";"0";"0";"0";"1160";"0";"0";"1160";"18";"6";"12";"0";"1142";"68";"681";"393"
"d845-8183-974c-4968-af68-0fed-0c39-5e9e";"240309";"79";"3";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Jana Twardowskiego w Jaworzynce, Jaworzynka 366, 43-476 Jaworzynka";"gm. Istebna";"cieszyński";"śląskie";"1181";"1226";"348";"833";"3";"10";"0";"0";"0";"0";"0";"0";"0";"833";"0";"0";"833";"8";"1";"7";"0";"825";"41";"685";"99"
"90e8-5079-90d4-82cd-092d-20c8-52ea-d3b6";"240309";"79";"4";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Jana Twardowskiego w Jaworzynce, Jaworzynka 366, 43-476 Jaworzynka";"gm. Istebna";"cieszyński";"śląskie";"1180";"1231";"420";"760";"0";"5";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"12";"4";"8";"0";"747";"49";"572";"126"
"b947-2fc3-1147-faa5-a92a-d182-fe95-9b7d";"240309";"79";"5";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Stanisława Wyspiańskiego w Koniakowie, Koniaków 280, 43-474 Koniaków";"gm. Istebna";"cieszyński";"śląskie";"1580";"1681";"551";"1029";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1027";"0";"0";"1027";"24";"6";"18";"0";"1003";"74";"705";"224"
"e0ea-f26f-803e-2275-69e4-03c8-c2b9-b86f";"240309";"79";"6";"wieś";"stały";"Szkoła Podstawowa nr 1 im. Stanisława Wyspiańskiego w Koniakowie, Koniaków 280, 43-474 Koniaków";"gm. Istebna";"cieszyński";"śląskie";"1084";"1163";"454";"630";"0";"17";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"13";"3";"10";"0";"617";"41";"422";"154"
"53f8-3bad-d286-e823-e219-8e86-40ba-191b";"240310";"79";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Gustawa Morcinka, ul. Mickiewicza 11, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"2100";"2273";"772";"1328";"6";"5";"0";"0";"0";"0";"0";"0";"0";"1328";"0";"0";"1328";"30";"11";"19";"0";"1298";"177";"506";"615"
"4632-1675-dff4-bd08-3d92-ec46-0608-e155";"240310";"79";"2";"miasto";"stały";"Szkoła Podstawowa nr 8 im. Krystyny Bochenek, ul. Gustawa Morcinka 20, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"2000";"2149";"601";"1399";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1396";"0";"0";"1396";"22";"10";"12";"0";"1374";"162";"579";"633"
"5216-ecfe-b2d1-f224-933a-9998-cfd6-60d8";"240310";"79";"3";"miasto";"stały";"Przedszkole Publiczne Nr 4 w Skoczowie, ul. Gustawa Morcinka 20, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"801";"847";"347";"454";"1";"2";"0";"0";"0";"0";"0";"0";"0";"454";"0";"0";"454";"8";"3";"5";"0";"446";"64";"181";"201"
"f811-24bc-10bd-8103-3ef1-9d48-1a13-5868";"240310";"79";"4";"miasto";"stały";"Skoczowskie Przedsiębiorstwo Komunalne Sp. z o. o. ul, ul. Krzywa 4, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"602";"655";"186";"416";"2";"1";"1";"1";"0";"0";"0";"0";"1";"417";"1";"0";"417";"2";"0";"2";"0";"415";"60";"169";"186"
"2837-6f62-71eb-7cb7-d60d-459b-756a-66fb";"240310";"79";"5";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Jana Pawła II, ul. Osiedlowa 1, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1550";"1696";"677";"873";"0";"1";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"20";"4";"16";"0";"853";"104";"403";"346"
"4dbb-8e7b-25c2-e0e9-ef25-f2b8-7dc9-0eb6";"240310";"79";"6";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Jana Pawła II, ul. Bielska 34, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1601";"1797";"435";"1166";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"0";"1166";"17";"7";"10";"0";"1149";"150";"539";"460"
"07cb-bb06-a798-7fa6-be1a-fb0d-baa9-d4f1";"240310";"79";"7";"miasto";"stały";"Wyższa Szkoła Bezpieczeństwa z siedzibą w Poznaniu, Wydział Studiów Społecznych w Skoczowie, ul. Bielska 17, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1352";"1494";"419";"933";"0";"7";"0";"0";"0";"0";"0";"0";"0";"933";"0";"0";"933";"13";"0";"13";"0";"920";"121";"332";"467"
"7407-541f-c83c-3eb5-fc3a-2db6-1e31-f818";"240310";"79";"8";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Kiczycach Szkoła Podstawowa im. Orła Białego w Kiczycach, Kiczyce ul. Długa 52, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"801";"874";"277";"524";"1";"1";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"3";"0";"3";"0";"521";"57";"311";"153"
"e01f-29d2-3e2b-5fbd-04dd-9ee8-b900-fac8";"240310";"79";"9";"wieś";"stały";"Przedszkole Publiczne w Ochabach z oddziałami zamiejscowymi w Wiślicy, Ochaby Małe ul. Gołyska 12, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1539";"1673";"511";"1028";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1028";"0";"0";"1028";"18";"10";"8";"0";"1010";"106";"481";"423"
"a4d7-63f8-5196-f456-cfbc-7047-f763-c2f1";"240310";"79";"10";"wieś";"stały";"Szkoła Podstawowa im. Zofii Kossak w Pierśćcu, Pierściec ul. Jerzego Tomanka 8, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1402";"1540";"393";"1009";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1009";"0";"0";"1009";"19";"7";"12";"0";"990";"124";"486";"380"
"d5cb-0702-6f58-813c-1075-83f6-8021-8254";"240310";"79";"11";"wieś";"stały";"Oddziały zamiejscowe w Wiślicy Przedszkola Publicznego w Ochabach, Wiślica ul. Powiatowa 85, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"550";"598";"178";"372";"0";"0";"0";"0";"0";"0";"0";"0";"0";"372";"0";"0";"372";"10";"2";"8";"0";"362";"48";"195";"119"
"6fe2-68dc-bf29-31c1-a7de-ea41-84a3-35c4";"240310";"79";"12";"wieś";"stały";"Świetlica Wiejska w Bładnicach, Bładnice Dolne ul. Świetlicowa 2, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"653";"696";"244";"409";"0";"6";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"6";"1";"5";"0";"403";"54";"145";"204"
"4927-7677-17ec-ed36-f66d-cb1c-83a7-1f43";"240310";"79";"13";"wieś";"stały";"Dom Rolnika w Harbutowicach, Harbutowice ul. Chabrowa 6, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"698";"739";"250";"448";"2";"1";"0";"0";"0";"0";"0";"0";"0";"448";"0";"0";"448";"12";"4";"8";"0";"436";"52";"170";"214"
"4772-4871-3fe4-02a6-b850-d9bf-c9e0-3097";"240310";"79";"14";"wieś";"stały";"Ochotnicza Straż Pożarna w Kowalach, Kowale ul. Pożarnicza 2, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"497";"536";"154";"343";"2";"1";"0";"0";"0";"0";"0";"0";"0";"343";"0";"0";"343";"1";"0";"1";"0";"342";"37";"182";"123"
"1b86-7dab-1e1d-fb84-0199-f17a-6b5a-e506";"240310";"79";"15";"wieś";"stały";"Oddziały zamiejscowe w Międzyświeciu Przedszkola Publicznego nr 4 w Skoczowie, Międzyświeć ul. Malinowa 2, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1196";"1322";"371";"825";"0";"2";"0";"0";"0";"0";"0";"0";"0";"825";"0";"0";"825";"14";"7";"7";"0";"811";"105";"270";"436"
"6748-a0cc-2685-d696-4d6b-9652-6abc-6a48";"240310";"79";"16";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Pogórzu, Pogórze ul. Zamek 8, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"1352";"1529";"446";"906";"1";"0";"0";"0";"0";"0";"0";"0";"0";"906";"0";"0";"906";"14";"4";"10";"0";"892";"120";"463";"309"
"e1cb-438d-6314-82eb-ca0f-5787-3b7f-ed65";"240310";"79";"17";"miasto";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej ""Feniks"", ul. Sportowa 13, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"101";"33";"89";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"12";"5";"0";"5";"0";"7";"2";"4";"1"
"d3f3-f6ac-27ab-f079-8e7b-506c-ceb6-d0bd";"240310";"79";"18";"wieś";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej w Pogórzu, Pogórze ul. Zamek 132, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"100";"58";"62";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"0";"0";"38";"10";"2";"8";"0";"28";"7";"16";"5"
"0384-47b9-01cb-5629-df76-f78e-f741-47c1";"240310";"79";"19";"miasto";"zakład leczniczy";"Oddział Terapii Uzależnienia od Alkoholu, ul. Katowicka 21, 43-430 Skoczów";"gm. Skoczów";"cieszyński";"śląskie";"100";"30";"80";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"0";"0";"0";"0";"20";"3";"9";"8"
"bc41-5733-f836-7d05-3440-eeea-56c1-5a19";"240311";"79";"1";"miasto";"stały";"Szkoła Podstawowa, ul. 1 Maja 38, 43-246 Strumień";"gm. Strumień";"cieszyński";"śląskie";"1496";"1445";"560";"936";"0";"1";"0";"0";"0";"0";"0";"0";"0";"936";"0";"0";"936";"13";"5";"8";"0";"923";"116";"508";"299"
"1b39-3024-5908-dc29-f4c0-2224-9d97-642a";"240311";"79";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Młyńska 8, 43-246 Strumień";"gm. Strumień";"cieszyński";"śląskie";"1410";"1322";"530";"880";"3";"6";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"8";"3";"5";"0";"872";"114";"453";"305"
"05ad-d346-5d7e-c2fc-85a4-5776-6abe-1c97";"240311";"79";"3";"wieś";"stały";"Zespół Szkół (wejście od ul. Głównej), ul. Główna 60, 43-523 Pruchna";"gm. Strumień";"cieszyński";"śląskie";"781";"714";"357";"424";"0";"0";"0";"0";"0";"0";"0";"0";"0";"424";"0";"0";"424";"8";"1";"7";"0";"416";"43";"190";"183"
"8202-49f4-f652-2efc-d8c5-0041-d8bd-38fc";"240311";"79";"4";"wieś";"stały";"Zespół Szkół (wejście od ul. Szkolnej), ul. Główna 60, 43-523 Pruchna";"gm. Strumień";"cieszyński";"śląskie";"1294";"1231";"528";"767";"0";"4";"0";"0";"0";"0";"0";"0";"0";"767";"0";"0";"767";"21";"10";"11";"0";"746";"81";"387";"278"
"60ba-c6c2-79b4-ccdf-3b3c-5adb-389d-4aa6";"240311";"79";"5";"wieś";"stały";"Zespół Szkół, ul. Główna 15, 43-424 Drogomyśl";"gm. Strumień";"cieszyński";"śląskie";"1831";"1761";"815";"1016";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"9";"3";"6";"0";"1007";"120";"392";"495"
"57e0-ee60-73ef-84b1-2657-1d54-186c-f416";"240311";"79";"6";"wieś";"stały";"Świetlica Wiejska, Bąków ul. Osiedlowa 1, 43-246 Strumień";"gm. Strumień";"cieszyński";"śląskie";"1441";"1444";"504";"937";"1";"8";"0";"0";"0";"0";"0";"0";"0";"936";"0";"0";"936";"25";"6";"19";"0";"911";"87";"506";"318"
"22ae-573a-f8c8-6c6e-8ae2-ab68-dfa8-3a4d";"240311";"79";"7";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Zabłocie ul. Bielska 36, 43-246 Strumień";"gm. Strumień";"cieszyński";"śląskie";"1184";"1128";"483";"701";"0";"4";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"18";"3";"15";"0";"683";"73";"425";"185"
"de18-1bc3-c9af-7c47-e83b-a524-00cb-9a3d";"240311";"79";"8";"wieś";"stały";"Przedszkole, Zbytków ul. Wyzwolenia 49, 43-246 Strumień";"gm. Strumień";"cieszyński";"śląskie";"1196";"1140";"410";"786";"1";"3";"0";"0";"0";"0";"0";"0";"0";"786";"0";"0";"786";"12";"5";"7";"0";"774";"87";"444";"243"
