"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Witold JACHNIK";"Tadeusz Wiktor KOPEĆ";"Hubert Zbigniew MAŚLANKA"
"8612-4acb-f163-a94f-b314-6c72-be32-f5be";"240301";"79";"14";"miasto";"stały";"Urząd Miejski w Cieszynie, Jana Kochanowskiego 14, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1559";"1647";"512";"1047";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1047";"0";"0";"1047";"25";"8";"17";"0";"1022";"114";"349";"559"
"5fce-ddee-a876-5921-5a49-7706-5389-deed";"240301";"79";"15";"miasto";"stały";"Szkoła Podstawowa nr 4, Plac Wolności 7A, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1311";"1397";"466";"845";"1";"6";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"19";"7";"12";"0";"826";"102";"430";"294"
"6840-5eb0-56f4-e706-9a1f-15bd-5177-1cca";"240301";"79";"16";"miasto";"stały";"Szkolne Schronisko Młodzieżowe, Błogocka 24, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1550";"1643";"531";"1019";"1";"7";"1";"1";"0";"0";"0";"0";"1";"1020";"1";"0";"1020";"15";"6";"9";"0";"1005";"140";"295";"570"
"bbbf-8b42-36b5-5808-e719-4e43-608d-38e3";"240301";"79";"17";"miasto";"stały";"Żłobki Miejskie Oddział Nr 1, ks. Jerzego Trzanowskiego 2, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1454";"1507";"598";"856";"0";"3";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"26";"5";"21";"0";"830";"89";"312";"429"
"f355-7a74-a08a-518e-0557-e779-2076-039a";"240301";"79";"18";"miasto";"stały";"Spółdzielnia Mieszkaniowa ""Cieszynianka"", Zofii Kossak-Szatkowskiej 6, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1900";"1806";"644";"1256";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1256";"0";"0";"1256";"18";"1";"17";"0";"1238";"105";"428";"705"
"663e-3f79-5777-89ca-03be-81a1-9576-2cd5";"240301";"79";"19";"miasto";"stały";"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Janusza Korczaka, Generała Józefa Hallera 8, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1010";"1077";"265";"735";"1";"5";"1";"1";"0";"0";"0";"0";"1";"736";"1";"0";"736";"11";"5";"6";"0";"725";"82";"248";"395"
"bc79-d806-48fe-efb1-1628-c2b4-0d5e-5485";"240301";"79";"20";"miasto";"stały";"Ochotnicza Straż Pożarna, Generała Józefa Hallera 161, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1754";"1683";"536";"1218";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1218";"0";"0";"1218";"25";"9";"16";"0";"1193";"116";"357";"720"
"c5d9-3702-2288-21e8-b985-3a8e-c4a9-e654";"240301";"79";"21";"miasto";"zakład leczniczy";"Szpital Śląski, Bielska 4, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"551";"349";"453";"98";"0";"6";"0";"0";"0";"0";"0";"0";"0";"98";"0";"0";"98";"2";"0";"2";"0";"96";"11";"50";"35"
"e5d0-3ab1-f6ea-2df5-e780-1a8a-930f-7849";"240301";"79";"22";"miasto";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej ""Pogodna Jesień"", Wojciecha Korfantego 1, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"151";"62";"120";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"3";"1";"2";"0";"28";"5";"19";"4"
"d9e5-90e6-2247-4b5f-6df2-4e28-6e11-691d";"240301";"79";"23";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Betania"", Katowicka 1, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"351";"137";"314";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"0";"0";"0";"0";"37";"2";"33";"2"
"edf5-42ca-cdee-91f3-8491-0de6-854b-0911";"240301";"79";"24";"miasto";"dom pomocy społecznej";"Dom Spokojnej Starości, Adama Mickiewicza 13, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"150";"53";"124";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"2";"0";"2";"0";"24";"1";"15";"8"
"8492-d837-cc14-2831-c68f-f989-5853-30bb";"240301";"79";"25";"miasto";"zakład karny";"Zakład Karny, Bolesława Chrobrego 2, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"551";"319";"391";"160";"0";"0";"0";"0";"0";"0";"0";"0";"0";"160";"0";"0";"160";"9";"0";"9";"0";"151";"17";"51";"83"
