"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy CZERWIŃSKI";"Adam Józef MAZGUŁA";"Janusz Antoni SANOCKI";"Jan Franciszek WOŹNIAK";"Liczba obwodów"
"160101";"gmina miejska";"m. Brzeg";"brzeski";"opolskie";25641;27660;9278;16364;20;68;1;1;0;0;0;0;1;16363;1;0;16363;304;97;207;0;16059;6807;1066;1936;6250;24
"160102";"gmina wiejska";"gm. Skarbimierz";"brzeski";"opolskie";5618;6118;1864;3754;3;19;0;0;0;0;0;0;0;3753;0;0;3753;67;18;49;0;3686;1867;243;430;1146;12
"160103";"gmina miejsko-wiejska";"gm. Grodków";"brzeski";"opolskie";13881;15060;6049;7832;7;51;0;0;0;0;0;0;0;7832;0;0;7832;171;36;135;0;7661;3536;518;833;2774;19
"160104";"gmina miejsko-wiejska";"gm. Lewin Brzeski";"brzeski";"opolskie";9277;10107;4073;5204;5;32;1;1;0;0;0;0;1;5203;1;0;5203;124;41;83;0;5079;2447;392;573;1667;7
"160105";"gmina wiejska";"gm. Lubsza";"brzeski";"opolskie";6482;7043;2604;3878;1;10;0;0;0;0;0;0;0;3878;0;0;3878;85;16;69;0;3793;1941;252;427;1173;11
"160106";"gmina wiejska";"gm. Olszanka";"brzeski";"opolskie";3566;3861;1321;2245;7;5;0;0;0;0;0;0;0;2245;0;0;2245;38;5;33;0;2207;1251;132;240;584;6
"160401";"gmina miejsko-wiejska";"gm. Byczyna";"kluczborski";"opolskie";6789;7336;3165;3624;2;17;0;0;0;0;0;0;0;3624;0;0;3624;71;14;57;0;3553;1767;249;327;1210;9
"160402";"gmina miejsko-wiejska";"gm. Kluczbork";"kluczborski";"opolskie";26662;28953;11104;15552;25;62;0;0;0;0;0;0;0;15554;0;0;15554;436;82;354;0;15118;5973;1254;1706;6185;29
"160403";"gmina wiejska";"gm. Lasowice Wielkie";"kluczborski";"opolskie";5128;5555;2976;2152;0;8;0;0;0;0;0;0;0;2152;0;0;2152;111;8;103;0;2041;817;220;251;753;10
"160404";"gmina miejsko-wiejska";"gm. Wołczyn";"kluczborski";"opolskie";9665;10427;4387;5278;14;27;0;0;0;0;0;0;0;5278;0;0;5278;115;25;90;0;5163;2745;315;461;1642;15
