"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Witold JACHNIK";"Tadeusz Wiktor KOPEĆ";"Hubert Zbigniew MAŚLANKA";"Liczba obwodów"
"240301";"gmina miejska";"m. Cieszyn";"cieszyński";"śląskie";26964;26944;9667;17289;15;171;2;2;0;0;0;0;2;17290;2;1;17289;343;92;251;0;16946;2050;5935;8961;25
"240302";"gmina miejska";"m. Ustroń";"cieszyński";"śląskie";14210;15019;4475;9735;21;1041;2;2;0;0;0;0;2;9736;2;0;9736;180;53;127;0;9556;938;3313;5305;13
"240303";"gmina miejska";"m. Wisła";"cieszyński";"śląskie";8316;9325;2967;5349;11;383;0;0;0;0;0;0;0;5348;0;0;5348;117;18;99;0;5231;480;1096;3655;8
"240304";"gmina wiejska";"gm. Brenna";"cieszyński";"śląskie";8171;8851;2740;5431;4;127;0;0;0;0;0;0;0;5429;0;2;5427;106;30;76;0;5321;632;2678;2011;8
"240305";"gmina wiejska";"gm. Chybie";"cieszyński";"śląskie";6917;7500;2248;4669;6;5;0;0;0;0;0;0;0;4666;0;0;4666;74;18;56;0;4592;517;2562;1513;5
"240306";"gmina wiejska";"gm. Dębowiec";"cieszyński";"śląskie";4197;4469;1460;2737;2;8;0;0;0;0;0;0;0;2737;0;0;2737;66;19;47;0;2671;369;1149;1153;5
"240307";"gmina wiejska";"gm. Goleszów";"cieszyński";"śląskie";9814;10427;3433;6381;4;35;0;0;0;0;0;0;0;6381;0;0;6381;139;44;95;0;6242;762;1849;3631;12
"240308";"gmina wiejska";"gm. Hażlach";"cieszyński";"śląskie";7715;8217;2712;5003;6;7;0;0;0;0;0;0;0;5002;0;0;5002;90;27;63;0;4912;668;2236;2008;7
"240309";"gmina wiejska";"gm. Istebna";"cieszyński";"śląskie";8762;9296;2995;5767;8;120;0;0;0;0;0;0;0;5764;0;0;5764;103;23;80;0;5661;395;3992;1274;6
"240310";"gmina miejsko-wiejska";"gm. Skoczów";"cieszyński";"śląskie";18995;20539;6492;12503;22;47;1;1;0;0;0;0;1;12501;1;0;12501;224;72;152;0;12277;1553;5441;5283;19
