"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA"
"ea70-271e-e16e-88af-0b5e-2fa1-3e3f-da36";"140201";"39";"13";"miasto";"stały";"Przedszkole nr 5, ul. Gwardii Ludowej WRN 12, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1871";"1961";"582";"1289";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1289";"0";"0";"1289";"33";"7";"26";"0";"1256";"556";"546";"154"
"319f-bedd-a2c9-0cc5-bbc0-0f3d-747a-71ac";"140201";"39";"14";"miasto";"stały";"Przedszkole nr 10, ul. Batalionów Chłopskich 4, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1707";"1911";"543";"1164";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1164";"0";"0";"1164";"31";"11";"20";"0";"1133";"495";"479";"159"
"caa4-4945-6176-685e-da12-de1e-06c8-95de";"140201";"39";"15";"miasto";"stały";"Dom Pomocy Społecznej KOMBATANT, ul. Batalionów Chłopskich 12, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1520";"1655";"445";"1075";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1075";"0";"0";"1075";"43";"10";"33";"0";"1032";"489";"414";"129"
"40c9-9f28-41f4-8d9a-8a18-e9df-5ac2-c221";"140201";"39";"16";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Orylska 3, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1330";"1477";"423";"907";"3";"2";"0";"0";"0";"0";"0";"0";"0";"906";"0";"0";"906";"21";"8";"13";"0";"885";"382";"381";"122"
"5eef-7fc5-e079-4cda-a114-4811-67a9-b04b";"140201";"39";"17";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Orylska 3, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1396";"1530";"540";"856";"1";"0";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"13";"0";"13";"0";"843";"399";"325";"119"
"e721-9318-428d-4704-66d7-3aaa-5461-0fbe";"140201";"39";"18";"miasto";"stały";"Żłobek Miejski, ul. Batalionów Chłopskich 4, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1396";"1571";"391";"1005";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1005";"0";"0";"1005";"12";"2";"10";"0";"993";"421";"414";"158"
"a3c2-2d17-972f-c238-a076-9c16-7ed6-1b95";"140201";"39";"19";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Płońska 143, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1520";"1662";"432";"1088";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1088";"0";"0";"1088";"25";"6";"19";"0";"1063";"545";"383";"135"
"afad-c828-f64a-23a5-ae02-e1b2-abb3-93a7";"140201";"39";"20";"miasto";"stały";"Przedszkole nr 8, ul. Graniczna 41, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1779";"2004";"609";"1170";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1170";"1";"0";"1170";"23";"10";"13";"0";"1147";"621";"386";"140"
"6e2f-6035-5d48-b9fb-c3fb-f121-bc54-8b59";"140201";"39";"21";"miasto";"stały";"Budmat Auto 2 Sp. z o. o., ul. Sońska 2, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1532";"1504";"585";"947";"0";"3";"0";"0";"0";"0";"0";"0";"0";"947";"0";"0";"947";"13";"2";"11";"0";"934";"443";"355";"136"
"3cb5-5164-b591-1762-1461-a106-21fc-7a4f";"140201";"39";"22";"miasto";"zakład leczniczy";"Specjalistyczny Szpital Wojewódzki, ul. Powstańców Wielkopolskich 2, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"242";"233";"165";"77";"0";"5";"0";"0";"0";"0";"0";"0";"0";"77";"0";"0";"77";"4";"0";"4";"0";"73";"44";"24";"5"
"d009-6f23-ab56-a802-b9aa-ff2c-aacc-c4fd";"140201";"39";"23";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Krucza 32, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"176";"179";"58";"118";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118";"0";"0";"118";"2";"0";"2";"0";"116";"95";"10";"11"
"0f5d-49a7-d2ac-5072-04c6-eaee-7db8-db7b";"140202";"39";"1";"wieś";"stały";"Urząd Gminy Ciechanów, ul. Fabryczna 8, 06-400 Ciechanów";"gm. Ciechanów";"ciechanowski";"mazowieckie";"1980";"2210";"643";"1337";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1337";"0";"0";"1337";"29";"5";"24";"0";"1308";"664";"465";"179"
