"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA"
"58ad-de8a-2779-d3b4-2ef6-d2b3-5d1d-84b2";"140207";"39";"4";"wieś";"stały";"Szkoła Podstawowa w Kołaczkowie, Kołaczków ul. Szkolna 2, 06-406 Opinogóra Górna";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";"816";"905";"404";"412";"0";"0";"0";"0";"0";"0";"0";"0";"0";"412";"0";"0";"412";"19";"4";"15";"0";"393";"265";"76";"52"
"c79a-3087-bfc8-5d29-fdf6-d651-7e54-f6b2";"140207";"39";"5";"wieś";"stały";"Świetlica Wiejska, Władysławowo ul. E. Krasińskiego 39, 06-406 Opinogóra Górna";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";"700";"784";"177";"523";"0";"0";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"17";"3";"14";"0";"506";"263";"153";"90"
"4af7-9c7e-7a39-a41d-ed65-37f6-5d84-f0ce";"140207";"39";"6";"wieś";"stały";"Świetlica Wiejska, Rembówko 27, 06-406 Opinogóra Górna";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";"500";"553";"224";"276";"0";"2";"0";"0";"0";"0";"0";"0";"0";"276";"0";"0";"276";"1";"0";"1";"0";"275";"189";"51";"35"
"50d0-0fc1-4584-af2d-fda9-8894-348b-d1fc";"140208";"39";"1";"wieś";"stały";"Szkoła Podstawowa w Regiminie, ul. Heleny Dobrzynieckiej 1, 06-461 Regimin";"gm. Regimin";"ciechanowski";"mazowieckie";"1730";"1894";"660";"1068";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1070";"0";"0";"1070";"23";"7";"16";"0";"1047";"649";"289";"109"
"1949-5913-7040-ed02-8475-ad40-7412-af9f";"140208";"39";"2";"wieś";"stały";"Szkoła Podstawowa w Zeńboku, Zeńbok 50, 06-461 Regimin";"gm. Regimin";"ciechanowski";"mazowieckie";"630";"696";"268";"362";"0";"4";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"9";"1";"8";"0";"353";"254";"69";"30"
"5198-307b-f192-a595-3028-7b6b-efb4-d72d";"140208";"39";"3";"wieś";"stały";"Budynek Świetlicy Wiejskiej w Pniewie-Czeruchach, Pniewo-Czeruchy 23, 06-461 Regimin";"gm. Regimin";"ciechanowski";"mazowieckie";"526";"570";"215";"311";"0";"0";"0";"0";"0";"0";"0";"0";"0";"311";"0";"0";"311";"19";"0";"19";"0";"292";"180";"84";"28"
"7843-3466-7f3b-388d-3676-4994-bb6f-3500";"140208";"39";"4";"wieś";"stały";"Szkoła Podstawowa w Szulmierzu, Szulmierz 78, 06-461 Regimin";"gm. Regimin";"ciechanowski";"mazowieckie";"781";"857";"287";"494";"0";"0";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"23";"4";"19";"0";"471";"356";"68";"47"
"115d-cf0e-1e3c-422a-1bab-b588-ee3d-7913";"140209";"39";"1";"wieś";"stały";"Szkoła Podstawowa im. Szczepana Dobosza, ul. Szkolna 4, 06-430 Sońsk";"gm. Sońsk";"ciechanowski";"mazowieckie";"2010";"2234";"729";"1281";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1281";"0";"0";"1281";"18";"3";"15";"0";"1263";"764";"334";"165"
"91cd-3f67-a818-9678-438e-7a58-3c12-f86f";"140209";"39";"2";"wieś";"stały";"Świetlica Wiejska, Ciemniewo 47, 06-430 Sońsk";"gm. Sońsk";"ciechanowski";"mazowieckie";"590";"644";"242";"348";"0";"0";"0";"0";"0";"0";"0";"0";"0";"348";"0";"0";"348";"6";"2";"4";"0";"342";"262";"40";"40"
"8b88-da41-4d24-101a-1c23-e2d1-9ba0-6d32";"140209";"39";"3";"wieś";"stały";"Szkoła Podstawowa im Bohaterów Bitwy pod Sarnową Górą 1920 w Bądkowie, Bądkowo 1, 06-440 Gąsocin";"gm. Sońsk";"ciechanowski";"mazowieckie";"840";"924";"293";"546";"1";"2";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"18";"1";"17";"0";"528";"420";"68";"40"
"f43d-eadc-d9be-86f4-68da-a34d-bf4a-8609";"140209";"39";"4";"wieś";"stały";"Szkoła Podstawowa w Gąsocinie, ul. Błotna 12, 06-440 Gąsocin";"gm. Sońsk";"ciechanowski";"mazowieckie";"1830";"1998";"782";"1048";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1048";"0";"0";"1048";"16";"5";"11";"0";"1032";"655";"232";"145"
"0871-9c36-d83a-46fd-7173-00e7-c4a4-a376";"140209";"39";"5";"wieś";"stały";"Świetlica Wiejska, Wola Ostaszewska 17, 06-440 Gąsocin";"gm. Sońsk";"ciechanowski";"mazowieckie";"320";"356";"134";"186";"0";"2";"0";"0";"0";"0";"0";"0";"0";"186";"0";"0";"186";"6";"0";"6";"0";"180";"117";"36";"27"
"c635-91d9-4e5c-3076-3037-859f-223e-9b1f";"140209";"39";"6";"wieś";"zakład leczniczy";"Niepubliczny Zespół Zakładów Opieki Zdrowotnej ""Palium"" w Sońsku, ul. Zacisze 1, 06-430 Sońsk";"gm. Sońsk";"ciechanowski";"mazowieckie";"72";"66";"39";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"33";"0";"0";"0";"0";"33";"24";"4";"5"
"c0ca-d55e-53c4-e2c2-f9ec-3b48-5405-55ef";"141301";"39";"1";"miasto";"stały";"Zespół Placówek Oświatowych Nr 1, ul. Warszawska 52, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1480";"1637";"553";"927";"1";"2";"0";"0";"0";"0";"0";"0";"0";"927";"0";"0";"927";"25";"5";"20";"0";"902";"407";"342";"153"
"a1d9-1e34-ef81-c151-9161-db4e-70da-b0f6";"141301";"39";"2";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. Narutowicza 6, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1330";"1434";"439";"891";"2";"8";"0";"0";"0";"0";"0";"0";"0";"891";"0";"0";"891";"19";"5";"14";"0";"872";"397";"327";"148"
"7209-6dd9-34d9-d273-b1f2-94b6-5e3b-1e40";"141301";"39";"3";"miasto";"stały";"Miejski Dom Kultury, ul. Stary Rynek 13, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1130";"1242";"483";"657";"0";"9";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"11";"1";"10";"0";"646";"283";"260";"103"
"933e-10b4-292c-8c90-3d19-9658-ab71-6bc8";"141301";"39";"4";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Żołnierzy 80 Pułku Piechoty 4, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1800";"1991";"542";"1258";"5";"5";"1";"1";"0";"0";"0";"0";"1";"1259";"1";"0";"1259";"10";"1";"9";"0";"1249";"581";"465";"203"
"ad0a-8443-816c-8633-37fd-cfa1-4159-7d65";"141301";"39";"5";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji, ul. Mikołaja Kopernika 38, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1893";"2049";"562";"1331";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1331";"0";"0";"1331";"23";"6";"17";"0";"1308";"642";"505";"161"
"0eb1-ea9f-7159-b400-9dd7-9e65-6398-20ce";"141301";"39";"6";"miasto";"stały";"Zespół Placówek Oświatowych Nr 3 Miejskie Przedszkole Samorządowe, ul. Hoża 6, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1709";"1830";"580";"1129";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1129";"0";"0";"1129";"29";"11";"18";"0";"1100";"512";"409";"179"
"212a-60ce-9f15-71b7-57b6-bae6-0b29-27f7";"141301";"39";"7";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Sportowa 1, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1589";"1732";"609";"980";"2";"7";"0";"0";"0";"0";"0";"0";"0";"980";"0";"0";"980";"28";"12";"16";"0";"952";"467";"340";"145"
"972c-45a7-55d8-6a33-8461-a6e2-9241-c28d";"141301";"39";"8";"miasto";"stały";"I Liceum Ogólnokształcące, ul. Stanisława Wyspiańskiego 1, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1766";"1921";"608";"1158";"8";"11";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"0";"1158";"31";"8";"23";"0";"1127";"510";"466";"151"
"baf4-e576-82ee-7be4-404e-9dfa-de32-b98b";"141301";"39";"9";"miasto";"stały";"Zespół Placówek Oświatowych Nr 3, ul. Ordona 14, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1611";"1770";"507";"1104";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1104";"0";"0";"1104";"22";"0";"22";"0";"1082";"488";"424";"170"
"ad30-509e-896b-3aa7-5992-f6ae-28e3-daf6";"141301";"39";"10";"miasto";"stały";"Zespół Szkół Nr 1, ul. Zuzanny Morawskiej 29, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1542";"1722";"496";"1046";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1046";"0";"0";"1046";"23";"9";"14";"0";"1023";"408";"438";"177"
"2a86-b626-5b88-d188-adc9-7b51-c4b3-9351";"141301";"39";"11";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Henryka Pogorzelskiego 4, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1238";"1358";"459";"778";"2";"3";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"778";"24";"4";"20";"0";"754";"412";"227";"115"
"0b3a-3a71-abcc-8f7d-dc15-5245-ad2d-fd17";"141301";"39";"12";"miasto";"stały";"Zespół Szkół Nr 3, ul. Aleja Józefa Piłsudskiego 33, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1582";"1708";"571";"1011";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"15";"4";"11";"0";"996";"443";"424";"129"
"6bef-8a83-212e-9d58-d55a-81f9-cdc2-e173";"141301";"39";"13";"miasto";"stały";"Zespół Placówek Oświatowych Nr 2 Miejskie Przedszkole Samorządowe Nr 2, ul. Przyrynek 5, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1550";"1675";"679";"871";"1";"8";"0";"0";"0";"0";"0";"0";"0";"870";"0";"0";"870";"17";"1";"16";"0";"853";"450";"274";"129"
"7bb8-25ca-262b-e8cd-1d8d-15f1-c583-670a";"141301";"39";"14";"miasto";"stały";"Zespół Placówek Oświatowych Nr 2, ul. Graniczna 39, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"1479";"1621";"639";"840";"1";"6";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"29";"4";"25";"0";"811";"430";"264";"117"
"e9b9-7d68-8a52-aab4-152a-3937-c92c-69b6";"141301";"39";"15";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Mławie, ul. Dobrskiej 1, 06-500 Mława";"m. Mława";"mławski";"mazowieckie";"107";"71";"86";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"2";"0";"2";"0";"19";"14";"5";"0"
"1bb0-a640-f9ab-e518-f431-f5a4-adaa-41ac";"141302";"39";"1";"wieś";"stały";"Budynek po byłej Szkole Podstawowej, Nowe Brzozowo 25, 06-520 Dzierzgowo";"gm. Dzierzgowo";"mławski";"mazowieckie";"440";"490";"216";"224";"0";"1";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"5";"0";"5";"0";"219";"173";"32";"14"
"b37c-ed5d-a277-0cdf-327a-4b87-4ac1-53b6";"141302";"39";"2";"wieś";"stały";"Remiza OSP, Dobrogosty 4, 06-520 Dzierzgowo";"gm. Dzierzgowo";"mławski";"mazowieckie";"280";"309";"118";"162";"0";"2";"0";"0";"0";"0";"0";"0";"0";"162";"0";"0";"162";"2";"0";"2";"0";"160";"120";"20";"20"
"e9e7-8420-fcf1-2bf7-034e-c5a3-20ce-b2b1";"141302";"39";"3";"wieś";"stały";"Publiczne Gimnazjum, ul. Jagiellońska 21a, 06-520 Dzierzgowo";"gm. Dzierzgowo";"mławski";"mazowieckie";"570";"625";"240";"330";"1";"3";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"9";"1";"8";"0";"321";"213";"70";"38"
"202f-a28a-8e70-6330-9501-adbe-09cd-991c";"141302";"39";"4";"wieś";"stały";"Szkoła Podstawowa, ul. Jagiellońska 21, 06-520 Dzierzgowo";"gm. Dzierzgowo";"mławski";"mazowieckie";"522";"574";"252";"270";"1";"0";"0";"0";"0";"0";"0";"0";"0";"270";"0";"0";"270";"2";"0";"2";"0";"268";"214";"27";"27"
"1d78-d967-b6e1-ca2a-35d8-86ca-5afd-e516";"141302";"39";"5";"wieś";"stały";"Szkoła Podstawowa, Rzęgnowo 94, 06-520 Dzierzgowo";"gm. Dzierzgowo";"mławski";"mazowieckie";"410";"452";"206";"204";"0";"2";"0";"0";"0";"0";"0";"0";"0";"204";"0";"0";"204";"5";"0";"5";"0";"199";"155";"27";"17"
"91c0-c750-1b9d-d703-5423-dccd-4401-256c";"141303";"39";"1";"wieś";"stały";"Szkoła Podstawowa w Lipowcu Kościelnym, Lipowiec Kościelny 212, 06-545 Lipowiec Kościelny";"gm. Lipowiec Kościelny";"mławski";"mazowieckie";"1084";"1187";"431";"653";"0";"2";"1";"1";"0";"0";"0";"0";"1";"654";"1";"0";"654";"23";"4";"19";"0";"631";"401";"143";"87"
"519b-3c5f-aea5-a4a7-c942-b01c-f73a-2c51";"141303";"39";"2";"wieś";"stały";"Szkoła Podstawowa w Turzy Małej, Turza Mała 15, 06-545 Lipowiec Kościelny";"gm. Lipowiec Kościelny";"mławski";"mazowieckie";"942";"1029";"447";"495";"0";"2";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"17";"6";"11";"0";"478";"318";"102";"58"
"70f2-2f21-8d01-e5be-d1a5-156a-6d60-4c09";"141303";"39";"3";"wieś";"stały";"Szkoła Podstawowa w Zawadach, Zawady 60, 06-545 Lipowiec Kościelny";"gm. Lipowiec Kościelny";"mławski";"mazowieckie";"772";"852";"363";"409";"0";"0";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"10";"0";"10";"0";"399";"305";"56";"38"
"2171-4979-7f60-b51e-48fa-b88b-dba2-c955";"141303";"39";"4";"wieś";"stały";"Szkoła Podstawowa w Łomi, Łomia 109, 06-500 Mława";"gm. Lipowiec Kościelny";"mławski";"mazowieckie";"732";"810";"330";"402";"0";"0";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"14";"7";"7";"0";"388";"207";"134";"47"
"24a2-6c79-9cd4-8d51-5cde-4e23-4c02-ec91";"141304";"39";"1";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Gradzanowie Włościańskim, Gradzanowo Włościańskie 13, 06-540 Radzanów";"gm. Radzanów";"mławski";"mazowieckie";"360";"392";"188";"172";"1";"1";"0";"0";"0";"0";"0";"0";"0";"172";"0";"0";"172";"5";"0";"5";"0";"167";"133";"21";"13"
"f24c-0d65-6609-28d7-859a-caeb-e5a3-cc4d";"141304";"39";"2";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Józefowie, Józefowo 25, 06-540 Radzanów";"gm. Radzanów";"mławski";"mazowieckie";"160";"186";"39";"121";"0";"0";"0";"0";"0";"0";"0";"0";"0";"121";"0";"0";"121";"2";"0";"2";"0";"119";"76";"28";"15"
"6b8d-193b-152b-f490-5588-16e5-ca85-a39e";"141304";"39";"3";"wieś";"stały";"Gminny Ośrodek Kultury w Radzanowie, ul. Mławska 4, 06-540 Radzanów";"gm. Radzanów";"mławski";"mazowieckie";"1340";"1470";"530";"810";"1";"6";"0";"0";"0";"0";"0";"0";"0";"810";"0";"0";"810";"15";"4";"11";"0";"795";"514";"188";"93"
"e13d-6214-27d9-806e-bf0b-190d-5c5b-141e";"141304";"39";"4";"wieś";"stały";"Szkoła Podstawowa we Wróblewie, Wróblewo 27, 06-540 Radzanów";"gm. Radzanów";"mławski";"mazowieckie";"610";"678";"254";"356";"0";"3";"0";"0";"0";"0";"0";"0";"0";"356";"0";"0";"356";"14";"0";"14";"0";"342";"256";"46";"40"
"782a-78fd-12b4-c23d-7bba-247d-140d-557d";"141305";"39";"1";"wieś";"stały";"Centrum Kulturowo-Historyczne ""Kantor Młyński"", ul. Ciechanowska 18A, 06-445 Strzegowo";"gm. Strzegowo";"mławski";"mazowieckie";"870";"942";"422";"448";"0";"0";"0";"0";"0";"0";"0";"0";"0";"448";"0";"0";"448";"12";"7";"5";"0";"436";"211";"177";"48"
"2922-c4d3-bd53-ee37-609b-a5b9-6d44-1df5";"141305";"39";"2";"wieś";"stały";"Zespół Szkół Strzegowo, ul. Wyzwolenia 13, 06-445 Strzegowo";"gm. Strzegowo";"mławski";"mazowieckie";"1220";"1329";"544";"676";"0";"8";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"18";"0";"18";"0";"658";"413";"161";"84"
"35cd-866b-ed8f-c588-54f6-bca1-ea04-c775";"141305";"39";"3";"wieś";"stały";"Świetlica wiejska, Breginie 17A, 06-445 Strzegowo";"gm. Strzegowo";"mławski";"mazowieckie";"410";"458";"179";"231";"0";"3";"0";"0";"0";"0";"0";"0";"0";"231";"0";"0";"231";"4";"0";"4";"0";"227";"175";"41";"11"
"d6af-ba91-cc88-f888-7deb-d3c8-c37f-8bad";"141305";"39";"4";"wieś";"stały";"Strażnica OSP, Unierzyż 27, 06-445 Strzegowo";"gm. Strzegowo";"mławski";"mazowieckie";"560";"624";"229";"331";"0";"4";"0";"0";"0";"0";"0";"0";"0";"331";"0";"0";"331";"4";"0";"4";"0";"327";"259";"51";"17"
"c8e8-09d4-2e31-dc06-35a5-cdc7-bbd2-1ec0";"141305";"39";"5";"wieś";"stały";"Zespół Szkół, Niedzbórz 19, 06-445 Strzegowo";"gm. Strzegowo";"mławski";"mazowieckie";"1389";"1529";"670";"719";"0";"6";"0";"0";"0";"0";"0";"0";"0";"719";"0";"0";"719";"25";"3";"22";"0";"694";"479";"132";"83"
"aafb-e648-37c1-84fe-a57d-8432-6579-b379";"141305";"39";"6";"wieś";"stały";"Szkoła Podstawowa, Dąbrowa 85, 06-445 Strzegowo";"gm. Strzegowo";"mławski";"mazowieckie";"1112";"1241";"460";"652";"0";"2";"0";"0";"0";"0";"0";"0";"0";"652";"0";"0";"652";"15";"7";"8";"0";"637";"472";"96";"69"
"5c11-0af3-f137-ecf4-2627-a8ec-4068-31f5";"141306";"39";"1";"wieś";"stały";"Świetlica w Stupsku, ul. Adama Mickiewicza 46, 06-561 Stupsk";"gm. Stupsk";"mławski";"mazowieckie";"1416";"1564";"629";"787";"0";"3";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"32";"6";"26";"0";"755";"478";"164";"113"
"f5e5-c4e7-03fa-79b8-7088-d077-6d14-74cf";"141306";"39";"2";"wieś";"stały";"Budynek Gminy, Konopki, ul. Kredytowa 4, 06-560 Konopki";"gm. Stupsk";"mławski";"mazowieckie";"1332";"1470";"577";"755";"1";"2";"0";"0";"0";"0";"0";"0";"0";"755";"0";"0";"755";"22";"7";"15";"0";"733";"465";"183";"85"
"1471-6bd9-e087-98a2-385b-4204-60c3-55c3";"141306";"39";"3";"wieś";"stały";"Dom Strażaka, Dąbek 124, 06-561 Stupsk";"gm. Stupsk";"mławski";"mazowieckie";"796";"796";"404";"392";"0";"0";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"16";"1";"15";"0";"376";"264";"71";"41"
"7ab3-6c2b-e867-fb63-c5c8-aa96-6892-fe94";"141306";"39";"4";"wieś";"dom pomocy społecznej";"Krajowy Ośrodek Mieszkalno-Rehabilitacyjny dla Osób Chorych na Stwardnienie Rozsiane, Dąbek 129, 06-561 Stupsk";"gm. Stupsk";"mławski";"mazowieckie";"71";"64";"12";"59";"0";"2";"0";"0";"0";"0";"0";"0";"0";"59";"0";"0";"59";"3";"0";"3";"0";"56";"31";"15";"10"
"8015-0892-cc42-2280-d3b7-c923-651f-06ac";"141307";"39";"1";"wieś";"stały";"Zespół Placówek Oświatowych, ul. Budzyn 12, 06-550 Szreńsk";"gm. Szreńsk";"mławski";"mazowieckie";"1870";"2045";"758";"1112";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"0";"1112";"27";"4";"23";"0";"1085";"774";"197";"114"
"8717-4d0e-19ab-dd97-83c8-a4cd-56b3-56b8";"141307";"39";"2";"wieś";"stały";"Szkoła Podstawowa, Miączyn Mały 24, 06-550 Szreńsk";"gm. Szreńsk";"mławski";"mazowieckie";"570";"631";"269";"301";"0";"1";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"7";"0";"7";"0";"294";"205";"51";"38"
"95a2-dc85-ade8-639c-69cc-56d2-53e3-370e";"141307";"39";"3";"wieś";"stały";"Szkoła Podstawowa, Proszkowo 3, 06-550 Szreńsk";"gm. Szreńsk";"mławski";"mazowieckie";"620";"685";"263";"357";"0";"1";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"7";"0";"7";"0";"350";"262";"62";"26"
"e93c-d1fb-3b35-f814-b1e9-a3c1-0f68-3971";"141308";"39";"1";"wieś";"stały";"Szkoła Podstawowa im. 49 Pułku Piechoty w Szydłowie, ul. Szkolna 2, 06-516 Szydłowo";"gm. Szydłowo";"mławski";"mazowieckie";"1390";"1533";"549";"841";"0";"0";"0";"0";"0";"0";"0";"0";"0";"841";"0";"0";"841";"19";"0";"19";"0";"822";"487";"211";"124"
"51ce-6ba9-e4a1-79cd-e901-45cf-3d33-8d77";"141308";"39";"2";"wieś";"stały";"Szkoła Podstawowa w Nosarzewie Borowym im. Wojciecha Piechowskiego, Nosarzewo Borowe 34, 06-516 Szydłowo";"gm. Szydłowo";"mławski";"mazowieckie";"1150";"1265";"431";"719";"0";"12";"0";"0";"0";"0";"0";"0";"0";"719";"0";"0";"719";"29";"4";"25";"0";"690";"466";"149";"75"
"0dc3-7edb-e94d-f2ed-c4ba-a155-8b0b-d3f4";"141308";"39";"3";"wieś";"stały";"Szkoła Podstawowa w Dębsku, Dębsk 104, 06-516 Szydłowo";"gm. Szydłowo";"mławski";"mazowieckie";"770";"841";"301";"469";"1";"1";"0";"0";"0";"0";"0";"0";"0";"469";"0";"0";"469";"16";"1";"15";"0";"453";"290";"105";"58"
"193b-24ee-082f-2589-aabe-f221-23c6-4c07";"141309";"39";"1";"wieś";"stały";"Szkoła Podstawowa w Wieczfni Kościelnej, Wieczfnia Kościelna 56C, 06-513 Wieczfnia Kościelna";"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";"970";"1079";"351";"619";"1";"5";"0";"0";"0";"0";"0";"0";"0";"619";"0";"0";"619";"18";"1";"17";"0";"601";"401";"136";"64"
"e8ce-bf3a-3de9-c47f-8c51-a764-5094-c17c";"141309";"39";"2";"wieś";"stały";"Szkoła Podstawowa w Wieczfni Kościelnej Szkoła Filialna w Grzebsku, Grzebsk 21, 06-513 Wieczfnia Kościelna";"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";"490";"535";"230";"260";"0";"2";"0";"0";"0";"0";"0";"0";"0";"260";"0";"0";"260";"12";"2";"10";"0";"248";"202";"31";"15"
"b636-fb24-6f60-3d34-5239-9456-b917-45c8";"141309";"39";"3";"wieś";"stały";"Szkoła Podstawowa w Uniszkach Zawadzkich, Uniszki Zawadzkie 24, 06-513 Wieczfnia Kościelna";"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";"910";"996";"449";"461";"0";"0";"0";"0";"0";"0";"0";"0";"0";"461";"0";"0";"461";"13";"3";"10";"0";"448";"312";"81";"55"
"1676-ced9-b45d-5d5a-66f7-bbb6-c313-c351";"141309";"39";"4";"wieś";"stały";"Szkoła Podstawowa w Windykach, Windyki 20, 06-513 Wieczfnia Kościelna";"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";"470";"523";"174";"296";"0";"3";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"11";"2";"9";"0";"285";"183";"67";"35"
"df70-7430-3e8f-5205-ab70-236a-b2cb-920f";"141310";"39";"1";"wieś";"stały";"Zespół Szkół w Wiśniewie, Wiśniewo 78, 06-521 Wiśniewo";"gm. Wiśniewo";"mławski";"mazowieckie";"980";"1084";"396";"584";"0";"8";"0";"0";"0";"0";"0";"0";"0";"584";"0";"0";"584";"15";"5";"10";"0";"569";"325";"155";"89"
"95db-b912-8927-e317-66b5-8883-ee43-6e78";"141310";"39";"2";"wieś";"stały";"Szkoła Podstawowa w Starych Kosinach, Stare Kosiny 1, 06-521 Wiśniewo";"gm. Wiśniewo";"mławski";"mazowieckie";"950";"1045";"440";"510";"0";"2";"0";"0";"0";"0";"0";"0";"0";"509";"0";"0";"509";"12";"1";"11";"0";"497";"307";"127";"63"
"ec1e-cd2c-3f98-eda2-3629-f3fb-5476-4371";"141310";"39";"3";"wieś";"stały";"Szkoła Podstawowa w Bogurzynie, Bogurzyn 84, 06-521 Wiśniewo";"gm. Wiśniewo";"mławski";"mazowieckie";"1072";"1180";"386";"686";"2";"4";"0";"0";"0";"0";"0";"0";"0";"686";"0";"0";"686";"13";"1";"12";"0";"673";"481";"100";"92"
"c3d7-ade4-56ff-1c4a-a902-b343-45cc-6cd7";"141310";"39";"4";"wieś";"stały";"Świetlica Wiejska w Wojnówce, Wojnówka 3, 06-521 Wiśniewo";"gm. Wiśniewo";"mławski";"mazowieckie";"700";"780";"364";"336";"1";"1";"0";"0";"0";"0";"0";"0";"0";"336";"0";"0";"336";"8";"1";"7";"0";"328";"194";"76";"58"
"8c58-b689-bb09-5669-3bbf-3b53-4b90-5c76";"141310";"39";"5";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Zdrowa Jesień"", Bogurzyn 87, 06-521 Wiśniewo";"gm. Wiśniewo";"mławski";"mazowieckie";"40";"11";"29";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"11";"3";"1";"2";"0";"8";"5";"2";"1"
