"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOZAKIEWICZ";"Piotr ROMAN";"Rafał Józef ŚLUSARZ"
"78fe-783d-7c98-f9da-b93e-61e9-f584-a87e";"020101";"1";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1399";"1522";"511";"888";"0";"2";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"12";"6";"6";"0";"876";"225";"375";"276"
"5a3f-d758-6fac-9ba5-bb72-92e8-9c29-fee7";"020101";"1";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1200";"1338";"323";"877";"0";"3";"0";"0";"0";"0";"0";"0";"0";"877";"0";"0";"877";"11";"4";"7";"0";"866";"280";"374";"212"
"220e-296e-80e6-5e09-cdd3-5556-3588-ac8c";"020101";"1";"3";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1299";"1432";"396";"903";"0";"4";"0";"0";"0";"0";"0";"0";"0";"901";"0";"0";"901";"12";"3";"9";"0";"889";"198";"444";"247"
"3e47-3db5-1757-3f57-34d6-b03e-3f69-fc0c";"020101";"1";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1439";"347";"953";"0";"8";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"8";"2";"6";"0";"944";"263";"444";"237"
"c9b7-27a5-a8cc-8d46-72c0-fd8e-8753-07ef";"020101";"1";"5";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1384";"469";"831";"1";"7";"0";"0";"0";"0";"0";"0";"0";"831";"0";"0";"831";"6";"1";"5";"0";"825";"196";"414";"215"
"6e43-1878-5c55-0363-8ebd-1473-cf8b-0958";"020101";"1";"6";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1199";"1304";"554";"644";"1";"4";"0";"0";"0";"0";"0";"0";"0";"645";"0";"1";"644";"7";"1";"6";"0";"637";"156";"330";"151"
"586f-b71c-6a77-c499-4106-d0b4-bf34-9fce";"020101";"1";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1199";"1352";"306";"893";"0";"11";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"17";"3";"14";"0";"876";"254";"412";"210"
"6336-ba85-b387-47ce-3224-79e4-3781-5110";"020101";"1";"8";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1314";"1360";"372";"942";"1";"8";"0";"0";"0";"0";"0";"0";"0";"942";"0";"0";"942";"12";"4";"8";"0";"930";"232";"445";"253"
"1b50-5d7f-d2a7-b387-dbb2-fbb6-d04e-63d2";"020101";"1";"9";"miasto";"stały";"Miejskie Przedszkole Publiczne Nr 6, ul. Piotra i Pawła 2, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1411";"437";"863";"2";"2";"1";"1";"0";"0";"0";"0";"1";"864";"1";"0";"864";"13";"4";"9";"0";"851";"222";"433";"196"
"0132-79c4-19d8-1d36-e1da-d42a-dcd4-5766";"020101";"1";"10";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1214";"1309";"456";"758";"0";"4";"0";"0";"0";"0";"0";"0";"0";"757";"0";"1";"756";"17";"2";"15";"0";"739";"159";"374";"206"
