"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Małgorzata KOPICZKO";"Jolanta PIOTROWSKA";"Stanisław TOŁWIŃSKI"
"fb89-58b7-d55f-ead5-0e9b-74ef-72df-4eee";"280501";"87";"11";"miasto";"stały";"Szkoła Podstawowa nr 2 w Ełku Sala nr 6, parter, ul. J. i H. Małeckich 1, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2590";"2774";"1275";"1315";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1315";"0";"0";"1315";"27";"6";"21";"0";"1288";"583";"491";"214"
"2b84-6094-22e7-ef49-4e78-f358-6109-cbfa";"280501";"87";"12";"miasto";"stały";"I Liceum Ogólnokształcące w Ełku Sala nr 5, parter, ul. Marszałka Józefa Piłsudskiego 3, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2624";"2816";"1170";"1454";"5";"10";"0";"0";"0";"0";"0";"0";"0";"1454";"0";"0";"1454";"36";"13";"23";"0";"1418";"566";"622";"230"
"60da-bbc7-729c-d935-7857-0be3-f0d1-26b5";"280501";"87";"13";"miasto";"stały";"Szkoła Podstawowa nr 4 w Ełku Stołówka szkolna, parte, ul. Prof. Władysława Szafera 2, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2145";"2294";"881";"1264";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1264";"0";"0";"1264";"24";"8";"16";"0";"1240";"506";"549";"185"
"b8bc-6ba4-e23f-4695-4521-8e96-da2c-6a95";"280501";"87";"14";"miasto";"stały";"Zespół Szkół Nr 6 w Ełku Sala nr 4, parter, ul. M. Kajki 4, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2070";"2303";"577";"1493";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1493";"0";"0";"1493";"31";"13";"18";"0";"1462";"502";"615";"345"
"a20f-a6cf-4ba6-3711-e705-db66-1fb4-4d1b";"280501";"87";"15";"miasto";"stały";"Zespół Szkół Nr 6 w Ełku Sala nr 14, parter, ul. M. Kajki 4, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2455";"2714";"982";"1473";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1473";"0";"0";"1473";"37";"10";"27";"0";"1436";"596";"583";"257"
"d473-0e99-982b-4866-f904-16d6-f127-fe15";"280501";"87";"16";"miasto";"stały";"Szkoła Podstawowa nr 3 w Ełku Sala nr 113 (Stołówka szkolna), parter, ul. Grodzieńska 1, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2218";"2400";"847";"1370";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1371";"0";"0";"1371";"27";"7";"20";"0";"1344";"612";"515";"217"
"a817-4dad-c6c4-a62f-223f-157d-f01c-5900";"280501";"87";"17";"miasto";"stały";"Szkoła Podstawowa nr 9 w Ełku Sala nr C11, parter, Majora Jana Piwnika Ponurego 1, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2233";"2379";"897";"1336";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1334";"0";"0";"1334";"19";"11";"8";"0";"1315";"600";"485";"230"
"8c95-b2e2-65cc-eb1b-4f5a-94e1-4447-d6c0";"280501";"87";"18";"miasto";"stały";"Szkoła Podstawowa nr 9 w Ełku Stołówka szkolna, parter, ul. Majora Jana Piwnika Ponurego 1, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"2190";"2373";"854";"1336";"0";"4";"1";"1";"0";"0";"0";"0";"1";"1337";"1";"0";"1337";"31";"5";"26";"0";"1306";"564";"531";"211"
"222a-6418-48fd-048d-786b-b112-2b2b-6355";"280501";"87";"19";"miasto";"stały";"Zespół Szkół Sportowych w Ełku Sala gimnastyczna, parter, ul. Suwalska 15, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"1266";"1375";"645";"621";"1";"5";"0";"0";"0";"0";"0";"0";"0";"621";"0";"0";"621";"7";"1";"6";"0";"614";"281";"235";"98"
"7536-22af-7b94-8b32-147d-6a32-ab46-0d0e";"280501";"87";"20";"miasto";"zakład leczniczy";"""Pro-Medica"" w Ełku sp. z o. o., ul. Baranki 24, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"199";"110";"162";"37";"0";"2";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"0";"0";"0";"0";"37";"19";"15";"3"
"1c96-b654-fb00-2b27-0317-5e3f-c6d9-bfa2";"280501";"87";"21";"miasto";"zakład leczniczy";"1 Wojskowy Szpital Kliniczny z Polikliniką SPZOZ w Lublinie-Filia w Ełku, ul. T. Kościuszki 30, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"203";"64";"186";"17";"0";"2";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"17";"0";"0";"0";"0";"17";"7";"6";"4"
"0aa5-3c71-75de-1360-223f-a65a-5eab-c92c";"280501";"87";"22";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej Misericordia, ul. ks. prał. Mariana Szczęsnego 5, 19-300 Ełk";"m. Ełk";"ełcki";"warmińsko-mazurskie";"70";"64";"44";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"0";"0";"0";"0";"26";"12";"4";"10"
"80da-9035-5096-75e8-925a-3ee3-2a63-dc1a";"280502";"87";"1";"wieś";"stały";"Zespół Szkół Samorządowych w Chełchach, Chełchy 26, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"848";"928";"479";"369";"0";"1";"0";"0";"0";"0";"0";"0";"0";"369";"0";"0";"369";"4";"1";"3";"0";"365";"193";"120";"52"
"a7c5-e4ec-8c4a-21a5-0942-df0b-3c98-caf9";"280502";"87";"2";"wieś";"stały";"Szkoła Podstawowa w Mrozach Wielkich, Mrozy Wielkie 12, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"588";"636";"242";"346";"0";"3";"0";"0";"0";"0";"0";"0";"0";"346";"0";"0";"346";"6";"4";"2";"0";"340";"129";"144";"67"
"cb87-faa4-70a4-051c-520b-2e0b-6eb7-6eb4";"280502";"87";"3";"wieś";"stały";"Świetlica wiejska w Reglu, Regiel 12, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"355";"397";"133";"222";"0";"2";"0";"0";"0";"0";"0";"0";"0";"222";"0";"0";"222";"5";"0";"5";"0";"217";"108";"75";"34"
"a774-5f01-e344-762d-0b57-58df-7a9c-767d";"280502";"87";"4";"wieś";"stały";"Szkoła Podstawowa w Nowej Wsi Ełckiej, Nowa Wieś Ełcka ul. Ełcka 18, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"970";"1060";"473";"497";"0";"9";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"8";"8";"0";"0";"489";"250";"152";"87"
"ac60-c2d5-f3a7-d0c2-91bf-30ef-a1be-b5ec";"280502";"87";"5";"wieś";"stały";"Świetlica wiejska w Mostołtach, Mostołty 11/11, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"712";"767";"457";"255";"0";"0";"0";"0";"0";"0";"0";"0";"0";"255";"0";"0";"255";"2";"0";"2";"0";"253";"161";"54";"38"
"65e0-3b7f-1beb-d8f1-2427-177f-0728-3e54";"280502";"87";"6";"wieś";"stały";"Świetlica wiejska w Baranach, Barany ul. Wrzosowa 2, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"839";"921";"319";"520";"1";"11";"0";"0";"0";"0";"0";"0";"0";"520";"0";"0";"520";"17";"8";"9";"0";"503";"151";"238";"114"
"1362-bc53-1f3f-8b14-994b-5173-7050-879c";"280502";"87";"7";"wieś";"stały";"Szkoła Podstawowa w Rękusach, Rękusy 17, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"619";"669";"333";"286";"0";"2";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"286";"6";"1";"5";"0";"280";"108";"114";"58"
"1af1-025c-1453-fdcc-7cb7-a53d-8fcc-6231";"280502";"87";"8";"wieś";"stały";"Świetlica wiejska w Rożyńsku, Rożyńsk 17, 12-250 Orzysz";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"410";"452";"193";"217";"0";"0";"0";"0";"0";"0";"0";"0";"0";"217";"0";"0";"217";"4";"0";"4";"0";"213";"127";"52";"34"
"6678-4b93-820d-f5dc-5ba7-befe-8648-de0e";"280502";"87";"9";"wieś";"stały";"Zespół Szkół Samorządowych w Woszczelach, Woszczele ul. Szkolna 4, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"490";"542";"183";"307";"0";"5";"0";"0";"0";"0";"0";"0";"0";"307";"0";"0";"307";"8";"4";"4";"0";"299";"138";"113";"48"
"89ef-2fc2-4257-7160-94bb-df8e-3ef9-0725";"280502";"87";"10";"wieś";"stały";"Centrum Edukacji Ekologicznej Gminy Ełk w Siedliskach, Siedliska 25A, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"470";"472";"226";"244";"0";"2";"0";"0";"0";"0";"0";"0";"0";"244";"0";"0";"244";"3";"0";"3";"0";"241";"120";"85";"36"
"514f-8a8d-b277-b6e3-4957-3423-d472-1aaa";"280502";"87";"11";"wieś";"stały";"Centrum Kultury Gminy Ełk w Stradunach, Straduny ul. Kajki 10, 19-300 Ełk";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"1630";"1778";"817";"813";"1";"5";"0";"0";"0";"0";"0";"0";"0";"813";"0";"0";"813";"26";"0";"26";"0";"787";"346";"298";"143"
"79f8-fa26-0818-5ba6-01cd-832f-f490-c1c5";"280502";"87";"12";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Nowej Wsi Ełckiej, ul. Lipowa 1, 19-321 Nowa Wieś Ełcka";"gm. Ełk";"ełcki";"warmińsko-mazurskie";"163";"209";"123";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"0";"40";"8";"1";"7";"0";"32";"24";"7";"1"
