"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek CZARNOBAJ";"Kazimierz Józef JANIAK";"Liczba obwodów"
"220701";"gmina miejska";"m. Kwidzyn";"kwidzyński";"pomorskie";26824;28686;9870;16954;15;72;1;1;0;0;0;0;1;16952;1;0;16952;457;182;275;0;16495;10642;5853;24
"220702";"gmina wiejska";"gm. Gardeja";"kwidzyński";"pomorskie";5851;6379;3071;2780;2;20;0;0;0;0;0;0;0;2779;0;0;2779;95;29;66;0;2684;1290;1394;7
"220703";"gmina wiejska";"gm. Kwidzyn";"kwidzyński";"pomorskie";7839;8546;3491;4347;2;13;1;1;0;1;0;0;0;4348;0;0;4348;104;46;58;0;4244;2395;1849;10
"220704";"gmina miejsko-wiejska";"gm. Prabuty";"kwidzyński";"pomorskie";9553;10161;4601;4952;7;22;0;0;0;0;0;0;0;4952;0;0;4952;153;27;126;0;4799;2698;2101;18
"220705";"gmina wiejska";"gm. Ryjewo";"kwidzyński";"pomorskie";4077;4313;2072;2005;1;10;0;0;0;0;0;0;0;2005;0;0;2005;55;11;44;0;1950;1217;733;5
"220706";"gmina wiejska";"gm. Sadlinki";"kwidzyński";"pomorskie";4153;4536;1921;2232;1;10;0;0;0;0;0;0;0;2231;0;0;2231;67;13;54;0;2164;1009;1155;3
"220901";"gmina miejska";"m. Malbork";"malborski";"pomorskie";27385;29359;9777;17608;41;81;4;4;0;0;0;0;4;17606;4;0;17606;554;157;397;0;17052;11265;5787;21
"220903";"gmina wiejska";"gm. Lichnowy";"malborski";"pomorskie";3184;3465;1654;1529;0;9;0;0;0;0;0;0;0;1530;0;0;1530;46;9;37;0;1484;801;683;3
"220904";"gmina wiejska";"gm. Malbork";"malborski";"pomorskie";3380;3683;1497;1883;2;8;0;0;0;0;0;0;0;1883;0;0;1883;47;20;27;0;1836;1199;637;4
"220906";"gmina wiejska";"gm. Miłoradz";"malborski";"pomorskie";2408;2648;1077;1331;1;5;0;0;0;0;0;0;0;1330;0;0;1330;41;6;35;0;1289;677;612;2
"220907";"gmina miejsko-wiejska";"gm. Nowy Staw";"malborski";"pomorskie";5251;5722;2519;2732;6;8;0;0;0;0;0;0;0;2732;0;0;2732;108;34;74;0;2624;1472;1152;4
"220908";"gmina wiejska";"gm. Stare Pole";"malborski";"pomorskie";3268;3561;1477;1791;7;7;0;0;0;0;0;0;0;1791;0;0;1791;57;25;32;0;1734;1041;693;3
"221001";"gmina miejska";"m. Krynica Morska";"nowodworski";"pomorskie";1050;1364;150;900;2;223;0;0;0;0;0;0;0;900;0;0;900;25;2;23;0;875;590;285;1
"221002";"gmina miejsko-wiejska";"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";12486;13547;5209;7277;5;34;1;1;0;0;0;0;1;7275;1;0;7275;266;52;214;0;7009;4432;2577;15
"221003";"gmina wiejska";"gm. Ostaszewo";"nowodworski";"pomorskie";2260;2469;1006;1254;3;9;0;0;0;0;0;0;0;1253;0;0;1253;40;8;32;0;1213;670;543;3
"221004";"gmina wiejska";"gm. Stegna";"nowodworski";"pomorskie";7125;7992;2757;4368;1;279;0;0;0;0;0;0;0;4367;0;0;4367;187;30;157;0;4180;2543;1637;9
"221005";"gmina wiejska";"gm. Sztutowo";"nowodworski";"pomorskie";2660;2936;1014;1646;1;67;0;0;0;0;0;0;0;1646;0;0;1646;57;17;40;0;1589;1023;566;2
