"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin BEŁBOT";"Sławomir Piotr RYBICKI";"Józef Franciszek WÓJCIK";"Liczba obwodów"
"221101";"gmina miejska";"m. Hel";"pucki";"pomorskie";2447;2877;650;1797;2;213;0;0;0;0;0;0;0;1796;0;0;1796;34;5;29;0;1762;461;1085;216;2
"221102";"gmina miejsko-wiejska";"gm. Jastarnia";"pucki";"pomorskie";2934;3108;916;2018;1;184;0;0;0;0;0;0;0;2018;0;0;2018;48;9;39;0;1970;896;915;159;3
"221103";"gmina miejska";"m. Puck";"pucki";"pomorskie";7971;8552;2702;5269;10;78;1;1;0;0;0;0;1;5269;1;0;5269;63;18;45;0;5206;1549;3115;542;7
"221104";"gmina miejsko-wiejska";"gm. Władysławowo";"pucki";"pomorskie";11179;12334;3158;8021;9;577;0;0;0;0;0;0;0;8020;0;0;8020;130;36;94;0;7890;2626;4417;847;12
"221105";"gmina wiejska";"gm. Kosakowo";"pucki";"pomorskie";10501;11515;1994;8506;5;132;0;0;0;0;0;0;0;8506;0;0;8506;131;60;71;0;8375;2263;5079;1033;7
"221106";"gmina wiejska";"gm. Krokowa";"pucki";"pomorskie";7531;8244;2824;4707;0;109;1;1;1;0;0;0;0;4705;0;0;4705;117;16;101;0;4588;2010;1983;595;6
"221107";"gmina wiejska";"gm. Puck";"pucki";"pomorskie";18068;19626;6127;11942;1;46;0;0;0;0;0;0;0;11931;0;0;11931;234;59;175;0;11697;5124;4964;1609;16
"226201";"gmina miejska";"m. Gdynia";"Gdynia";"pomorskie";171827;187565;35783;136038;167;1856;33;33;0;1;0;0;32;136032;32;28;136004;1996;678;1318;0;134008;35364;85412;13232;118
