"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Henryk KIEPURA - nr na liście 1";"Krzysztof SMELA - nr na liście 2";"Stanisław GMITRUK - nr na liście 3";"Bartłomiej Przemysław DOBRZYNIEWICZ - nr na liście 4";"Andrzej KUBAT - nr na liście 5";"Anna Marta SOCHA-KORENDO - nr na liście 6";"Anna Barbara GRUS - nr na liście 7";"Monika Aleksandra KUMOR - nr na liście 8";"Edyta Jolanta MŁYŃSKA - nr na liście 9";"Krystian KOTYNIA - nr na liście 10";"Jerzy Józef CYRULIK - nr na liście 11";"Iwona Izabela LISEK - nr na liście 12";"Anna NOWICKA - nr na liście 13";"Michał Olaf DZWONNIK - nr na liście 14";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Szymon Stanisław GIŻYŃSKI - nr na liście 1";"Lidia Ewa BURZYŃSKA - nr na liście 2";"Mariusz Wiesław TREPKA - nr na liście 3";"Andrzej Janusz GAWRON - nr na liście 4";"Monika FAJER - nr na liście 5";"Piotr DEREJCZYK - nr na liście 6";"Anna Janina KAPTACZ - nr na liście 7";"Tomasz MAJ - nr na liście 8";"Łukasz Artur LANGE - nr na liście 9";"Paweł Jan RUKSZA - nr na liście 10";"Magdalena Anna PIETRULEWICZ - nr na liście 11";"Danuta Elżbieta SŁUŻAŁEK-JAWORSKA - nr na liście 12";"Andrzej Piotr SOWA - nr na liście 13";"Urszula ZALESKA - nr na liście 14";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Zdzisław WOLSKI - nr na liście 1";"Zbigniew Paweł NIESMACZNY - nr na liście 2";"Rafał Tadeusz KĘPSKI - nr na liście 3";"Ewelina Tacjana KOTKOWSKA - nr na liście 4";"Małgorzata IŻYŃSKA - nr na liście 5";"Łukasz Tadeusz KOT - nr na liście 6";"Ewa Katarzyna KSIĄŻEK - nr na liście 7";"Rafał Krzysztof JURECZKO - nr na liście 8";"Ewa LEWANDOWSKA - nr na liście 9";"Paweł Piotr ŁAPETA - nr na liście 10";"Joanna Janina GÓRNA - nr na liście 11";"Emilia Maria SKRZYPCZYŃSKA - nr na liście 12";"Marlena Sonia KAREWICZ - nr na liście 13";"Marcin Antoni GOŁDA - nr na liście 14";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Włodzimierz Bogdan SKALIK - nr na liście 1";"Jacek Adam PAWLIKOWSKI - nr na liście 2";"Bogusław Józef ADAMOWICZ - nr na liście 3";"Bartłomiej Michał BIEGAS - nr na liście 4";"Paweł KLIMCZAK - nr na liście 5";"Zofia SUROWIEC - nr na liście 6";"Władysława Bożena RYNKIEWICZ - nr na liście 7";"Agata Aneta POLAK - nr na liście 8";"Barbara Ewa PIĄTEK - nr na liście 9";"Cecylia Iwona MUSIALIK - nr na liście 10";"Grażyna Teresa MATUSIAK - nr na liście 11";"Katarzyna Anna ERMER - nr na liście 12";"Rafał Adrian GAWENDA - nr na liście 13";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Izabela Dorota LESZCZYNA - nr na liście 1";"Andrzej SZEWIŃSKI - nr na liście 2";"Marta Maria SALWIERAK - nr na liście 3";"Halina Leokadia ROZPONDEK - nr na liście 4";"Gabriel Jan PODBIOŁ - nr na liście 5";"Jolanta Małgorzata URBAŃSKA - nr na liście 6";"Dominik Bogusz KABUS - nr na liście 7";"Marzena Monika MANISZEWSKA - nr na liście 8";"Tomasz Artur STEFAŃCZYK - nr na liście 9";"Marcin BIERNAT - nr na liście 10";"Renata Maria STASIAK-BETLEJEWSKA - nr na liście 11";"Marcin ŚWITAŁA - nr na liście 12";"Edyta Wiesława CIURA - nr na liście 13";"Jarosław Wacław LASECKI - nr na liście 14";"Lista nr 8 - KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Marcin MARANDA - nr na liście 1";"Mariusz Michał SPIECHOWICZ - nr na liście 2";"Grażyna Marianna KLAMEK - nr na liście 3";"Mariusz Józef POGODA - nr na liście 4";"Adam ZAMORA - nr na liście 5";"Beata BOGUS - nr na liście 6";"Wojciech Stanisław SOCHA - nr na liście 7";"Zbigniew Stanisław MIZGALSKI - nr na liście 8";"Krystyna Jadwiga KOSARGA - nr na liście 9";"Łukasz Mateusz SŁAWEK - nr na liście 10";"Piotr Mateusz PTAK - nr na liście 11";"Aleksandra Zdzisława STANIOWSKA - nr na liście 12";"Piotr Paweł STRACH - nr na liście 13";"Magdalena Mirosława CZAJA - nr na liście 14"
"dce0-e749-b6b3-3025-c41e-7aaf-2a58-acc2";"240401";"28";"1";"miasto";"stały";"Ochotnicza Straż Pożarna w Blachowni, ul. Plac Wolności 2, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1891";"2032";"621";"1270";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1270";"0";"0";"1270";"9";"6";"3";"0";"1261";"77";"17";"23";"13";"3";"3";"2";"2";"3";"1";"1";"1";"5";"3";"0";"462";"180";"91";"14";"22";"57";"5";"10";"9";"2";"15";"6";"5";"16";"30";"211";"104";"17";"7";"7";"19";"12";"3";"9";"10";"3";"1";"6";"2";"11";"90";"47";"12";"4";"4";"6";"0";"1";"5";"3";"1";"1";"0";"6";"391";"168";"92";"28";"18";"0";"6";"1";"1";"4";"49";"0";"0";"9";"15";"30";"12";"2";"1";"2";"0";"3";"1";"0";"1";"0";"3";"0";"1";"4"
"d21e-14a8-fc40-3a21-e295-479d-31d6-e527";"240401";"28";"2";"miasto";"stały";"Publiczne Przedszkole Nr 2 w Blachowni, ul. Żeromskiego 4A, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1902";"2049";"641";"1261";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1260";"0";"0";"1260";"8";"4";"4";"0";"1252";"79";"33";"13";"7";"3";"7";"2";"1";"0";"2";"1";"3";"2";"4";"1";"501";"227";"94";"12";"22";"67";"9";"12";"13";"6";"5";"4";"2";"4";"24";"202";"100";"11";"4";"7";"7";"12";"18";"7";"6";"2";"7";"6";"3";"12";"78";"40";"11";"3";"4";"6";"2";"3";"4";"0";"0";"1";"1";"3";"367";"172";"68";"35";"18";"0";"7";"3";"4";"2";"30";"2";"3";"7";"16";"25";"6";"0";"1";"5";"0";"4";"0";"1";"1";"0";"2";"0";"4";"1"
"7e33-85c9-3447-25a4-68ad-62b9-fee5-c7d8";"240401";"28";"3";"miasto";"stały";"Hala widowiskowo-sportowa w Blachowni, ul. Sportowa 1, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1912";"2035";"795";"1117";"3";"13";"0";"0";"0";"0";"0";"0";"0";"1117";"0";"0";"1117";"10";"9";"1";"0";"1107";"63";"15";"9";"11";"3";"4";"4";"0";"0";"2";"1";"3";"1";"4";"6";"420";"162";"79";"9";"16";"76";"7";"20";"12";"2";"10";"4";"3";"4";"16";"176";"83";"11";"5";"7";"11";"7";"25";"0";"12";"0";"2";"4";"1";"8";"67";"28";"9";"7";"1";"4";"4";"2";"5";"1";"1";"0";"0";"5";"342";"170";"62";"37";"15";"1";"5";"2";"0";"10";"23";"2";"2";"3";"10";"39";"18";"1";"0";"3";"2";"6";"1";"0";"3";"2";"0";"0";"0";"3"
"15eb-2fd2-654e-222b-4385-4194-ac32-db1c";"240401";"28";"4";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Blachowni, ul. Wspólna 5, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1241";"1356";"357";"884";"1";"4";"1";"1";"0";"0";"0";"0";"1";"884";"1";"0";"884";"6";"3";"3";"0";"878";"52";"19";"6";"8";"2";"5";"1";"0";"0";"1";"1";"3";"2";"0";"4";"349";"138";"75";"5";"18";"61";"2";"11";"6";"2";"9";"3";"1";"7";"11";"127";"74";"7";"2";"7";"5";"9";"9";"4";"2";"1";"1";"2";"2";"2";"63";"39";"7";"2";"1";"5";"2";"0";"4";"1";"0";"0";"0";"2";"268";"131";"55";"20";"5";"1";"5";"4";"6";"2";"28";"1";"0";"1";"9";"19";"6";"0";"0";"1";"2";"1";"3";"0";"2";"0";"0";"1";"0";"3"
"2a5d-253c-24d6-e0d9-ad08-8940-99d8-093c";"240401";"28";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Łojkach, Łojki ul. Długa 48, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"2000";"2181";"705";"1295";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1294";"0";"0";"1294";"16";"10";"6";"0";"1278";"109";"29";"39";"21";"2";"6";"0";"2";"1";"1";"0";"0";"0";"4";"4";"523";"198";"131";"17";"15";"76";"5";"10";"6";"2";"21";"7";"0";"22";"13";"178";"83";"11";"5";"5";"9";"15";"10";"5";"16";"3";"6";"4";"1";"5";"110";"70";"9";"4";"4";"5";"1";"0";"2";"2";"1";"1";"1";"10";"321";"160";"61";"17";"20";"1";"4";"3";"2";"6";"20";"1";"2";"11";"13";"37";"15";"0";"2";"4";"1";"5";"0";"2";"1";"2";"1";"0";"3";"1"
"928b-923b-c213-ba21-6778-9b9e-ed45-44f5";"240401";"28";"6";"wieś";"stały";"Ochotnicza Straż Pożarna w Cisiu, Cisie ul. Cisiańska 63, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"520";"565";"184";"335";"0";"2";"0";"0";"0";"0";"0";"0";"0";"336";"0";"0";"336";"8";"5";"3";"0";"328";"45";"23";"5";"6";"0";"4";"1";"0";"0";"0";"0";"3";"1";"2";"0";"116";"41";"20";"2";"8";"26";"2";"4";"2";"1";"3";"3";"1";"3";"0";"51";"31";"3";"1";"0";"3";"4";"2";"2";"1";"0";"0";"2";"0";"2";"23";"5";"5";"1";"0";"0";"3";"1";"2";"2";"2";"0";"0";"2";"79";"52";"7";"1";"3";"0";"0";"0";"2";"0";"7";"0";"0";"0";"7";"14";"2";"1";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"6"
"79de-6115-c54c-f807-a4af-8153-b219-260d";"240401";"28";"7";"miasto";"zakład leczniczy";"Szpital im. Rudolfa Weigla, ul. Sosnowa 16, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"101";"102";"66";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0";"35";"0";"0";"0";"0";"35";"6";"2";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"15";"6";"5";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"3";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2e16-c845-bcf2-732c-2229-a459-3b62-29a5";"240401";"28";"8";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Sienkiewicza 6, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"121";"115";"75";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"46";"1";"1";"0";"0";"45";"6";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"21";"8";"3";"1";"0";"2";"3";"0";"0";"0";"1";"2";"0";"0";"1";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"11";"6";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"c34d-b7f9-c7b7-6719-d62e-7ca3-7d78-a940";"240402";"28";"1";"wieś";"stały";"Szkoła Podstawowa im. Wł. Broniewskiego w Dąbrowie Zielonej, pl. Kościuszki 49, 42-265 Dąbrowa Zielona";"gm. Dąbrowa Zielona";"częstochowski";"śląskie";"1081";"1179";"388";"692";"0";"1";"0";"0";"0";"0";"0";"0";"0";"693";"0";"0";"693";"23";"14";"9";"0";"670";"104";"16";"36";"22";"3";"3";"2";"0";"4";"10";"0";"0";"0";"4";"4";"366";"118";"161";"23";"5";"21";"3";"0";"4";"5";"3";"2";"4";"9";"8";"81";"39";"8";"3";"5";"5";"2";"2";"1";"8";"4";"0";"2";"1";"1";"42";"26";"1";"2";"1";"1";"7";"0";"1";"0";"0";"1";"1";"1";"69";"34";"10";"1";"5";"0";"2";"0";"0";"0";"1";"1";"0";"0";"15";"8";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1"
"d6bf-1c15-2770-ac9e-5a64-42aa-f5d6-5eb4";"240402";"28";"2";"wieś";"stały";"Szkoła Podstawowa w Olbrachcicach, Olbrachcice 146, 42-265 Dąbrowa Zielona";"gm. Dąbrowa Zielona";"częstochowski";"śląskie";"980";"1073";"404";"576";"0";"6";"0";"0";"0";"0";"0";"0";"0";"576";"0";"0";"576";"14";"13";"1";"0";"562";"82";"10";"29";"7";"0";"4";"2";"0";"1";"18";"1";"0";"0";"2";"8";"346";"102";"142";"16";"3";"44";"2";"2";"8";"3";"3";"3";"2";"7";"9";"50";"24";"3";"0";"2";"2";"2";"0";"0";"5";"3";"1";"3";"0";"5";"19";"8";"3";"1";"0";"2";"2";"1";"1";"0";"0";"0";"0";"1";"59";"28";"4";"1";"4";"1";"0";"0";"1";"1";"0";"0";"1";"0";"18";"6";"2";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0"
