"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Arkadiusz Stanisław CIACH";"Wiesław Józef DOBKOWSKI";"Stanisław WITASZCZYK"
"864d-cd71-6cd0-0379-b3e5-e4a0-fabf-0bcc";"100107";"28";"2";"wieś";"stały";"Zespół Szkół Ponadpodstawowych w Szczercowie, ul. J. Piłsudskiego 66, 97-420 Szczerców";"gm. Szczerców";"bełchatowski";"łódzkie";"825";"912";"326";"499";"1";"1";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"12";"8";"4";"0";"487";"93";"326";"68"
"fb55-8461-0fe2-0587-f82b-6175-2760-b411";"100107";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Szczercowie, ul. Łaska 8, 97-420 Szczerców";"gm. Szczerców";"bełchatowski";"łódzkie";"1092";"1184";"272";"820";"3";"2";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"30";"13";"17";"0";"790";"157";"451";"182"
"797e-0277-7886-dea9-7d86-5bcc-4e99-8141";"100107";"28";"4";"wieś";"stały";"Urząd Gminy w Szczercowie, ul. Pułaskiego 8, 97-420 Szczerców";"gm. Szczerców";"bełchatowski";"łódzkie";"1137";"1225";"307";"830";"1";"1";"0";"0";"0";"0";"0";"0";"0";"829";"0";"0";"829";"20";"5";"15";"0";"809";"155";"485";"169"
"df80-1732-3210-cb7c-38b9-374a-614b-ad40";"100107";"28";"5";"wieś";"stały";"Szkoła Podstawowa w Szczercowie, ul. Rzeczna 7, 97-420 Szczerców";"gm. Szczerców";"bełchatowski";"łódzkie";"1245";"1376";"395";"850";"4";"5";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"20";"9";"11";"0";"830";"114";"588";"128"
"a011-0904-2967-fca6-f565-95ca-4444-7de2";"100107";"28";"6";"wieś";"stały";"Szkoła Podstawowa w Chabielicach, Chabielice-Kolonia 5, 97-420 Szczerców";"gm. Szczerców";"bełchatowski";"łódzkie";"807";"891";"217";"590";"0";"2";"0";"0";"0";"0";"0";"0";"0";"590";"0";"0";"590";"16";"10";"6";"0";"574";"64";"440";"70"
"73d6-8003-ac1e-77e7-5ae6-9cac-d92c-a27c";"100107";"28";"7";"wieś";"stały";"Szkoła Podstawowa w Osinach, Osiny 13, 97-420 Szczerców";"gm. Szczerców";"bełchatowski";"łódzkie";"471";"518";"130";"341";"0";"2";"0";"0";"0";"0";"0";"0";"0";"341";"0";"0";"341";"9";"0";"9";"0";"332";"42";"252";"38"
"98cc-fa55-2d87-d9a2-3225-400e-dab0-6f2c";"100108";"28";"1";"wieś";"stały";"Szkoła Podstawowa, Kociszew 32, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"859";"953";"291";"568";"1";"2";"0";"0";"0";"0";"0";"0";"0";"568";"0";"0";"568";"16";"3";"13";"0";"552";"79";"374";"99"
"a7d0-83da-a776-e229-2217-16a0-66a2-cf7e";"100108";"28";"2";"wieś";"stały";"Szkoła Podstawowa, Łobudzice 54, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"1530";"1672";"528";"1002";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"17";"2";"15";"0";"985";"135";"686";"164"
"65fb-43f2-530a-1aa8-7e85-8432-9bd6-0b65";"100108";"28";"3";"wieś";"stały";"Szkoła Podstawowa, Wygiełzów 17, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"1402";"1540";"511";"891";"0";"5";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"18";"4";"14";"0";"872";"113";"642";"117"
"59b7-57ea-43e5-26a2-8fb6-8063-4360-5f18";"100108";"28";"4";"wieś";"stały";"Ochotnicza Straż Pożarna, Pożdżenice 140, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"845";"925";"305";"540";"0";"0";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"9";"2";"7";"0";"531";"78";"349";"104"
"9e23-a5a9-6052-18f8-527d-d553-22c3-0075";"100108";"28";"5";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Kilińskiego 40, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"1362";"1497";"482";"880";"0";"4";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"20";"7";"13";"0";"860";"162";"535";"163"
"5fc8-9e0c-f7e0-cbde-d3d3-2ded-ec19-dade";"100108";"28";"6";"miasto";"stały";"Miejsko-Gminny Ośrodek Pomocy Społecznej, ul. Piotrkowska 12, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"1380";"1491";"478";"902";"0";"1";"1";"1";"0";"0";"0";"0";"1";"903";"1";"0";"903";"10";"1";"9";"0";"893";"198";"527";"168"
"51c2-25d7-35b3-2121-4801-b7e6-21dd-2c15";"100108";"28";"7";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Kościuszki 40/42, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"641";"696";"274";"367";"0";"1";"0";"0";"0";"0";"0";"0";"0";"367";"0";"0";"367";"14";"5";"9";"0";"353";"81";"193";"79"
"8bef-1dea-f1a5-e960-503a-f685-4528-425b";"100108";"28";"8";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Kościuszki 40/42, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"1321";"1399";"514";"807";"0";"4";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"13";"4";"9";"0";"794";"171";"467";"156"
"b669-a5d7-ad67-52ce-190d-3587-b2bb-4b93";"100108";"28";"9";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Żeromskiego 51, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"1461";"1589";"436";"1025";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"28";"7";"21";"0";"997";"210";"629";"158"
"07d5-9548-17eb-badf-bb95-d56e-d3ae-67ef";"100108";"28";"10";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Zabłoty 19, 97-425 Zelów";"gm. Zelów";"bełchatowski";"łódzkie";"48";"47";"18";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"30";"4";"0";"4";"0";"26";"3";"20";"3"
"bba5-a13f-549e-d183-9027-4625-5ece-4d04";"101001";"28";"1";"wieś";"stały";"Szkoła Podstawowa w Aleksandrowie, Aleksandrów 40, 26-337 Aleksandrów";"gm. Aleksandrów";"piotrkowski";"łódzkie";"1017";"1117";"383";"634";"2";"9";"0";"0";"0";"0";"0";"0";"0";"634";"0";"0";"634";"18";"2";"16";"0";"616";"92";"411";"113"
"1b00-8a87-2eac-ccf2-e5f5-58a1-98fa-f865";"101001";"28";"2";"wieś";"stały";"Szkoła Podstawowa w Dąbrowie nad Czarną, Dąbrowa nad Czarną 60, 26-337 Aleksandrów";"gm. Aleksandrów";"piotrkowski";"łódzkie";"903";"1001";"298";"605";"0";"13";"0";"0";"0";"0";"0";"0";"0";"605";"0";"0";"605";"11";"2";"9";"0";"594";"95";"374";"125"
"31b1-68af-b5a8-e4dd-1186-8163-348f-6df6";"101001";"28";"3";"wieś";"stały";"Budynek po byłej Szkole Podstawowej w Dąbrówce, Dąbrówka 59, 26-337 Aleksandrów";"gm. Aleksandrów";"piotrkowski";"łódzkie";"401";"435";"107";"294";"0";"4";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"5";"0";"5";"0";"289";"40";"185";"64"
"e665-cf61-d900-fe12-d590-82b4-20e9-ce56";"101001";"28";"4";"wieś";"stały";"Świetlica Wiejska w Ciechominie, Ciechomin 46A, 26-337 Aleksandrów";"gm. Aleksandrów";"piotrkowski";"łódzkie";"478";"522";"148";"330";"0";"4";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"9";"0";"9";"0";"321";"33";"253";"35"
"e5e8-99b6-c81b-43f5-63a2-cef8-2b58-948f";"101001";"28";"5";"wieś";"stały";"Szkoła Podstawowa w Skotnikach, Skotniki 4, 26-337 Aleksandrów";"gm. Aleksandrów";"piotrkowski";"łódzkie";"604";"652";"238";"366";"3";"2";"0";"0";"0";"0";"0";"0";"0";"366";"0";"0";"366";"5";"1";"4";"0";"361";"32";"249";"80"
"7953-23df-4c37-b7e3-3a97-2fd5-e690-7ff8";"101002";"28";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Czarnocinie, ul. Główna 134, 97-318 Czarnocin";"gm. Czarnocin";"piotrkowski";"łódzkie";"954";"1042";"273";"681";"1";"5";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"5";"3";"2";"0";"676";"165";"333";"178"
"3065-dc98-5611-ccfc-2906-c40a-c205-160f";"101002";"28";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Czarnocinie, Główna 134, 97-318 Czarnocin";"gm. Czarnocin";"piotrkowski";"łódzkie";"804";"888";"235";"569";"0";"3";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"21";"5";"16";"0";"548";"52";"394";"102"
"3308-2687-1e07-b4f1-181a-7a06-f21a-65c5";"101002";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Szynczycach, Szynczyce 8, 97-318 Czarnocin";"gm. Czarnocin";"piotrkowski";"łódzkie";"771";"858";"253";"518";"0";"0";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"7";"1";"6";"0";"511";"75";"344";"92"
"a1e0-15d7-6eec-1de6-0540-5482-6f6c-6081";"101002";"28";"4";"wieś";"stały";"Budynek Ochotniczej Straży Pożarnej w Dalkowie, Dalków 145, 97-318 Czarnocin";"gm. Czarnocin";"piotrkowski";"łódzkie";"443";"487";"162";"281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"281";"0";"0";"281";"4";"0";"4";"0";"277";"26";"222";"29"
"bbae-9803-be4f-3c19-2b9a-3227-2c98-a41b";"101003";"28";"1";"wieś";"stały";"OSP Sobakówek, Sobakówek 44A, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"376";"415";"107";"269";"1";"0";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"9";"0";"9";"0";"260";"21";"207";"32"
"3634-028c-89e8-949b-03c6-4d33-0a4a-1fef";"101003";"28";"2";"wieś";"stały";"OSP Gorzkowiczki, Gorzkowiczki 112A, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"369";"407";"105";"264";"0";"0";"0";"0";"0";"0";"0";"0";"0";"264";"0";"0";"264";"5";"3";"2";"0";"259";"31";"186";"42"
"fed3-9da7-6ac4-62a9-a2e7-ca84-57b6-43a7";"101003";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Gorzkowicach, ul. Kościelna 26, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"689";"745";"246";"443";"1";"1";"0";"0";"0";"0";"0";"0";"0";"443";"0";"0";"443";"11";"5";"6";"0";"432";"56";"308";"68"
"8e0a-91a8-8d4a-31dc-5601-583e-37b4-d207";"101003";"28";"4";"wieś";"stały";"Szkoła Podstawowa w Gorzkowicach, ul. Kościelna 26, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"985";"1062";"321";"664";"2";"1";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"17";"7";"10";"0";"647";"134";"395";"118"
"3629-5f8a-9e94-1af7-eb0b-0aae-809e-7032";"101003";"28";"5";"wieś";"stały";"Przedszkole Samorządowe w Gorzkowicach, ul. Kwiatowa 7a, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"1213";"1307";"379";"834";"2";"4";"0";"0";"0";"0";"0";"0";"0";"834";"0";"0";"834";"19";"1";"18";"0";"815";"217";"450";"148"
"780a-5ca8-7830-5429-70a2-eb9b-3574-cc7f";"101003";"28";"6";"wieś";"stały";"Szkoła Podstawowa w Gościnnej, Gościnna 29B, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"469";"511";"149";"320";"0";"2";"0";"0";"0";"0";"0";"0";"0";"320";"0";"0";"320";"15";"1";"14";"0";"305";"45";"214";"46"
"ff20-ae78-e91d-50c9-aab1-0031-21dd-30c1";"101003";"28";"7";"wieś";"stały";"OSP Szczepanowice, Szczepanowice 54, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"589";"641";"188";"401";"0";"1";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"10";"1";"9";"0";"391";"53";"266";"72"
"9272-28e4-cfa0-17fe-80e3-5fbd-f35d-1534";"101003";"28";"8";"wieś";"stały";"Szkoła Podstawowa w Krzemieniewicach, Krzemieniewice 59, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"806";"892";"347";"459";"2";"1";"0";"0";"0";"0";"0";"0";"0";"459";"0";"0";"459";"12";"3";"9";"0";"447";"49";"338";"60"
"51be-18f2-7bff-b188-8003-4a45-19b9-b5a8";"101003";"28";"9";"wieś";"stały";"Przedszkole Samorządowe w Gorzkowicach, ul. Kwiatowa 7a, 97-350 Gorzkowice";"gm. Gorzkowice";"piotrkowski";"łódzkie";"760";"842";"282";"478";"0";"4";"0";"0";"0";"0";"0";"0";"0";"478";"0";"0";"478";"13";"4";"9";"0";"465";"82";"312";"71"
"0db3-b3b2-7d06-0a7f-dfeb-d39f-9d08-b03c";"101004";"28";"1";"wieś";"stały";"Urząd Gminy w Grabicy, Grabica 66, 97-306 Grabica";"gm. Grabica";"piotrkowski";"łódzkie";"853";"938";"310";"543";"0";"3";"2";"2";"0";"0";"0";"0";"2";"545";"2";"0";"545";"6";"0";"6";"0";"539";"44";"394";"101"
"e6d0-d2fb-0fe5-6da1-3417-35f4-de4d-19b4";"101004";"28";"2";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Krzepczowie, Krzepczów Stary 23, 97-306 Grabica";"gm. Grabica";"piotrkowski";"łódzkie";"1182";"1301";"401";"781";"1";"2";"0";"0";"0";"0";"0";"0";"0";"781";"0";"0";"781";"8";"1";"7";"0";"773";"95";"506";"172"
"71d6-4f82-68d7-e594-9361-302e-aa90-2b57";"101004";"28";"3";"wieś";"stały";"Budynek byłego Gimnazjum w Szydłowie, Szydłów-Kolonia 58, 97-306 Grabica";"gm. Grabica";"piotrkowski";"łódzkie";"1182";"1282";"413";"768";"0";"1";"0";"0";"0";"0";"0";"0";"0";"768";"0";"0";"768";"6";"1";"5";"0";"762";"105";"505";"152"
"5186-7806-c863-68f7-3f1c-a228-0e0b-1633";"101004";"28";"4";"wieś";"stały";"Strażnica OSP w Żeroniach, Żeronie 7, 97-306 Grabica";"gm. Grabica";"piotrkowski";"łódzkie";"319";"351";"127";"192";"0";"5";"0";"0";"0";"0";"0";"0";"0";"192";"0";"0";"192";"1";"0";"1";"0";"191";"18";"139";"34"
"9741-c879-5da4-2110-b037-cd3e-34d1-3d2a";"101004";"28";"5";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Kamocinie, Kamocin 47, 97-306 Grabica";"gm. Grabica";"piotrkowski";"łódzkie";"815";"892";"277";"538";"2";"1";"0";"0";"0";"0";"0";"0";"0";"538";"0";"0";"538";"5";"0";"5";"0";"533";"70";"360";"103"
"4794-4454-241b-55d3-f0b5-0e73-9580-ea9a";"101005";"28";"1";"wieś";"stały";"Szkoła Podstawowa w Łękach Szlacheckich (stołówka), Łęki Szlacheckie 60, 97-352 Łęki Szlacheckie";"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";"667";"724";"275";"392";"0";"0";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"18";"7";"11";"0";"374";"44";"239";"91"
"bc59-bd83-1330-1853-aedb-8eaa-8964-b674";"101005";"28";"2";"wieś";"stały";"Szkoła Podstawowa w Łękach Szlacheckich (hala sportowa), Łęki Szlacheckie 60, 97-352 Łęki Szlacheckie";"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";"727";"792";"332";"395";"0";"7";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"6";"2";"4";"0";"389";"46";"290";"53"
"49f4-6847-b382-f992-960b-9f6e-cf81-a62e";"101005";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Trzepnicy, Trzepnica-Kolonia 13A, 97-352 Łęki Szlacheckie";"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";"781";"871";"289";"492";"0";"6";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"3";"0";"3";"0";"489";"79";"316";"94"
"763a-dddd-ec74-6198-7558-59ba-c7f7-54b2";"101005";"28";"4";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Tomawie, Tomawa 12, 97-352 Łęki Szlacheckie";"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";"454";"502";"191";"263";"0";"4";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"5";"1";"4";"0";"258";"33";"183";"42"
"8397-3ad2-6161-574f-e109-20a9-a6d5-3273";"101006";"28";"1";"wieś";"stały";"Ochotnicza Straż Pożarna, ul. Piotrkowska 4, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1291";"1406";"404";"887";"3";"1";"0";"0";"0";"0";"0";"0";"0";"887";"0";"0";"887";"15";"7";"8";"0";"872";"118";"559";"195"
"bf91-1f7a-d1dc-2b01-700d-c199-41a3-2d94";"101006";"28";"2";"wieś";"stały";"Szkoła Podstawowa im. św. St. Kostki, ul. Dworcowa 9, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1191";"1280";"427";"764";"0";"4";"0";"0";"0";"0";"0";"0";"0";"764";"0";"0";"764";"15";"0";"15";"0";"749";"176";"459";"114"
"6887-364f-eecc-27b1-6132-8c89-498f-a7e7";"101006";"28";"3";"wieś";"stały";"Budynek po Gimnazjum im. St. Małachowskiego, ul. Piotrkowska 13, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1163";"1258";"431";"732";"1";"3";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"19";"6";"13";"0";"713";"144";"425";"144"
"e852-9aea-5733-fa97-9598-4593-acb6-8d4a";"101006";"28";"4";"wieś";"stały";"Budynek po Gimnazjum im. St. Małachowskiego, ul. Piotrkowska 13, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"741";"811";"245";"496";"1";"1";"1";"1";"0";"0";"0";"0";"1";"497";"1";"0";"497";"6";"3";"3";"0";"491";"104";"295";"92"
"cd7f-d373-bd11-2aa3-3a61-b9a0-e492-f9ba";"101006";"28";"5";"wieś";"stały";"Szkoła Podstawowa im. J. Korczaka w Babach, Baby ul. Piotrkowska 20, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1255";"1354";"385";"870";"2";"7";"0";"0";"0";"0";"0";"0";"0";"870";"0";"0";"870";"20";"6";"14";"0";"850";"159";"512";"179"
"d074-94e0-5538-dbeb-2ee8-e148-4790-51f4";"101006";"28";"6";"wieś";"stały";"Szkoła Podstawowa, Srock ul. Łódzka 5, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1180";"1293";"391";"789";"0";"3";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"18";"6";"12";"0";"771";"85";"568";"118"
"8d5f-d97c-a67f-6153-1bbe-0349-a787-5807";"101006";"28";"7";"wieś";"stały";"Szkoła Podstawowa, Rękoraj 52, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1157";"1261";"425";"732";"0";"1";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"10";"3";"7";"0";"722";"60";"535";"127"
"3c1d-a11d-7c48-7c5a-e678-0067-ef0d-451f";"101006";"28";"8";"wieś";"stały";"Szkoła Podstawowa im. M. Kamprad, Jarosty ul. Leśna 14, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"1242";"1358";"314";"928";"3";"2";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"10";"5";"5";"0";"918";"213";"502";"203"
"4dbf-36a7-caa7-091a-6e35-3b41-8244-4b38";"101006";"28";"9";"wieś";"dom pomocy społecznej";"HELP-MED Sp. z o. o. Zakład Opiekuńczo-Leczniczy i Rehabilitacyjny, Raciborowice 66, 97-310 Moszczenica";"gm. Moszczenica";"piotrkowski";"łódzkie";"121";"122";"71";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"1";"1";"0";"0";"49";"16";"29";"4"
"bf4d-0996-0e12-9efe-0bfd-21e4-da50-c0c6";"101007";"28";"1";"wieś";"stały";"Budynek po byłej Szkole Podstawowej w Bąkowej Górze, Bąkowa Góra 43, 97-510 Ręczno";"gm. Ręczno";"piotrkowski";"łódzkie";"579";"643";"186";"393";"0";"0";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"15";"0";"15";"0";"378";"54";"266";"58"
"2469-8f3f-ec20-a2f7-4206-73b6-38b7-aa69";"101007";"28";"2";"wieś";"stały";"Budynek Szkoły Podstawowej im. Piotra Szymanka w Ręcznie, ul. Główna 21, 97-510 Ręczno";"gm. Ręczno";"piotrkowski";"łódzkie";"754";"848";"261";"493";"4";"8";"0";"0";"0";"0";"0";"0";"0";"493";"0";"0";"493";"17";"4";"13";"0";"476";"125";"249";"102"
"0487-6426-145c-1826-4570-8c93-f251-7214";"101007";"28";"3";"wieś";"stały";"Sala""Wspólny Dom"", ul. Piotrkowska 5, 97-510 Ręczno";"gm. Ręczno";"piotrkowski";"łódzkie";"685";"776";"252";"433";"0";"7";"0";"0";"0";"0";"0";"0";"0";"433";"0";"0";"433";"10";"1";"9";"0";"423";"52";"293";"78"
"b75a-de38-26e1-9c15-35cf-f975-e5ea-564c";"101007";"28";"4";"wieś";"stały";"Budynek Szkoły Podstawowej w Stobnicy, Stobnica 51A, 97-510 Ręczno";"gm. Ręczno";"piotrkowski";"łódzkie";"668";"744";"272";"396";"0";"1";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"17";"1";"16";"0";"379";"44";"285";"50"
"6cb6-a8b5-aea6-ea37-b616-723f-3acf-b079";"101008";"28";"1";"wieś";"stały";"Szkoła Podstawowa w Niechcicach, Niechcice ul. Częstochowska 27, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"1229";"1330";"446";"783";"1";"0";"0";"0";"0";"0";"0";"0";"0";"783";"0";"0";"783";"8";"0";"8";"0";"775";"103";"578";"94"
"4ba4-05d6-46a8-8967-1bb4-eaa2-25d7-1f74";"101008";"28";"2";"wieś";"stały";"Sala zebrań, Truszczanek 21A, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"584";"649";"234";"350";"1";"0";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"17";"7";"10";"0";"333";"41";"238";"54"
"29f9-dcd1-28fa-b526-35f6-2272-bdb0-b252";"101008";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 84, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"1069";"1177";"336";"732";"1";"1";"0";"0";"0";"0";"0";"0";"0";"731";"0";"0";"731";"13";"4";"9";"0";"718";"76";"522";"120"
"41f9-746c-9af0-efae-7fcf-71b4-b53a-ebb5";"101008";"28";"4";"wieś";"stały";"Szkoła Podstawowa w Rozprzy, ul. Szkolna 1, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"1211";"1325";"326";"885";"1";"12";"0";"0";"0";"0";"0";"0";"0";"885";"0";"0";"885";"21";"9";"12";"0";"864";"216";"468";"180"
"c9d3-3bea-bba8-4b19-4ee5-07b6-d44b-932d";"101008";"28";"5";"wieś";"stały";"Szkoła Podstawowa w Rozprzy, ul. Sportowa 12A, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"1372";"1503";"566";"806";"0";"3";"0";"0";"0";"0";"0";"0";"0";"805";"0";"0";"805";"24";"5";"19";"0";"781";"109";"533";"139"
"e163-5a59-3f32-b4c4-3c09-3ffe-15d7-ec2c";"101008";"28";"6";"wieś";"stały";"Szkoła Podstawowa w Milejowie, Milejów ul. Szkolna 12, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"1236";"1352";"426";"810";"0";"0";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"17";"8";"9";"0";"792";"125";"485";"182"
"6cd4-8800-aabf-b45b-2609-5651-6c47-2913";"101008";"28";"7";"wieś";"stały";"Szkoła Podstawowa w Straszowie, Straszów 70, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"1401";"1543";"564";"837";"1";"2";"0";"0";"0";"0";"0";"0";"0";"837";"0";"0";"837";"16";"7";"9";"0";"821";"89";"605";"127"
"624b-307c-e591-c987-216f-9cb9-0fe3-5901";"101008";"28";"8";"wieś";"stały";"Szkoła Podstawowa w Mierzynie, Mierzyn 134, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"504";"554";"171";"333";"0";"4";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"11";"1";"10";"0";"322";"30";"209";"83"
"500a-6201-3a18-0d75-6fa5-406c-92a1-9c7a";"101008";"28";"9";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Łochyńsku, Łochyńsko 75A, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"70";"78";"26";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"0";"0";"44";"5";"1";"4";"0";"39";"16";"18";"5"
"1239-e69a-41e3-6d57-0446-f18e-9efc-135b";"101008";"28";"10";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej „Przystań” we Wronikowie, Wroników 26, 97-340 Rozprza";"gm. Rozprza";"piotrkowski";"łódzkie";"21";"16";"12";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"9";"2";"0";"2";"0";"7";"2";"3";"2"
